,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2021년11월_계_총인구수,"63,891","19,614","11,947","3,688","2,335","1,537","2,337","2,813","1,408","1,816","1,142","1,657","2,851","2,711","3,111","2,822","2,102"
2021년11월_계_연령구간인구수,"63,891","19,614","11,947","3,688","2,335","1,537","2,337","2,813","1,408","1,816","1,142","1,657","2,851","2,711","3,111","2,822","2,102"
2021년11월_계_0~9세,"2,697",964,907,89,44,44,56,85,19,39,21,33,100,67,80,94,55
2021년11월_계_10~19세,"4,458","1,778","1,163",197,108,52,138,143,55,76,28,48,130,102,136,209,95
2021년11월_계_20~29세,"5,053","2,037","1,302",214,112,61,113,166,63,86,50,63,157,150,166,206,107
2021년11월_계_30~39세,"4,120","1,511","1,142",171,89,73,110,121,51,66,54,57,131,134,169,128,113
2021년11월_계_40~49세,"6,776","2,465","1,685",319,177,102,209,256,96,143,63,109,234,215,258,283,162
2021년11월_계_50~59세,"10,305","3,512","1,928",594,368,239,355,403,200,221,172,204,406,393,494,502,314
2021년11월_계_60~69세,"13,572","3,708","1,860",977,604,404,510,656,371,434,314,435,650,626,774,663,586
2021년11월_계_70~79세,"9,316","2,220","1,095",612,467,309,444,563,295,371,226,342,583,504,562,393,330
2021년11월_계_80~89세,"6,514","1,208",749,457,317,219,338,367,220,317,184,313,390,443,408,301,283
2021년11월_계_90~99세,"1,044",207,110,52,46,34,62,50,38,61,30,51,68,76,63,41,55
2021년11월_계_100세 이상,36,4,6,6,3,0,2,3,0,2,0,2,2,1,1,2,2
2021년11월_남_총인구수,"31,698","9,755","5,873","1,859","1,151",759,"1,147","1,351",682,881,577,782,"1,411","1,367","1,577","1,467","1,059"
2021년11월_남_연령구간인구수,"31,698","9,755","5,873","1,859","1,151",759,"1,147","1,351",682,881,577,782,"1,411","1,367","1,577","1,467","1,059"
2021년11월_남_0~9세,"1,435",512,480,54,24,23,30,45,11,22,11,15,46,41,35,52,34
2021년11월_남_10~19세,"2,359",937,602,93,70,31,67,77,24,40,21,27,69,62,72,118,49
2021년11월_남_20~29세,"2,907","1,205",675,132,72,36,70,100,38,56,27,33,100,82,96,118,67
2021년11월_남_30~39세,"2,231",777,558,110,58,42,66,71,39,37,33,34,77,80,102,82,65
2021년11월_남_40~49세,"3,683","1,265",861,181,96,62,128,130,55,90,37,59,138,150,164,163,104
2021년11월_남_50~59세,"5,457","1,796","1,020",315,199,118,183,215,110,119,99,110,233,211,260,295,174
2021년11월_남_60~69세,"6,815","1,783",909,508,291,227,260,317,180,222,156,220,326,342,409,351,314
2021년11월_남_70~79세,"4,235","1,013",478,287,212,140,206,243,144,160,110,157,266,225,271,176,147
2021년11월_남_80~89세,"2,316",423,266,162,120,72,120,141,73,118,77,116,138,153,147,100,90
2021년11월_남_90~99세,257,44,24,16,9,8,17,12,8,16,6,11,18,21,21,11,15
2021년11월_남_100세 이상,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2021년11월_여_총인구수,"32,193","9,859","6,074","1,829","1,184",778,"1,190","1,462",726,935,565,875,"1,440","1,344","1,534","1,355","1,043"
2021년11월_여_연령구간인구수,"32,193","9,859","6,074","1,829","1,184",778,"1,190","1,462",726,935,565,875,"1,440","1,344","1,534","1,355","1,043"
2021년11월_여_0~9세,"1,262",452,427,35,20,21,26,40,8,17,10,18,54,26,45,42,21
2021년11월_여_10~19세,"2,099",841,561,104,38,21,71,66,31,36,7,21,61,40,64,91,46
2021년11월_여_20~29세,"2,146",832,627,82,40,25,43,66,25,30,23,30,57,68,70,88,40
2021년11월_여_30~39세,"1,889",734,584,61,31,31,44,50,12,29,21,23,54,54,67,46,48
2021년11월_여_40~49세,"3,093","1,200",824,138,81,40,81,126,41,53,26,50,96,65,94,120,58
2021년11월_여_50~59세,"4,848","1,716",908,279,169,121,172,188,90,102,73,94,173,182,234,207,140
2021년11월_여_60~69세,"6,757","1,925",951,469,313,177,250,339,191,212,158,215,324,284,365,312,272
2021년11월_여_70~79세,"5,081","1,207",617,325,255,169,238,320,151,211,116,185,317,279,291,217,183
2021년11월_여_80~89세,"4,198",785,483,295,197,147,218,226,147,199,107,197,252,290,261,201,193
2021년11월_여_90~99세,787,163,86,36,37,26,45,38,30,45,24,40,50,55,42,30,40
2021년11월_여_100세 이상,33,4,6,5,3,0,2,3,0,1,0,2,2,1,1,1,2
