카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일제1동,서울특별시 강동구 상일제2동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년12월_계_총인구수,"462,664","32,794","38,834","10,166","25,856","17,524","24,301","22,177","34,486","15,197","17,898","26,738","33,154","26,564","19,915","23,534","23,079","45,653",133,"24,661"
2021년12월_계_연령구간인구수,"462,664","32,794","38,834","10,166","25,856","17,524","24,301","22,177","34,486","15,197","17,898","26,738","33,154","26,564","19,915","23,534","23,079","45,653",133,"24,661"
2021년12월_계_0~9세,"34,321","3,006","5,035",857,"2,164","1,120","2,663","2,501","1,984","1,346","1,835","1,302","1,604","1,252","1,490",974,"1,176","2,350",3,"1,659"
2021년12월_계_10~19세,"38,850","3,651","4,047","1,304","2,439","2,467","3,536","1,989","2,526","1,030","1,942","1,680","1,718","1,214","1,664","1,131","1,688","2,792",6,"2,026"
2021년12월_계_20~29세,"60,467","3,574","3,863","1,509","3,017","2,246","2,171","2,238","4,728","1,876","1,914","3,668","4,914","4,435","2,705","3,743","3,546","6,962",16,"3,342"
2021년12월_계_30~39세,"71,097","4,627","5,875","1,388","3,965","1,936","2,857","3,683","4,926","2,797","2,322","3,919","6,092","4,901","3,171","4,204","3,433","7,377",13,"3,611"
2021년12월_계_40~49세,"74,854","5,353","7,421","1,551","4,207","3,082","5,280","3,946","5,393","2,398","3,254","3,910","4,804","3,733","3,286","3,261","3,545","6,740",24,"3,666"
2021년12월_계_50~59세,"71,766","4,719","5,409","1,520","3,988","2,689","3,353","3,216","5,908","2,253","2,672","4,495","5,328","4,136","3,001","3,751","3,930","7,280",20,"4,098"
2021년12월_계_60~69세,"66,582","4,612","4,863","1,040","3,728","2,562","2,790","2,963","5,163","1,992","2,420","4,530","4,985","4,000","2,684","3,726","3,373","7,346",29,"3,776"
2021년12월_계_70~79세,"31,518","2,211","1,734",626,"1,655","1,015","1,101","1,162","2,729","1,079","1,092","2,293","2,628","2,045","1,360","1,924","1,707","3,437",13,"1,707"
2021년12월_계_80~89세,"11,293",869,487,311,576,317,433,408,976,381,377,806,954,750,481,729,596,"1,178",4,660
2021년12월_계_90~99세,"1,836",167,96,56,114,87,114,69,146,43,65,131,125,91,71,82,81,182,4,112
2021년12월_계_100세 이상,80,5,4,4,3,3,3,2,7,2,5,4,2,7,2,9,4,9,1,4
2021년12월_남_총인구수,"227,002","15,740","19,154","4,773","12,589","8,590","12,344","11,169","17,114","7,367","8,763","13,123","16,280","12,924","9,611","11,614","11,326","22,299",75,"12,147"
2021년12월_남_연령구간인구수,"227,002","15,740","19,154","4,773","12,589","8,590","12,344","11,169","17,114","7,367","8,763","13,123","16,280","12,924","9,611","11,614","11,326","22,299",75,"12,147"
2021년12월_남_0~9세,"17,832","1,590","2,589",418,"1,103",568,"1,422","1,295","1,002",703,939,650,837,671,795,511,616,"1,238",2,883
2021년12월_남_10~19세,"20,491","1,866","2,072",670,"1,296","1,358","2,013","1,058","1,300",513,"1,010",888,897,626,832,566,991,"1,458",3,"1,074"
2021년12월_남_20~29세,"29,554","1,810","1,983",683,"1,541","1,093","1,171","1,170","2,484",888,977,"1,813","2,240","1,907","1,352","1,705","1,798","3,261",9,"1,669"
2021년12월_남_30~39세,"35,183","2,187","2,685",637,"1,955",933,"1,322","1,761","2,563","1,373","1,048","2,068","3,124","2,412","1,523","2,206","1,766","3,778",8,"1,834"
2021년12월_남_40~49세,"37,397","2,620","3,746",732,"1,996","1,380","2,597","2,022","2,769","1,206","1,606","2,029","2,472","1,931","1,590","1,694","1,719","3,444",10,"1,834"
2021년12월_남_50~59세,"35,258","2,245","2,617",765,"1,943","1,335","1,731","1,640","2,902","1,092","1,301","2,158","2,687","2,136","1,416","1,892","1,890","3,527",12,"1,969"
2021년12월_남_60~69세,"31,299","2,031","2,357",461,"1,706","1,237","1,365","1,431","2,450",906,"1,153","2,109","2,398","1,962","1,231","1,779","1,490","3,441",18,"1,774"
2021년12월_남_70~79세,"15,181","1,046",905,275,804,550,536,608,"1,235",509,553,"1,076","1,229",973,647,927,804,"1,655",7,842
2021년12월_남_80~89세,"4,411",304,184,116,225,119,166,165,379,169,161,316,369,288,206,312,232,456,4,240
2021년12월_남_90~99세,376,40,15,16,19,17,21,18,28,7,12,16,27,16,18,19,18,39,2,28
2021년12월_남_100세 이상,20,1,1,0,1,0,0,1,2,1,3,0,0,2,1,3,2,2,0,0
2021년12월_여_총인구수,"235,662","17,054","19,680","5,393","13,267","8,934","11,957","11,008","17,372","7,830","9,135","13,615","16,874","13,640","10,304","11,920","11,753","23,354",58,"12,514"
2021년12월_여_연령구간인구수,"235,662","17,054","19,680","5,393","13,267","8,934","11,957","11,008","17,372","7,830","9,135","13,615","16,874","13,640","10,304","11,920","11,753","23,354",58,"12,514"
2021년12월_여_0~9세,"16,489","1,416","2,446",439,"1,061",552,"1,241","1,206",982,643,896,652,767,581,695,463,560,"1,112",1,776
2021년12월_여_10~19세,"18,359","1,785","1,975",634,"1,143","1,109","1,523",931,"1,226",517,932,792,821,588,832,565,697,"1,334",3,952
2021년12월_여_20~29세,"30,913","1,764","1,880",826,"1,476","1,153","1,000","1,068","2,244",988,937,"1,855","2,674","2,528","1,353","2,038","1,748","3,701",7,"1,673"
2021년12월_여_30~39세,"35,914","2,440","3,190",751,"2,010","1,003","1,535","1,922","2,363","1,424","1,274","1,851","2,968","2,489","1,648","1,998","1,667","3,599",5,"1,777"
2021년12월_여_40~49세,"37,457","2,733","3,675",819,"2,211","1,702","2,683","1,924","2,624","1,192","1,648","1,881","2,332","1,802","1,696","1,567","1,826","3,296",14,"1,832"
2021년12월_여_50~59세,"36,508","2,474","2,792",755,"2,045","1,354","1,622","1,576","3,006","1,161","1,371","2,337","2,641","2,000","1,585","1,859","2,040","3,753",8,"2,129"
2021년12월_여_60~69세,"35,283","2,581","2,506",579,"2,022","1,325","1,425","1,532","2,713","1,086","1,267","2,421","2,587","2,038","1,453","1,947","1,883","3,905",11,"2,002"
2021년12월_여_70~79세,"16,337","1,165",829,351,851,465,565,554,"1,494",570,539,"1,217","1,399","1,072",713,997,903,"1,782",6,865
2021년12월_여_80~89세,"6,882",565,303,195,351,198,267,243,597,212,216,490,585,462,275,417,364,722,0,420
2021년12월_여_90~99세,"1,460",127,81,40,95,70,93,51,118,36,53,115,98,75,53,63,63,143,2,84
2021년12월_여_100세 이상,60,4,3,4,2,3,3,1,5,1,2,4,2,5,1,6,2,7,1,4
