,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021년01월_계_총인구수,"125,038","2,077","5,116","2,908","4,063","4,611","5,270","1,808","7,715","14,228","17,035","13,994","10,524","10,650","12,584","12,455"
2021년01월_계_연령구간인구수,"125,038","2,077","5,116","2,908","4,063","4,611","5,270","1,808","7,715","14,228","17,035","13,994","10,524","10,650","12,584","12,455"
2021년01월_계_0~9세,"6,740",164,195,84,193,179,131,46,277,567,"1,091",763,575,729,737,"1,009"
2021년01월_계_10~19세,"6,766",116,192,125,173,291,195,36,292,811,948,877,540,869,524,777
2021년01월_계_20~29세,"18,494",226,513,357,719,"1,220",944,195,"1,334","2,377","2,015","1,998","1,673","1,428","2,066","1,429"
2021년01월_계_30~39세,"20,034",415,530,393,630,648,814,303,"1,334","2,265","2,383","2,193","1,724","1,344","2,808","2,250"
2021년01월_계_40~49세,"17,960",452,664,426,506,573,644,195,"1,051","2,047","2,453","1,933","1,551","1,584","1,825","2,056"
2021년01월_계_50~59세,"20,697",306,958,494,614,588,866,319,"1,395","2,329","2,833","2,380","1,882","1,969","1,784","1,980"
2021년01월_계_60~69세,"17,648",237,"1,039",525,623,517,864,397,"1,045","1,981","2,686","1,958","1,336","1,429","1,530","1,481"
2021년01월_계_70~79세,"10,730",104,599,320,360,378,549,208,664,"1,239","1,645","1,189",844,788,906,937
2021년01월_계_80~89세,"4,865",42,296,147,184,184,207,76,255,515,822,606,338,426,337,430
2021년01월_계_90~99세,898,10,87,28,51,30,41,22,60,83,150,86,49,70,57,74
2021년01월_계_100세 이상,206,5,43,9,10,3,15,11,8,14,9,11,12,14,10,32
2021년01월_남_총인구수,"61,122","1,030","2,716","1,243","2,104","2,322","2,710","1,086","3,864","6,900","8,040","6,635","5,119","5,143","6,001","6,209"
2021년01월_남_연령구간인구수,"61,122","1,030","2,716","1,243","2,104","2,322","2,710","1,086","3,864","6,900","8,040","6,635","5,119","5,143","6,001","6,209"
2021년01월_남_0~9세,"3,467",89,108,51,100,96,70,22,123,292,532,386,290,404,383,521
2021년01월_남_10~19세,"3,400",37,82,56,97,140,99,13,152,433,489,437,274,435,259,397
2021년01월_남_20~29세,"8,786",95,226,161,362,648,393,85,636,"1,155","1,012",970,770,711,866,696
2021년01월_남_30~39세,"9,993",199,250,199,350,339,451,175,676,"1,188","1,134","1,087",861,626,"1,381","1,077"
2021년01월_남_40~49세,"9,183",240,367,189,282,307,359,126,569,"1,039","1,217",946,794,769,890,"1,089"
2021년01월_남_50~59세,"10,509",159,559,205,352,298,486,227,749,"1,103","1,345","1,149",990,949,912,"1,026"
2021년01월_남_60~69세,"8,773",136,615,219,302,250,464,271,523,920,"1,243",940,645,723,743,779
2021년01월_남_70~79세,"4,844",53,308,115,174,166,285,117,312,560,722,464,359,350,433,426
2021년01월_남_80~89세,"1,817",17,144,38,65,69,78,38,106,188,298,228,120,148,117,163
2021년01월_남_90~99세,285,4,37,7,17,9,19,8,15,19,44,25,16,24,17,24
2021년01월_남_100세 이상,65,1,20,3,3,0,6,4,3,3,4,3,0,4,0,11
2021년01월_여_총인구수,"63,916","1,047","2,400","1,665","1,959","2,289","2,560",722,"3,851","7,328","8,995","7,359","5,405","5,507","6,583","6,246"
2021년01월_여_연령구간인구수,"63,916","1,047","2,400","1,665","1,959","2,289","2,560",722,"3,851","7,328","8,995","7,359","5,405","5,507","6,583","6,246"
2021년01월_여_0~9세,"3,273",75,87,33,93,83,61,24,154,275,559,377,285,325,354,488
2021년01월_여_10~19세,"3,366",79,110,69,76,151,96,23,140,378,459,440,266,434,265,380
2021년01월_여_20~29세,"9,708",131,287,196,357,572,551,110,698,"1,222","1,003","1,028",903,717,"1,200",733
2021년01월_여_30~39세,"10,041",216,280,194,280,309,363,128,658,"1,077","1,249","1,106",863,718,"1,427","1,173"
2021년01월_여_40~49세,"8,777",212,297,237,224,266,285,69,482,"1,008","1,236",987,757,815,935,967
2021년01월_여_50~59세,"10,188",147,399,289,262,290,380,92,646,"1,226","1,488","1,231",892,"1,020",872,954
2021년01월_여_60~69세,"8,875",101,424,306,321,267,400,126,522,"1,061","1,443","1,018",691,706,787,702
2021년01월_여_70~79세,"5,886",51,291,205,186,212,264,91,352,679,923,725,485,438,473,511
2021년01월_여_80~89세,"3,048",25,152,109,119,115,129,38,149,327,524,378,218,278,220,267
2021년01월_여_90~99세,613,6,50,21,34,21,22,14,45,64,106,61,33,46,40,50
2021년01월_여_100세 이상,141,4,23,6,7,3,9,7,5,11,5,8,12,10,10,21
