카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년01월_계_총인구수,"532,662","23,118","27,493","31,355","38,263","40,297","28,582","23,228","25,749","27,958","21,169","36,512","39,951","20,965","26,177","25,274","34,494","23,781","21,785","16,511"
2020년01월_계_연령구간인구수,"532,662","23,118","27,493","31,355","38,263","40,297","28,582","23,228","25,749","27,958","21,169","36,512","39,951","20,965","26,177","25,274","34,494","23,781","21,785","16,511"
2020년01월_계_0~9세,"35,664","1,356","1,859","2,500","2,345","3,097","1,249","1,604","1,667","1,989","1,276","2,350","2,578","1,043","1,327","1,221","2,819","2,751","1,567","1,066"
2020년01월_계_10~19세,"56,546","1,828","2,298","2,280","2,906","4,731","3,593","3,001","4,638","5,976","2,490","3,487","3,545","2,035","2,124","2,223","3,282","2,272","2,342","1,495"
2020년01월_계_20~29세,"74,446","3,897","3,226","3,703","6,666","6,550","5,224","3,250","3,425","3,133","2,643","4,504","5,553","3,375","3,163","3,533","4,739","2,672","2,770","2,420"
2020년01월_계_30~39세,"67,174","2,932","3,384","4,919","5,717","5,385","2,815","2,623","1,975","2,015","2,110","4,465","5,119","2,456","2,781","2,799","5,100","5,066","2,942","2,571"
2020년01월_계_40~49세,"89,818","3,567","4,428","4,803","5,635","6,910","4,503","4,243","5,352","6,814","3,705","6,268","6,008","3,232","3,946","3,939","5,942","4,080","3,764","2,679"
2020년01월_계_50~59세,"88,884","3,686","4,561","4,912","5,973","6,167","5,069","4,034","4,681","4,549","3,662","5,753","7,199","4,011","4,752","4,667","5,696","2,994","3,630","2,888"
2020년01월_계_60~69세,"65,280","3,097","4,255","4,492","5,208","4,223","3,330","2,363","2,222","1,948","2,606","4,735","5,658","2,758","4,086","3,570","3,821","2,198","2,704","2,006"
2020년01월_계_70~79세,"36,683","1,946","2,383","2,565","2,651","2,195","1,777","1,355","1,113",990,"1,835","3,271","2,847","1,407","2,735","2,270","1,968","1,151","1,355",869
2020년01월_계_80~89세,"15,645",691,943,"1,032","1,002",888,896,663,579,481,728,"1,462","1,195",553,"1,102",890,955,519,616,450
2020년01월_계_90~99세,"2,265",106,144,136,146,137,119,88,84,51,102,203,201,82,134,136,168,74,92,62
2020년01월_계_100세 이상,257,12,12,13,14,14,7,4,13,12,12,14,48,13,27,26,4,4,3,5
2020년01월_남_총인구수,"257,746","11,912","13,271","15,051","18,751","19,660","13,790","11,110","12,604","13,701","10,251","16,952","19,432","10,356","13,042","12,330","16,036","11,475","10,415","7,607"
2020년01월_남_연령구간인구수,"257,746","11,912","13,271","15,051","18,751","19,660","13,790","11,110","12,604","13,701","10,251","16,952","19,432","10,356","13,042","12,330","16,036","11,475","10,415","7,607"
2020년01월_남_0~9세,"18,365",693,949,"1,307","1,208","1,606",627,815,869,"1,081",642,"1,200","1,338",532,679,624,"1,439","1,415",813,528
2020년01월_남_10~19세,"29,389",979,"1,203","1,179","1,473","2,416","2,014","1,546","2,345","3,162","1,391","1,685","1,854","1,047","1,160","1,123","1,666","1,158","1,246",742
2020년01월_남_20~29세,"38,407","2,255","1,727","1,857","3,375","3,231","2,831","1,653","1,794","1,646","1,381","2,321","2,838","1,676","1,708","1,860","2,336","1,309","1,457","1,152"
2020년01월_남_30~39세,"33,426","1,581","1,673","2,455","2,937","2,661","1,405","1,243",912,854,"1,059","2,210","2,578","1,266","1,496","1,483","2,379","2,521","1,464","1,249"
2020년01월_남_40~49세,"42,832","1,857","2,231","2,437","2,857","3,297","2,003","1,973","2,363","3,013","1,750","3,042","2,855","1,574","2,001","1,940","2,726","2,007","1,713","1,193"
2020년01월_남_50~59세,"43,041","1,849","2,199","2,264","2,836","3,032","2,417","1,971","2,458","2,403","1,808","2,739","3,394","1,986","2,377","2,276","2,605","1,421","1,695","1,311"
2020년01월_남_60~69세,"30,515","1,471","1,899","2,017","2,450","2,025","1,529","1,106","1,169",974,"1,224","2,060","2,756","1,374","1,961","1,681","1,725",957,"1,231",906
2020년01월_남_70~79세,"15,826",905,"1,068","1,144","1,205","1,017",670,570,461,408,729,"1,199","1,303",666,"1,194",982,836,501,589,379
2020년01월_남_80~89세,"5,316",296,290,359,373,334,257,213,206,139,242,442,441,211,426,317,288,168,187,127
2020년01월_남_90~99세,551,23,31,30,36,35,35,19,24,18,24,51,43,18,33,40,36,18,20,17
2020년01월_남_100세 이상,78,3,1,2,1,6,2,1,3,3,1,3,32,6,7,4,0,0,0,3
2020년01월_여_총인구수,"274,916","11,206","14,222","16,304","19,512","20,637","14,792","12,118","13,145","14,257","10,918","19,560","20,519","10,609","13,135","12,944","18,458","12,306","11,370","8,904"
2020년01월_여_연령구간인구수,"274,916","11,206","14,222","16,304","19,512","20,637","14,792","12,118","13,145","14,257","10,918","19,560","20,519","10,609","13,135","12,944","18,458","12,306","11,370","8,904"
2020년01월_여_0~9세,"17,299",663,910,"1,193","1,137","1,491",622,789,798,908,634,"1,150","1,240",511,648,597,"1,380","1,336",754,538
2020년01월_여_10~19세,"27,157",849,"1,095","1,101","1,433","2,315","1,579","1,455","2,293","2,814","1,099","1,802","1,691",988,964,"1,100","1,616","1,114","1,096",753
2020년01월_여_20~29세,"36,039","1,642","1,499","1,846","3,291","3,319","2,393","1,597","1,631","1,487","1,262","2,183","2,715","1,699","1,455","1,673","2,403","1,363","1,313","1,268"
2020년01월_여_30~39세,"33,748","1,351","1,711","2,464","2,780","2,724","1,410","1,380","1,063","1,161","1,051","2,255","2,541","1,190","1,285","1,316","2,721","2,545","1,478","1,322"
2020년01월_여_40~49세,"46,986","1,710","2,197","2,366","2,778","3,613","2,500","2,270","2,989","3,801","1,955","3,226","3,153","1,658","1,945","1,999","3,216","2,073","2,051","1,486"
2020년01월_여_50~59세,"45,843","1,837","2,362","2,648","3,137","3,135","2,652","2,063","2,223","2,146","1,854","3,014","3,805","2,025","2,375","2,391","3,091","1,573","1,935","1,577"
2020년01월_여_60~69세,"34,765","1,626","2,356","2,475","2,758","2,198","1,801","1,257","1,053",974,"1,382","2,675","2,902","1,384","2,125","1,889","2,096","1,241","1,473","1,100"
2020년01월_여_70~79세,"20,857","1,041","1,315","1,421","1,446","1,178","1,107",785,652,582,"1,106","2,072","1,544",741,"1,541","1,288","1,132",650,766,490
2020년01월_여_80~89세,"10,329",395,653,673,629,554,639,450,373,342,486,"1,020",754,342,676,573,667,351,429,323
2020년01월_여_90~99세,"1,714",83,113,106,110,102,84,69,60,33,78,152,158,64,101,96,132,56,72,45
2020년01월_여_100세 이상,179,9,11,11,13,8,5,3,10,9,11,11,16,7,20,22,4,4,3,2
