,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년07월_계_총인구수,"2,120,692","658,280","259,219","399,061","105,396","100,601","313,319","175,124","117,520","42,772","166,057","51,696","65,844","52,223","30,950","100,020","78,609","62,281"
2020년07월_계_연령구간인구수,"2,120,692","658,280","259,219","399,061","105,396","100,601","313,319","175,124","117,520","42,772","166,057","51,696","65,844","52,223","30,950","100,020","78,609","62,281"
2020년07월_계_0~9세,"176,871","63,446","21,082","42,364","6,025","6,344","33,717","15,669","7,430","4,004","15,979","2,691","3,035","2,393","1,317","7,917","3,747","3,157"
2020년07월_계_10~19세,"204,294","69,069","26,635","42,434","8,439","8,454","34,235","17,352","9,974","6,424","15,664","4,362","4,787","3,537","2,028","9,654","5,779","4,536"
2020년07월_계_20~29세,"242,524","96,063","35,500","60,563","11,444","9,598","35,896","19,178","11,550","4,859","16,153","4,018","5,480","3,950","2,662","9,669","6,923","5,081"
2020년07월_계_30~39세,"272,657","106,891","34,003","72,888","9,733","9,657","48,723","22,345","11,043","4,691","23,227","3,917","4,533","3,549","2,115","10,671","6,313","5,249"
2020년07월_계_40~49세,"328,943","112,094","43,350","68,744","13,577","14,127","55,563","27,876","15,692","8,442","26,605","6,325","7,358","5,987","3,192","14,617","9,697","7,791"
2020년07월_계_50~59세,"340,013","102,687","44,052","58,635","18,683","17,328","45,581","28,243","19,978","6,876","25,743","9,217","11,069","8,624","5,328","15,883","13,885","10,888"
2020년07월_계_60~69세,"271,111","61,103","30,063","31,040","17,911","16,669","30,760","21,349","19,591","4,234","20,478","9,565","12,768","10,076","6,024","14,359","14,451","11,773"
2020년07월_계_70~79세,"170,467","29,845","15,426","14,419","11,469","11,228","17,884","13,800","12,978","1,993","13,140","6,834","9,516","8,032","4,541","10,022","10,458","8,727"
2020년07월_계_80~89세,"99,078","14,784","7,872","6,912","7,075","6,247","9,589","8,072","8,035","1,075","7,899","4,206","6,270","5,236","3,294","6,330","6,510","4,456"
2020년07월_계_90~99세,"13,832","2,128","1,150",978,980,889,"1,257","1,179","1,162",164,"1,101",530,972,796,430,837,808,599
2020년07월_계_100세 이상,902,170,86,84,60,60,114,61,87,10,68,31,56,43,19,61,38,24
2020년07월_남_총인구수,"1,081,752","335,655","131,361","204,294","52,782","50,969","162,566","90,960","58,763","21,306","88,007","26,057","32,604","25,834","15,667","49,729","39,465","31,388"
2020년07월_남_연령구간인구수,"1,081,752","335,655","131,361","204,294","52,782","50,969","162,566","90,960","58,763","21,306","88,007","26,057","32,604","25,834","15,667","49,729","39,465","31,388"
2020년07월_남_0~9세,"90,576","32,370","10,833","21,537","3,129","3,194","17,320","8,072","3,808","2,034","8,163","1,381","1,631","1,187",667,"4,127","1,933","1,560"
2020년07월_남_10~19세,"106,045","35,793","13,829","21,964","4,359","4,395","17,622","9,199","5,162","3,354","8,214","2,284","2,516","1,829","1,068","4,915","2,973","2,362"
2020년07월_남_20~29세,"133,825","50,377","18,842","31,535","6,364","5,619","19,943","11,283","6,485","2,724","9,462","2,298","3,172","2,324","1,531","5,325","3,928","2,990"
2020년07월_남_30~39세,"146,459","56,705","17,816","38,889","5,184","5,215","26,014","12,339","5,825","2,318","13,160","2,069","2,465","1,990","1,213","5,518","3,518","2,926"
2020년07월_남_40~49세,"175,321","57,825","22,325","35,500","7,169","7,746","30,211","14,876","8,354","4,096","14,976","3,510","4,009","3,280","1,863","7,657","5,347","4,402"
2020년07월_남_50~59세,"179,404","52,785","22,556","30,229","9,673","9,241","24,582","15,055","10,462","3,469","14,410","5,066","5,772","4,657","2,900","8,264","7,354","5,714"
2020년07월_남_60~69세,"135,133","30,784","15,104","15,680","8,943","8,144","15,291","10,649","9,846","2,043","10,384","4,835","6,357","4,937","3,101","7,026","7,144","5,649"
2020년07월_남_70~79세,"76,939","13,407","7,037","6,370","5,230","5,012","7,897","6,423","5,724",887,"6,152","3,070","4,244","3,559","2,033","4,469","4,746","4,086"
2020년07월_남_80~89세,"34,599","5,075","2,732","2,343","2,459","2,200","3,373","2,821","2,771",345,"2,794","1,411","2,191","1,878","1,172","2,198","2,338","1,573"
2020년07월_남_90~99세,"3,246",488,264,224,259,190,279,235,305,36,278,124,240,184,116,211,179,122
2020년07월_남_100세 이상,205,46,23,23,13,13,34,8,21,0,14,9,7,9,3,19,5,4
2020년07월_여_총인구수,"1,038,940","322,625","127,858","194,767","52,614","49,632","150,753","84,164","58,757","21,466","78,050","25,639","33,240","26,389","15,283","50,291","39,144","30,893"
2020년07월_여_연령구간인구수,"1,038,940","322,625","127,858","194,767","52,614","49,632","150,753","84,164","58,757","21,466","78,050","25,639","33,240","26,389","15,283","50,291","39,144","30,893"
2020년07월_여_0~9세,"86,295","31,076","10,249","20,827","2,896","3,150","16,397","7,597","3,622","1,970","7,816","1,310","1,404","1,206",650,"3,790","1,814","1,597"
2020년07월_여_10~19세,"98,249","33,276","12,806","20,470","4,080","4,059","16,613","8,153","4,812","3,070","7,450","2,078","2,271","1,708",960,"4,739","2,806","2,174"
2020년07월_여_20~29세,"108,699","45,686","16,658","29,028","5,080","3,979","15,953","7,895","5,065","2,135","6,691","1,720","2,308","1,626","1,131","4,344","2,995","2,091"
2020년07월_여_30~39세,"126,198","50,186","16,187","33,999","4,549","4,442","22,709","10,006","5,218","2,373","10,067","1,848","2,068","1,559",902,"5,153","2,795","2,323"
2020년07월_여_40~49세,"153,622","54,269","21,025","33,244","6,408","6,381","25,352","13,000","7,338","4,346","11,629","2,815","3,349","2,707","1,329","6,960","4,350","3,389"
2020년07월_여_50~59세,"160,609","49,902","21,496","28,406","9,010","8,087","20,999","13,188","9,516","3,407","11,333","4,151","5,297","3,967","2,428","7,619","6,531","5,174"
2020년07월_여_60~69세,"135,978","30,319","14,959","15,360","8,968","8,525","15,469","10,700","9,745","2,191","10,094","4,730","6,411","5,139","2,923","7,333","7,307","6,124"
2020년07월_여_70~79세,"93,528","16,438","8,389","8,049","6,239","6,216","9,987","7,377","7,254","1,106","6,988","3,764","5,272","4,473","2,508","5,553","5,712","4,641"
2020년07월_여_80~89세,"64,479","9,709","5,140","4,569","4,616","4,047","6,216","5,251","5,264",730,"5,105","2,795","4,079","3,358","2,122","4,132","4,172","2,883"
2020년07월_여_90~99세,"10,586","1,640",886,754,721,699,978,944,857,128,823,406,732,612,314,626,629,477
2020년07월_여_100세 이상,697,124,63,61,47,47,80,53,66,10,54,22,49,34,16,42,33,20
