,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020년05월_계_총인구수,"587,553","42,227","23,465","21,468","32,082","53,138","18,847","22,255","21,475","35,114","25,145","25,691","33,779","14,917","15,913","38,193","44,137","27,202","45,066","23,435","24,004"
2020년05월_계_연령구간인구수,"587,553","42,227","23,465","21,468","32,082","53,138","18,847","22,255","21,475","35,114","25,145","25,691","33,779","14,917","15,913","38,193","44,137","27,202","45,066","23,435","24,004"
2020년05월_계_0~9세,"42,183","4,304","1,385","1,427","1,806","3,038","1,348","1,378","1,267","2,472","1,382","1,487","1,854",554,791,"3,706","3,992","2,685","4,576","1,240","1,491"
2020년05월_계_10~19세,"46,184","4,576","1,425","1,693","2,247","2,661","1,536","1,661","1,430","2,574","1,732","1,702","2,001",484,659,"5,116","5,521","1,732","4,297","1,543","1,594"
2020년05월_계_20~29세,"87,368","5,585","4,583","3,337","4,316","9,178","2,601","3,267","2,976","5,772","4,211","3,893","8,276","1,832","1,937","4,766","5,321","3,901","5,477","3,423","2,716"
2020년05월_계_30~39세,"101,119","7,408","5,648","3,622","4,737","10,915","3,076","3,349","3,552","6,605","4,165","4,488","8,062","2,568","3,207","4,604","5,832","5,204","6,784","3,517","3,776"
2020년05월_계_40~49세,"92,483","7,751","3,326","3,133","4,100","7,718","3,220","3,286","3,308","5,725","3,737","4,062","4,543","1,481","2,009","7,454","8,702","4,210","7,843","3,288","3,587"
2020년05월_계_50~59세,"88,027","6,026","3,059","3,571","5,598","7,640","2,888","3,464","3,531","4,968","4,081","3,886","4,256","2,404","2,378","5,756","6,534","3,862","6,636","3,725","3,764"
2020년05월_계_60~69세,"74,848","4,071","2,154","2,839","5,036","6,929","2,416","3,417","3,102","4,121","3,565","3,490","3,053","3,188","2,647","3,808","4,907","3,172","5,490","3,606","3,837"
2020년05월_계_70~79세,"38,364","1,727","1,108","1,312","2,513","3,729","1,327","1,778","1,655","2,094","1,631","2,034","1,173","1,523","1,539","2,092","2,461","1,674","2,769","2,106","2,119"
2020년05월_계_80~89세,"14,342",680,641,451,"1,422","1,160",372,546,565,647,546,574,471,749,625,749,719,638,"1,015",849,923
2020년05월_계_90~99세,"2,402",88,131,79,293,151,57,87,82,127,88,69,84,130,118,133,125,96,166,111,187
2020년05월_계_100세 이상,233,11,5,4,14,19,6,22,7,9,7,6,6,4,3,9,23,28,13,27,10
2020년05월_남_총인구수,"284,115","20,573","11,089","10,565","15,316","25,883","9,175","10,680","10,527","17,165","12,349","12,362","15,635","7,073","7,462","18,132","21,157","13,791","21,979","11,568","11,634"
2020년05월_남_연령구간인구수,"284,115","20,573","11,089","10,565","15,316","25,883","9,175","10,680","10,527","17,165","12,349","12,362","15,635","7,073","7,462","18,132","21,157","13,791","21,979","11,568","11,634"
2020년05월_남_0~9세,"21,533","2,227",709,731,924,"1,533",692,734,654,"1,252",700,741,975,273,421,"1,898","1,996","1,387","2,266",649,771
2020년05월_남_10~19세,"23,529","2,340",808,937,"1,172","1,325",768,829,727,"1,386",966,869,996,257,331,"2,460","2,650",897,"2,155",827,829
2020년05월_남_20~29세,"40,827","2,607","1,864","1,697","2,239","4,211","1,312","1,535","1,569","2,759","2,045","1,911","2,839",824,930,"2,326","2,558","1,936","2,626","1,646","1,393"
2020년05월_남_30~39세,"51,339","3,519","2,750","1,829","2,437","5,801","1,598","1,671","1,827","3,523","2,145","2,319","4,133","1,337","1,627","2,175","2,789","2,728","3,317","1,881","1,933"
2020년05월_남_40~49세,"46,447","3,814","1,661","1,534","1,965","4,019","1,617","1,582","1,705","2,897","1,892","2,079","2,360",748,"1,064","3,550","4,093","2,289","4,015","1,749","1,814"
2020년05월_남_50~59세,"41,994","2,953","1,485","1,678","2,573","3,596","1,352","1,632","1,681","2,321","1,920","1,724","2,023","1,123","1,093","2,770","3,264","1,937","3,227","1,840","1,802"
2020년05월_남_60~69세,"34,741","2,029","1,026","1,329","2,364","3,074","1,060","1,594","1,371","1,802","1,685","1,505","1,548","1,576","1,155","1,689","2,273","1,530","2,639","1,704","1,788"
2020년05월_남_70~79세,"18,009",823,497,653,"1,107","1,843",623,889,754,949,794,977,574,687,630,973,"1,227",805,"1,318",940,946
2020년05월_남_80~89세,"5,059",237,237,160,449,434,141,188,219,246,184,218,161,219,191,267,274,256,372,293,313
2020년05월_남_90~99세,563,24,50,17,79,38,11,23,17,27,17,17,25,26,20,22,27,15,38,28,42
2020년05월_남_100세 이상,74,0,2,0,7,9,1,3,3,3,1,2,1,3,0,2,6,11,6,11,3
2020년05월_여_총인구수,"303,438","21,654","12,376","10,903","16,766","27,255","9,672","11,575","10,948","17,949","12,796","13,329","18,144","7,844","8,451","20,061","22,980","13,411","23,087","11,867","12,370"
2020년05월_여_연령구간인구수,"303,438","21,654","12,376","10,903","16,766","27,255","9,672","11,575","10,948","17,949","12,796","13,329","18,144","7,844","8,451","20,061","22,980","13,411","23,087","11,867","12,370"
2020년05월_여_0~9세,"20,650","2,077",676,696,882,"1,505",656,644,613,"1,220",682,746,879,281,370,"1,808","1,996","1,298","2,310",591,720
2020년05월_여_10~19세,"22,655","2,236",617,756,"1,075","1,336",768,832,703,"1,188",766,833,"1,005",227,328,"2,656","2,871",835,"2,142",716,765
2020년05월_여_20~29세,"46,541","2,978","2,719","1,640","2,077","4,967","1,289","1,732","1,407","3,013","2,166","1,982","5,437","1,008","1,007","2,440","2,763","1,965","2,851","1,777","1,323"
2020년05월_여_30~39세,"49,780","3,889","2,898","1,793","2,300","5,114","1,478","1,678","1,725","3,082","2,020","2,169","3,929","1,231","1,580","2,429","3,043","2,476","3,467","1,636","1,843"
2020년05월_여_40~49세,"46,036","3,937","1,665","1,599","2,135","3,699","1,603","1,704","1,603","2,828","1,845","1,983","2,183",733,945,"3,904","4,609","1,921","3,828","1,539","1,773"
2020년05월_여_50~59세,"46,033","3,073","1,574","1,893","3,025","4,044","1,536","1,832","1,850","2,647","2,161","2,162","2,233","1,281","1,285","2,986","3,270","1,925","3,409","1,885","1,962"
2020년05월_여_60~69세,"40,107","2,042","1,128","1,510","2,672","3,855","1,356","1,823","1,731","2,319","1,880","1,985","1,505","1,612","1,492","2,119","2,634","1,642","2,851","1,902","2,049"
2020년05월_여_70~79세,"20,355",904,611,659,"1,406","1,886",704,889,901,"1,145",837,"1,057",599,836,909,"1,119","1,234",869,"1,451","1,166","1,173"
2020년05월_여_80~89세,"9,283",443,404,291,973,726,231,358,346,401,362,356,310,530,434,482,445,382,643,556,610
2020년05월_여_90~99세,"1,839",64,81,62,214,113,46,64,65,100,71,52,59,104,98,111,98,81,128,83,145
2020년05월_여_100세 이상,159,11,3,4,7,10,5,19,4,6,6,4,5,1,3,7,17,17,7,16,7
