,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2021년03월_계_총인구수,"296,771","24,900","29,548","19,625","15,990","19,583","23,333","28,366","20,282","34,131","21,232","33,836","25,945"
2021년03월_계_연령구간인구수,"296,771","24,900","29,548","19,625","15,990","19,583","23,333","28,366","20,282","34,131","21,232","33,836","25,945"
2021년03월_계_0~9세,"18,296","1,293","1,881",792,612,911,"1,509","1,788","1,025","2,598","1,466","1,690","2,731"
2021년03월_계_10~19세,"26,369","2,240","2,717","1,256",972,"1,518","2,546","2,736","1,433","3,598","1,767","2,718","2,868"
2021년03월_계_20~29세,"43,805","3,537","4,250","2,944","2,501","3,348","3,855","4,291","2,984","5,116","3,004","5,076","2,899"
2021년03월_계_30~39세,"37,775","2,767","3,484","2,520","2,087","2,857","2,612","3,515","2,795","4,590","2,554","4,310","3,684"
2021년03월_계_40~49세,"45,551","3,582","4,425","2,719","2,052","2,564","3,919","4,411","2,717","5,737","3,216","5,061","5,148"
2021년03월_계_50~59세,"60,340","5,155","6,001","4,218","3,448","4,296","5,167","5,705","4,128","6,852","4,236","7,097","4,037"
2021년03월_계_60~69세,"40,512","3,928","4,341","3,226","2,738","2,815","2,493","3,822","3,246","3,497","2,993","4,542","2,871"
2021년03월_계_70~79세,"15,552","1,559","1,682","1,295","1,063",774,642,"1,375","1,305","1,304","1,264","2,121","1,168"
2021년03월_계_80~89세,"7,392",734,686,590,435,426,473,631,566,707,627,"1,056",461
2021년03월_계_90~99세,"1,151",100,79,63,80,73,114,91,81,127,105,160,78
2021년03월_계_100세 이상,28,5,2,2,2,1,3,1,2,5,0,5,0
2021년03월_남_총인구수,"147,987","12,543","14,959","10,309","7,936","9,402","11,785","13,985","10,075","16,983","10,508","16,751","12,751"
2021년03월_남_연령구간인구수,"147,987","12,543","14,959","10,309","7,936","9,402","11,785","13,985","10,075","16,983","10,508","16,751","12,751"
2021년03월_남_0~9세,"9,294",646,966,428,295,467,760,892,508,"1,316",767,856,"1,393"
2021년03월_남_10~19세,"13,539","1,189","1,396",648,509,795,"1,316","1,394",733,"1,786",911,"1,376","1,486"
2021년03월_남_20~29세,"22,954","1,912","2,326","1,592","1,272","1,731","1,983","2,261","1,524","2,708","1,522","2,686","1,437"
2021년03월_남_30~39세,"19,700","1,447","1,859","1,422","1,148","1,440","1,338","1,799","1,536","2,372","1,310","2,281","1,748"
2021년03월_남_40~49세,"22,713","1,788","2,223","1,480","1,045","1,131","1,925","2,142","1,407","2,771","1,608","2,514","2,679"
2021년03월_남_50~59세,"29,363","2,559","2,903","2,253","1,651","1,924","2,554","2,739","1,942","3,395","2,045","3,454","1,944"
2021년03월_남_60~69세,"20,766","1,999","2,221","1,674","1,371","1,438","1,449","1,930","1,615","1,837","1,537","2,349","1,346"
2021년03월_남_70~79세,"7,000",726,803,611,486,342,299,619,584,554,560,881,535
2021년03월_남_80~89세,"2,405",248,246,188,145,119,143,182,209,220,228,316,161
2021년03월_남_90~99세,246,28,16,13,14,14,18,26,16,22,20,37,22
2021년03월_남_100세 이상,7,1,0,0,0,1,0,1,1,2,0,1,0
2021년03월_여_총인구수,"148,784","12,357","14,589","9,316","8,054","10,181","11,548","14,381","10,207","17,148","10,724","17,085","13,194"
2021년03월_여_연령구간인구수,"148,784","12,357","14,589","9,316","8,054","10,181","11,548","14,381","10,207","17,148","10,724","17,085","13,194"
2021년03월_여_0~9세,"9,002",647,915,364,317,444,749,896,517,"1,282",699,834,"1,338"
2021년03월_여_10~19세,"12,830","1,051","1,321",608,463,723,"1,230","1,342",700,"1,812",856,"1,342","1,382"
2021년03월_여_20~29세,"20,851","1,625","1,924","1,352","1,229","1,617","1,872","2,030","1,460","2,408","1,482","2,390","1,462"
2021년03월_여_30~39세,"18,075","1,320","1,625","1,098",939,"1,417","1,274","1,716","1,259","2,218","1,244","2,029","1,936"
2021년03월_여_40~49세,"22,838","1,794","2,202","1,239","1,007","1,433","1,994","2,269","1,310","2,966","1,608","2,547","2,469"
2021년03월_여_50~59세,"30,977","2,596","3,098","1,965","1,797","2,372","2,613","2,966","2,186","3,457","2,191","3,643","2,093"
2021년03월_여_60~69세,"19,746","1,929","2,120","1,552","1,367","1,377","1,044","1,892","1,631","1,660","1,456","2,193","1,525"
2021년03월_여_70~79세,"8,552",833,879,684,577,432,343,756,721,750,704,"1,240",633
2021년03월_여_80~89세,"4,987",486,440,402,290,307,330,449,357,487,399,740,300
2021년03월_여_90~99세,905,72,63,50,66,59,96,65,65,105,85,123,56
2021년03월_여_100세 이상,21,4,2,2,2,0,3,0,1,3,0,4,0
