카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년02월_계_총인구수,"38,400","15,583","5,055","3,545","2,396","2,893","1,304","2,133","1,126","1,478","2,887"
2020년02월_계_연령구간인구수,"38,400","15,583","5,055","3,545","2,396","2,893","1,304","2,133","1,126","1,478","2,887"
2020년02월_계_0~9세,"2,072","1,351",157,149,87,82,38,40,20,44,104
2020년02월_계_10~19세,"2,974","1,651",321,235,121,145,60,114,46,83,198
2020년02월_계_20~29세,"3,249","1,629",355,266,148,219,82,145,86,99,220
2020년02월_계_30~39세,"2,960","1,673",303,206,149,188,78,91,41,68,163
2020년02월_계_40~49세,"4,342","2,166",451,385,221,269,118,176,107,153,296
2020년02월_계_50~59세,"6,536","2,499",893,614,377,528,209,401,275,255,485
2020년02월_계_60~69세,"6,319","2,074",959,644,467,536,270,363,229,217,560
2020년02월_계_70~79세,"5,563","1,479",918,576,438,488,212,426,185,278,563
2020년02월_계_80~89세,"3,776",884,619,421,328,364,209,332,119,228,272
2020년02월_계_90~99세,583,164,79,44,56,73,26,45,17,53,26
2020년02월_계_100세 이상,26,13,0,5,4,1,2,0,1,0,0
2020년02월_남_총인구수,"18,639","7,580","2,448","1,717","1,151","1,422",628,"1,009",559,712,"1,413"
2020년02월_남_연령구간인구수,"18,639","7,580","2,448","1,717","1,151","1,422",628,"1,009",559,712,"1,413"
2020년02월_남_0~9세,"1,063",677,84,67,52,49,23,18,8,26,59
2020년02월_남_10~19세,"1,573",858,186,125,64,83,29,54,28,38,108
2020년02월_남_20~29세,"1,787",880,201,149,88,126,37,86,42,56,122
2020년02월_남_30~39세,"1,585",837,166,109,95,119,39,55,32,37,96
2020년02월_남_40~49세,"2,409","1,093",264,243,133,160,78,113,64,86,175
2020년02월_남_50~59세,"3,511","1,298",475,336,195,285,118,231,159,159,255
2020년02월_남_60~69세,"3,130",988,484,316,258,281,139,183,115,109,257
2020년02월_남_70~79세,"2,323",640,378,236,165,213,94,163,72,113,249
2020년02월_남_80~89세,"1,143",277,197,121,97,91,65,98,33,77,87
2020년02월_남_90~99세,111,31,13,13,4,15,5,8,6,11,5
2020년02월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년02월_여_총인구수,"19,761","8,003","2,607","1,828","1,245","1,471",676,"1,124",567,766,"1,474"
2020년02월_여_연령구간인구수,"19,761","8,003","2,607","1,828","1,245","1,471",676,"1,124",567,766,"1,474"
2020년02월_여_0~9세,"1,009",674,73,82,35,33,15,22,12,18,45
2020년02월_여_10~19세,"1,401",793,135,110,57,62,31,60,18,45,90
2020년02월_여_20~29세,"1,462",749,154,117,60,93,45,59,44,43,98
2020년02월_여_30~39세,"1,375",836,137,97,54,69,39,36,9,31,67
2020년02월_여_40~49세,"1,933","1,073",187,142,88,109,40,63,43,67,121
2020년02월_여_50~59세,"3,025","1,201",418,278,182,243,91,170,116,96,230
2020년02월_여_60~69세,"3,189","1,086",475,328,209,255,131,180,114,108,303
2020년02월_여_70~79세,"3,240",839,540,340,273,275,118,263,113,165,314
2020년02월_여_80~89세,"2,633",607,422,300,231,273,144,234,86,151,185
2020년02월_여_90~99세,472,133,66,31,52,58,21,37,11,42,21
2020년02월_여_100세 이상,22,12,0,3,4,1,1,0,1,0,0
