카테고리,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020년01월_계_총인구수,"183,369","57,552","5,497","7,606","3,439","5,670","15,493","5,213","6,108","7,571","6,865","3,530","1,924","12,675","22,289","21,937"
2020년01월_계_연령구간인구수,"183,369","57,552","5,497","7,606","3,439","5,670","15,493","5,213","6,108","7,571","6,865","3,530","1,924","12,675","22,289","21,937"
2020년01월_계_0~9세,"14,815","6,348",190,486,93,231,"1,557",152,409,322,253,97,48,772,"2,097","1,760"
2020년01월_계_10~19세,"18,195","7,526",322,696,169,290,"1,086",285,359,434,410,220,90,"1,119","2,584","2,605"
2020년01월_계_20~29세,"21,505","6,387",531,753,316,534,"2,008",463,746,659,692,394,184,"1,637","2,999","3,202"
2020년01월_계_30~39세,"23,485","8,625",444,720,257,531,"2,874",390,888,654,566,287,142,"1,454","3,016","2,637"
2020년01월_계_40~49세,"29,968","11,692",587,"1,127",368,714,"2,525",583,887,852,825,354,194,"1,797","3,933","3,530"
2020년01월_계_50~59세,"30,812","8,168","1,081","1,349",714,"1,086","2,385","1,087","1,176","1,467","1,438",674,382,"2,308","3,591","3,906"
2020년01월_계_60~69세,"23,169","4,795","1,109","1,278",726,"1,109","1,685","1,086",872,"1,571","1,304",737,437,"1,864","2,275","2,321"
2020년01월_계_70~79세,"13,227","2,645",729,696,462,686,879,638,481,963,833,467,260,"1,066","1,163","1,259"
2020년01월_계_80~89세,"7,210","1,219",438,443,298,433,433,434,252,565,497,278,164,569,559,628
2020년01월_계_90~99세,932,141,62,55,34,52,57,92,35,80,44,21,22,81,70,86
2020년01월_계_100세 이상,51,6,4,3,2,4,4,3,3,4,3,1,1,8,2,3
2020년01월_남_총인구수,"94,249","28,915","2,904","3,793","1,812","3,067","8,619","2,742","3,347","3,938","3,636","1,865","1,001","6,376","11,218","11,016"
2020년01월_남_연령구간인구수,"94,249","28,915","2,904","3,793","1,812","3,067","8,619","2,742","3,347","3,938","3,636","1,865","1,001","6,376","11,218","11,016"
2020년01월_남_0~9세,"7,596","3,194",102,268,56,126,825,76,215,159,121,58,29,384,"1,082",901
2020년01월_남_10~19세,"9,440","3,898",186,348,97,152,552,133,187,236,209,104,47,569,"1,347","1,375"
2020년01월_남_20~29세,"11,831","3,371",310,410,193,334,"1,170",278,442,362,408,222,105,881,"1,587","1,758"
2020년01월_남_30~39세,"12,716","4,433",280,364,145,332,"1,656",242,528,398,328,187,85,794,"1,552","1,392"
2020년01월_남_40~49세,"15,983","5,978",351,598,218,451,"1,547",349,537,495,482,221,115,937,"2,023","1,681"
2020년01월_남_50~59세,"16,263","4,208",594,688,401,580,"1,377",622,635,795,802,359,199,"1,172","1,838","1,993"
2020년01월_남_60~69세,"11,680","2,246",586,660,370,601,886,576,469,802,699,386,225,915,"1,110","1,149"
2020년01월_남_70~79세,"5,975","1,142",327,294,211,327,423,307,233,464,391,219,129,486,494,528
2020년01월_남_80~89세,"2,565",414,159,153,113,153,171,144,89,207,184,107,62,216,170,223
2020년01월_남_90~99세,188,30,9,9,7,10,11,15,11,18,12,2,5,19,14,16
2020년01월_남_100세 이상,12,1,0,1,1,1,1,0,1,2,0,0,0,3,1,0
2020년01월_여_총인구수,"89,120","28,637","2,593","3,813","1,627","2,603","6,874","2,471","2,761","3,633","3,229","1,665",923,"6,299","11,071","10,921"
2020년01월_여_연령구간인구수,"89,120","28,637","2,593","3,813","1,627","2,603","6,874","2,471","2,761","3,633","3,229","1,665",923,"6,299","11,071","10,921"
2020년01월_여_0~9세,"7,219","3,154",88,218,37,105,732,76,194,163,132,39,19,388,"1,015",859
2020년01월_여_10~19세,"8,755","3,628",136,348,72,138,534,152,172,198,201,116,43,550,"1,237","1,230"
2020년01월_여_20~29세,"9,674","3,016",221,343,123,200,838,185,304,297,284,172,79,756,"1,412","1,444"
2020년01월_여_30~39세,"10,769","4,192",164,356,112,199,"1,218",148,360,256,238,100,57,660,"1,464","1,245"
2020년01월_여_40~49세,"13,985","5,714",236,529,150,263,978,234,350,357,343,133,79,860,"1,910","1,849"
2020년01월_여_50~59세,"14,549","3,960",487,661,313,506,"1,008",465,541,672,636,315,183,"1,136","1,753","1,913"
2020년01월_여_60~69세,"11,489","2,549",523,618,356,508,799,510,403,769,605,351,212,949,"1,165","1,172"
2020년01월_여_70~79세,"7,252","1,503",402,402,251,359,456,331,248,499,442,248,131,580,669,731
2020년01월_여_80~89세,"4,645",805,279,290,185,280,262,290,163,358,313,171,102,353,389,405
2020년01월_여_90~99세,744,111,53,46,27,42,46,77,24,62,32,19,17,62,56,70
2020년01월_여_100세 이상,39,5,4,2,1,3,3,3,2,2,3,1,1,5,1,3
