카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2021년10월_계_총인구수,"27,616","7,791","1,863","1,658","2,300","1,304","1,895","1,159","4,141","2,417","1,670","1,418"
2021년10월_계_연령구간인구수,"27,616","7,791","1,863","1,658","2,300","1,304","1,895","1,159","4,141","2,417","1,670","1,418"
2021년10월_계_0~9세,997,444,51,29,65,20,40,28,188,62,36,34
2021년10월_계_10~19세,"1,876",639,126,80,115,34,84,47,423,191,86,51
2021년10월_계_20~29세,"2,195",740,107,93,137,63,127,79,439,204,96,110
2021년10월_계_30~39세,"1,625",620,94,65,96,62,81,47,313,95,88,64
2021년10월_계_40~49세,"2,900","1,029",163,142,200,86,148,82,496,299,146,109
2021년10월_계_50~59세,"4,780","1,287",293,275,420,233,339,195,726,459,291,262
2021년10월_계_60~69세,"5,243","1,303",403,354,445,286,420,238,682,413,339,360
2021년10월_계_70~79세,"4,132",951,320,304,381,253,354,228,485,333,305,218
2021년10월_계_80~89세,"3,279",660,273,258,376,234,247,188,325,306,238,174
2021년10월_계_90~99세,571,112,32,58,63,31,54,27,63,55,42,34
2021년10월_계_100세 이상,18,6,1,0,2,2,1,0,1,0,3,2
2021년10월_남_총인구수,"13,565","3,763",918,812,"1,085",642,920,580,"2,076","1,221",823,725
2021년10월_남_연령구간인구수,"13,565","3,763",918,812,"1,085",642,920,580,"2,076","1,221",823,725
2021년10월_남_0~9세,518,221,24,13,40,15,25,19,89,30,20,22
2021년10월_남_10~19세,"1,011",342,67,46,66,13,48,21,231,107,44,26
2021년10월_남_20~29세,"1,209",387,63,59,79,37,68,50,231,116,52,67
2021년10월_남_30~39세,858,298,57,40,50,42,41,27,170,54,47,32
2021년10월_남_40~49세,"1,616",537,96,93,101,55,79,57,260,173,103,62
2021년10월_남_50~59세,"2,667",694,167,145,234,135,184,116,401,276,166,149
2021년10월_남_60~69세,"2,759",629,223,198,228,153,223,133,356,226,186,204
2021년10월_남_70~79세,"1,792",421,123,128,167,110,172,93,218,138,118,104
2021년10월_남_80~89세,"1,027",215,91,80,108,77,73,59,103,91,78,52
2021년10월_남_90~99세,105,18,7,10,11,5,7,5,17,10,8,7
2021년10월_남_100세 이상,3,1,0,0,1,0,0,0,0,0,1,0
2021년10월_여_총인구수,"14,051","4,028",945,846,"1,215",662,975,579,"2,065","1,196",847,693
2021년10월_여_연령구간인구수,"14,051","4,028",945,846,"1,215",662,975,579,"2,065","1,196",847,693
2021년10월_여_0~9세,479,223,27,16,25,5,15,9,99,32,16,12
2021년10월_여_10~19세,865,297,59,34,49,21,36,26,192,84,42,25
2021년10월_여_20~29세,986,353,44,34,58,26,59,29,208,88,44,43
2021년10월_여_30~39세,767,322,37,25,46,20,40,20,143,41,41,32
2021년10월_여_40~49세,"1,284",492,67,49,99,31,69,25,236,126,43,47
2021년10월_여_50~59세,"2,113",593,126,130,186,98,155,79,325,183,125,113
2021년10월_여_60~69세,"2,484",674,180,156,217,133,197,105,326,187,153,156
2021년10월_여_70~79세,"2,340",530,197,176,214,143,182,135,267,195,187,114
2021년10월_여_80~89세,"2,252",445,182,178,268,157,174,129,222,215,160,122
2021년10월_여_90~99세,466,94,25,48,52,26,47,22,46,45,34,27
2021년10월_여_100세 이상,15,5,1,0,1,2,1,0,1,0,2,2
