,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021년03월_계_총인구수,"68,399","10,983","14,498","10,790","14,957","9,451","7,720"
2021년03월_계_연령구간인구수,"68,399","10,983","14,498","10,790","14,957","9,451","7,720"
2021년03월_계_0~9세,"5,890",813,"1,722",711,"1,474",626,544
2021년03월_계_10~19세,"6,722",984,"1,777","1,123","1,412",581,845
2021년03월_계_20~29세,"9,201","1,579","1,637","1,671","2,010","1,291","1,013"
2021년03월_계_30~39세,"9,604","1,448","1,920","1,302","2,383","1,607",944
2021년03월_계_40~49세,"10,330","1,450","2,650","1,436","2,158","1,405","1,231"
2021년03월_계_50~59세,"11,918","2,041","2,321","2,061","2,613","1,541","1,341"
2021년03월_계_60~69세,"8,349","1,544","1,422","1,366","1,686","1,398",933
2021년03월_계_70~79세,"3,931",659,668,610,736,684,574
2021년03월_계_80~89세,"2,022",374,326,415,391,278,238
2021년03월_계_90~99세,395,78,51,89,91,40,46
2021년03월_계_100세 이상,37,13,4,6,3,0,11
2021년03월_남_총인구수,"33,581","5,333","7,036","5,149","7,338","4,951","3,774"
2021년03월_남_연령구간인구수,"33,581","5,333","7,036","5,149","7,338","4,951","3,774"
2021년03월_남_0~9세,"3,064",420,897,368,773,314,292
2021년03월_남_10~19세,"3,470",496,883,579,736,323,453
2021년03월_남_20~29세,"4,835",843,836,846,"1,052",718,540
2021년03월_남_30~39세,"4,809",710,865,637,"1,177",924,496
2021년03월_남_40~49세,"4,995",664,"1,298",648,"1,031",764,590
2021년03월_남_50~59세,"5,751",958,"1,144",980,"1,240",763,666
2021년03월_남_60~69세,"4,065",783,699,655,832,689,407
2021년03월_남_70~79세,"1,751",303,269,265,334,336,244
2021년03월_남_80~89세,741,138,131,144,144,108,76
2021년03월_남_90~99세,91,16,14,24,18,12,7
2021년03월_남_100세 이상,9,2,0,3,1,0,3
2021년03월_여_총인구수,"34,818","5,650","7,462","5,641","7,619","4,500","3,946"
2021년03월_여_연령구간인구수,"34,818","5,650","7,462","5,641","7,619","4,500","3,946"
2021년03월_여_0~9세,"2,826",393,825,343,701,312,252
2021년03월_여_10~19세,"3,252",488,894,544,676,258,392
2021년03월_여_20~29세,"4,366",736,801,825,958,573,473
2021년03월_여_30~39세,"4,795",738,"1,055",665,"1,206",683,448
2021년03월_여_40~49세,"5,335",786,"1,352",788,"1,127",641,641
2021년03월_여_50~59세,"6,167","1,083","1,177","1,081","1,373",778,675
2021년03월_여_60~69세,"4,284",761,723,711,854,709,526
2021년03월_여_70~79세,"2,180",356,399,345,402,348,330
2021년03월_여_80~89세,"1,281",236,195,271,247,170,162
2021년03월_여_90~99세,304,62,37,65,73,28,39
2021년03월_여_100세 이상,28,11,4,3,2,0,8
