카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020년07월_계_총인구수,"43,426","13,755","6,184","3,693","3,094","1,992","1,176","2,463","3,116","4,544","3,409"
2020년07월_계_연령구간인구수,"43,426","13,755","6,184","3,693","3,094","1,992","1,176","2,463","3,116","4,544","3,409"
2020년07월_계_0~9세,"1,948",960,204,115,81,52,31,76,106,188,135
2020년07월_계_10~19세,"2,346","1,299",201,117,108,43,38,101,86,232,121
2020년07월_계_20~29세,"3,574","1,493",484,237,165,126,65,184,207,341,272
2020년07월_계_30~39세,"3,346","1,396",491,259,182,114,52,137,179,311,225
2020년07월_계_40~49세,"4,816","2,054",598,346,243,167,104,247,271,476,310
2020년07월_계_50~59세,"8,625","2,479","1,403",804,608,418,228,449,635,901,700
2020년07월_계_60~69세,"9,032","2,052","1,438",913,744,497,279,558,788,984,779
2020년07월_계_70~79세,"5,809","1,240",861,526,514,317,209,429,522,667,524
2020년07월_계_80~89세,"3,443",685,435,330,380,231,151,248,270,406,307
2020년07월_계_90~99세,461,92,63,45,64,26,18,34,49,35,35
2020년07월_계_100세 이상,26,5,6,1,5,1,1,0,3,3,1
2020년07월_남_총인구수,"22,449","6,980","3,384","2,012","1,515",994,607,"1,248","1,600","2,317","1,792"
2020년07월_남_연령구간인구수,"22,449","6,980","3,384","2,012","1,515",994,607,"1,248","1,600","2,317","1,792"
2020년07월_남_0~9세,987,478,113,53,44,25,18,34,51,99,72
2020년07월_남_10~19세,"1,328",741,120,78,50,20,22,54,48,131,64
2020년07월_남_20~29세,"2,091",836,305,142,98,77,43,104,124,197,165
2020년07월_남_30~39세,"1,838",720,291,165,105,76,35,77,90,163,116
2020년07월_남_40~49세,"2,890","1,096",419,227,141,111,66,160,189,288,193
2020년07월_남_50~59세,"4,713","1,296",783,477,317,218,132,252,338,501,399
2020년07월_남_60~69세,"4,701","1,024",776,512,396,247,138,279,418,502,409
2020년07월_남_70~79세,"2,673",545,422,248,235,135,103,184,251,296,254
2020년07월_남_80~89세,"1,116",223,135,100,112,82,46,94,80,131,113
2020년07월_남_90~99세,106,20,18,10,16,3,3,10,10,9,7
2020년07월_남_100세 이상,6,1,2,0,1,0,1,0,1,0,0
2020년07월_여_총인구수,"20,977","6,775","2,800","1,681","1,579",998,569,"1,215","1,516","2,227","1,617"
2020년07월_여_연령구간인구수,"20,977","6,775","2,800","1,681","1,579",998,569,"1,215","1,516","2,227","1,617"
2020년07월_여_0~9세,961,482,91,62,37,27,13,42,55,89,63
2020년07월_여_10~19세,"1,018",558,81,39,58,23,16,47,38,101,57
2020년07월_여_20~29세,"1,483",657,179,95,67,49,22,80,83,144,107
2020년07월_여_30~39세,"1,508",676,200,94,77,38,17,60,89,148,109
2020년07월_여_40~49세,"1,926",958,179,119,102,56,38,87,82,188,117
2020년07월_여_50~59세,"3,912","1,183",620,327,291,200,96,197,297,400,301
2020년07월_여_60~69세,"4,331","1,028",662,401,348,250,141,279,370,482,370
2020년07월_여_70~79세,"3,136",695,439,278,279,182,106,245,271,371,270
2020년07월_여_80~89세,"2,327",462,300,230,268,149,105,154,190,275,194
2020년07월_여_90~99세,355,72,45,35,48,23,15,24,39,26,28
2020년07월_여_100세 이상,20,4,4,1,4,1,0,0,2,3,1
