카테고리,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년04월_계_총인구수,"321,227","24,976","29,374","14,102","26,912","24,873","21,301","27,350","21,698","18,860","16,673","18,920","28,719","19,905","27,564"
2021년04월_계_연령구간인구수,"321,227","24,976","29,374","14,102","26,912","24,873","21,301","27,350","21,698","18,860","16,673","18,920","28,719","19,905","27,564"
2021년04월_계_0~9세,"18,013","1,511","1,724",745,"1,723","1,522",846,"1,567","1,169",992,757,"1,173","1,505",890,"1,889"
2021년04월_계_10~19세,"25,087","2,122","2,246","1,071","2,586","1,917","1,163","1,667","1,613","1,335","1,028","1,969","2,184","1,472","2,714"
2021년04월_계_20~29세,"42,717","3,265","4,110","1,785","3,665","3,643","2,592","3,300","3,026","2,507","2,499","2,519","3,821","2,655","3,330"
2021년04월_계_30~39세,"40,023","3,319","4,058","1,665","3,359","3,484","2,307","3,554","2,582","2,529","2,307","2,286","3,274","2,159","3,140"
2021년04월_계_40~49세,"47,495","4,024","4,543","2,123","4,325","3,528","2,888","3,725","3,212","2,713","2,384","2,893","4,168","2,814","4,155"
2021년04월_계_50~59세,"56,344","4,207","5,092","2,557","4,881","4,343","3,748","4,466","3,680","3,257","2,864","3,358","5,368","3,742","4,781"
2021년04월_계_60~69세,"50,373","3,491","4,225","2,209","3,573","3,719","3,937","4,917","3,376","3,043","2,512","2,862","4,673","3,356","4,480"
2021년04월_계_70~79세,"27,506","1,981","2,294","1,371","1,733","1,774","2,685","2,804","2,035","1,608","1,617","1,172","2,598","1,929","1,905"
2021년04월_계_80~89세,"11,888",931,980,520,915,812,"1,018","1,141",877,754,617,580,968,778,997
2021년04월_계_90~99세,"1,661",118,98,49,143,129,115,186,112,103,82,105,154,103,164
2021년04월_계_100세 이상,120,7,4,7,9,2,2,23,16,19,6,3,6,7,9
2021년04월_남_총인구수,"156,570","11,870","14,331","7,062","12,926","11,928","10,793","13,346","10,469","9,075","8,096","8,931","14,288","10,048","13,407"
2021년04월_남_연령구간인구수,"156,570","11,870","14,331","7,062","12,926","11,928","10,793","13,346","10,469","9,075","8,096","8,931","14,288","10,048","13,407"
2021년04월_남_0~9세,"9,327",776,894,394,897,790,414,799,608,514,386,627,741,457,"1,030"
2021년04월_남_10~19세,"12,923","1,065","1,165",562,"1,307",981,630,854,784,702,541,985,"1,113",769,"1,465"
2021년04월_남_20~29세,"21,727","1,624","2,059",933,"1,850","1,797","1,393","1,660","1,429","1,282","1,221","1,259","1,974","1,447","1,799"
2021년04월_남_30~39세,"20,490","1,645","2,054",888,"1,635","1,761","1,286","1,805","1,326","1,308","1,200","1,107","1,698","1,197","1,580"
2021년04월_남_40~49세,"23,554","1,950","2,301","1,093","2,043","1,682","1,571","1,876","1,644","1,371","1,247","1,311","2,066","1,464","1,935"
2021년04월_남_50~59세,"26,867","1,955","2,424","1,284","2,303","1,992","1,855","2,186","1,776","1,479","1,313","1,517","2,700","1,856","2,227"
2021년04월_남_60~69세,"23,932","1,619","1,960","1,063","1,719","1,753","1,908","2,322","1,585","1,407","1,180","1,358","2,279","1,652","2,127"
2021년04월_남_70~79세,"12,686",851,"1,034",624,794,826,"1,280","1,355",936,694,711,548,"1,285",878,870
2021년04월_남_80~89세,"4,575",349,412,211,326,306,416,440,346,284,275,187,396,297,330
2021년04월_남_90~99세,454,34,27,8,48,40,39,45,29,26,21,32,35,29,41
2021년04월_남_100세 이상,35,2,1,2,4,0,1,4,6,8,1,0,1,2,3
2021년04월_여_총인구수,"164,657","13,106","15,043","7,040","13,986","12,945","10,508","14,004","11,229","9,785","8,577","9,989","14,431","9,857","14,157"
2021년04월_여_연령구간인구수,"164,657","13,106","15,043","7,040","13,986","12,945","10,508","14,004","11,229","9,785","8,577","9,989","14,431","9,857","14,157"
2021년04월_여_0~9세,"8,686",735,830,351,826,732,432,768,561,478,371,546,764,433,859
2021년04월_여_10~19세,"12,164","1,057","1,081",509,"1,279",936,533,813,829,633,487,984,"1,071",703,"1,249"
2021년04월_여_20~29세,"20,990","1,641","2,051",852,"1,815","1,846","1,199","1,640","1,597","1,225","1,278","1,260","1,847","1,208","1,531"
2021년04월_여_30~39세,"19,533","1,674","2,004",777,"1,724","1,723","1,021","1,749","1,256","1,221","1,107","1,179","1,576",962,"1,560"
2021년04월_여_40~49세,"23,941","2,074","2,242","1,030","2,282","1,846","1,317","1,849","1,568","1,342","1,137","1,582","2,102","1,350","2,220"
2021년04월_여_50~59세,"29,477","2,252","2,668","1,273","2,578","2,351","1,893","2,280","1,904","1,778","1,551","1,841","2,668","1,886","2,554"
2021년04월_여_60~69세,"26,441","1,872","2,265","1,146","1,854","1,966","2,029","2,595","1,791","1,636","1,332","1,504","2,394","1,704","2,353"
2021년04월_여_70~79세,"14,820","1,130","1,260",747,939,948,"1,405","1,449","1,099",914,906,624,"1,313","1,051","1,035"
2021년04월_여_80~89세,"7,313",582,568,309,589,506,602,701,531,470,342,393,572,481,667
2021년04월_여_90~99세,"1,207",84,71,41,95,89,76,141,83,77,61,73,119,74,123
2021년04월_여_100세 이상,85,5,3,5,5,2,1,19,10,11,5,3,5,5,6
