,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년08월_계_총인구수,"157,589","40,425","5,840","20,134","11,864","15,058","21,096","8,991","21,824","12,357"
2020년08월_계_연령구간인구수,"157,589","40,425","5,840","20,134","11,864","15,058","21,096","8,991","21,824","12,357"
2020년08월_계_0~9세,"15,346","3,766",246,"2,266",962,"1,407","2,156",726,"2,487","1,330"
2020년08월_계_10~19세,"15,578","4,099",365,"1,930","1,179","1,362","2,325",923,"2,124","1,271"
2020년08월_계_20~29세,"17,963","4,650",731,"2,046","1,555","1,932","2,461",928,"2,469","1,191"
2020년08월_계_30~39세,"23,686","6,099",801,"3,090","1,564","2,283","2,805","1,179","3,973","1,892"
2020년08월_계_40~49세,"25,891","7,224",841,"3,259","1,988","2,288","3,465","1,412","3,381","2,033"
2020년08월_계_50~59세,"26,119","6,677","1,072","3,294","2,311","2,412","3,876","1,477","3,094","1,906"
2020년08월_계_60~69세,"22,131","5,185","1,143","2,714","1,616","2,168","2,768","1,546","3,172","1,819"
2020년08월_계_70~79세,"8,072","1,987",486,"1,092",483,940,908,609,903,664
2020년08월_계_80~89세,"2,420",621,137,396,184,229,280,165,189,219
2020년08월_계_90~99세,358,110,17,43,20,34,50,25,30,29
2020년08월_계_100세 이상,25,7,1,4,2,3,2,1,2,3
2020년08월_남_총인구수,"82,449","21,682","3,151","10,377","6,221","7,819","10,798","4,595","11,538","6,268"
2020년08월_남_연령구간인구수,"82,449","21,682","3,151","10,377","6,221","7,819","10,798","4,595","11,538","6,268"
2020년08월_남_0~9세,"7,859","1,920",130,"1,151",489,741,"1,070",366,"1,305",687
2020년08월_남_10~19세,"8,233","2,188",192,"1,021",638,739,"1,190",475,"1,149",641
2020년08월_남_20~29세,"10,132","2,672",421,"1,130",846,"1,019","1,387",544,"1,450",663
2020년08월_남_30~39세,"13,085","3,532",507,"1,591",878,"1,264","1,455",628,"2,215","1,015"
2020년08월_남_40~49세,"14,035","4,106",491,"1,782","1,045","1,228","1,778",748,"1,810","1,047"
2020년08월_남_50~59세,"12,918","3,452",556,"1,681","1,158","1,177","1,915",693,"1,400",886
2020년08월_남_60~69세,"11,255","2,651",552,"1,371",854,"1,057","1,419",776,"1,627",948
2020년08월_남_70~79세,"4,108",963,250,538,242,503,481,310,508,313
2020년08월_남_80~89세,772,189,47,106,70,81,97,53,67,62
2020년08월_남_90~99세,48,9,5,6,1,8,5,2,6,6
2020년08월_남_100세 이상,4,0,0,0,0,2,1,0,1,0
2020년08월_여_총인구수,"75,140","18,743","2,689","9,757","5,643","7,239","10,298","4,396","10,286","6,089"
2020년08월_여_연령구간인구수,"75,140","18,743","2,689","9,757","5,643","7,239","10,298","4,396","10,286","6,089"
2020년08월_여_0~9세,"7,487","1,846",116,"1,115",473,666,"1,086",360,"1,182",643
2020년08월_여_10~19세,"7,345","1,911",173,909,541,623,"1,135",448,975,630
2020년08월_여_20~29세,"7,831","1,978",310,916,709,913,"1,074",384,"1,019",528
2020년08월_여_30~39세,"10,601","2,567",294,"1,499",686,"1,019","1,350",551,"1,758",877
2020년08월_여_40~49세,"11,856","3,118",350,"1,477",943,"1,060","1,687",664,"1,571",986
2020년08월_여_50~59세,"13,201","3,225",516,"1,613","1,153","1,235","1,961",784,"1,694","1,020"
2020년08월_여_60~69세,"10,876","2,534",591,"1,343",762,"1,111","1,349",770,"1,545",871
2020년08월_여_70~79세,"3,964","1,024",236,554,241,437,427,299,395,351
2020년08월_여_80~89세,"1,648",432,90,290,114,148,183,112,122,157
2020년08월_여_90~99세,310,101,12,37,19,26,45,23,24,23
2020년08월_여_100세 이상,21,7,1,4,2,1,1,1,1,3
