카테고리,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020년02월_계_총인구수,"134,171","6,836","1,976","1,279","2,048","2,239",717,"3,311","4,662","19,062","9,958","6,081","5,012","10,336","17,999","11,311","15,893","15,451"
2020년02월_계_연령구간인구수,"134,171","6,836","1,976","1,279","2,048","2,239",717,"3,311","4,662","19,062","9,958","6,081","5,012","10,336","17,999","11,311","15,893","15,451"
2020년02월_계_0~9세,"9,261",296,57,33,46,67,16,102,96,"1,701",852,286,220,818,"1,383",813,754,"1,721"
2020년02월_계_10~19세,"12,197",367,95,47,79,208,37,145,231,"2,488","1,153",455,337,917,"1,903","1,214","1,210","1,311"
2020년02월_계_20~29세,"15,097",497,121,69,91,92,31,189,396,"2,227","1,298",655,569,"1,088","2,785","1,396","1,988","1,605"
2020년02월_계_30~39세,"13,556",465,114,61,80,86,42,138,244,"2,165","1,095",519,439,"1,164","2,119","1,123","1,421","2,281"
2020년02월_계_40~49세,"18,926",720,144,96,143,193,78,258,423,"3,430","1,645",789,576,"1,513","2,732","1,774","2,003","2,409"
2020년02월_계_50~59세,"24,395","1,309",412,279,426,412,149,646,966,"3,338","1,772","1,096",935,"1,809","3,173","2,139","3,106","2,428"
2020년02월_계_60~69세,"21,571","1,583",527,315,541,556,181,905,"1,151","2,157","1,263","1,200","1,043","1,516","2,148","1,491","3,063","1,931"
2020년02월_계_70~79세,"12,320",978,282,227,384,394,96,551,703,"1,066",543,730,626,"1,008","1,077",900,"1,585","1,170"
2020년02월_계_80~89세,"5,991",536,192,133,228,202,70,322,391,441,291,297,238,441,615,400,657,537
2020년02월_계_90~99세,787,83,27,15,24,29,16,50,58,44,44,49,27,45,63,57,102,54
2020년02월_계_100세 이상,70,2,5,4,6,0,1,5,3,5,2,5,2,17,1,4,4,4
2020년02월_남_총인구수,"67,244","3,465","1,059",653,"1,054","1,139",359,"1,692","2,458","9,375","4,917","3,064","2,489","5,152","8,993","5,662","7,917","7,796"
2020년02월_남_연령구간인구수,"67,244","3,465","1,059",653,"1,054","1,139",359,"1,692","2,458","9,375","4,917","3,064","2,489","5,152","8,993","5,662","7,917","7,796"
2020년02월_남_0~9세,"4,699",155,32,19,23,37,5,57,50,835,448,150,108,432,695,412,367,874
2020년02월_남_10~19세,"6,315",186,58,22,43,112,20,87,136,"1,255",584,243,178,472,967,633,654,665
2020년02월_남_20~29세,"8,369",282,83,35,64,56,21,111,251,"1,218",673,356,326,600,"1,527",798,"1,109",859
2020년02월_남_30~39세,"7,048",248,67,37,48,46,26,78,161,"1,066",537,296,240,587,"1,116",560,779,"1,156"
2020년02월_남_40~49세,"9,748",398,79,58,85,123,46,149,268,"1,642",794,418,312,801,"1,349",872,"1,036","1,318"
2020년02월_남_50~59세,"12,434",702,239,145,224,209,80,334,498,"1,698",904,555,464,895,"1,614","1,127","1,484","1,262"
2020년02월_남_60~69세,"10,703",817,289,171,284,296,87,474,602,"1,043",629,566,463,741,"1,096",735,"1,480",930
2020년02월_남_70~79세,"5,569",462,133,113,196,185,39,266,325,461,233,345,305,445,429,370,744,518
2020년02월_남_80~89세,"2,163",195,69,51,75,70,31,120,154,147,104,121,86,160,189,145,243,203
2020년02월_남_90~99세,173,20,8,1,9,5,4,14,12,9,10,12,7,12,11,9,21,9
2020년02월_남_100세 이상,23,0,2,1,3,0,0,2,1,1,1,2,0,7,0,1,0,2
2020년02월_여_총인구수,"66,927","3,371",917,626,994,"1,100",358,"1,619","2,204","9,687","5,041","3,017","2,523","5,184","9,006","5,649","7,976","7,655"
2020년02월_여_연령구간인구수,"66,927","3,371",917,626,994,"1,100",358,"1,619","2,204","9,687","5,041","3,017","2,523","5,184","9,006","5,649","7,976","7,655"
2020년02월_여_0~9세,"4,562",141,25,14,23,30,11,45,46,866,404,136,112,386,688,401,387,847
2020년02월_여_10~19세,"5,882",181,37,25,36,96,17,58,95,"1,233",569,212,159,445,936,581,556,646
2020년02월_여_20~29세,"6,728",215,38,34,27,36,10,78,145,"1,009",625,299,243,488,"1,258",598,879,746
2020년02월_여_30~39세,"6,508",217,47,24,32,40,16,60,83,"1,099",558,223,199,577,"1,003",563,642,"1,125"
2020년02월_여_40~49세,"9,178",322,65,38,58,70,32,109,155,"1,788",851,371,264,712,"1,383",902,967,"1,091"
2020년02월_여_50~59세,"11,961",607,173,134,202,203,69,312,468,"1,640",868,541,471,914,"1,559","1,012","1,622","1,166"
2020년02월_여_60~69세,"10,868",766,238,144,257,260,94,431,549,"1,114",634,634,580,775,"1,052",756,"1,583","1,001"
2020년02월_여_70~79세,"6,751",516,149,114,188,209,57,285,378,605,310,385,321,563,648,530,841,652
2020년02월_여_80~89세,"3,828",341,123,82,153,132,39,202,237,294,187,176,152,281,426,255,414,334
2020년02월_여_90~99세,614,63,19,14,15,24,12,36,46,35,34,37,20,33,52,48,81,45
2020년02월_여_100세 이상,47,2,3,3,3,0,1,3,2,4,1,3,2,10,1,3,4,2
