,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동
2020년07월_계_총인구수,"346,217","42,880","2,611","3,175","6,188","8,762","6,425","7,400","5,703","3,657","2,477","19,494","55,068","32,377","23,879","30,003","34,544","31,159","19,573","10,842"
2020년07월_계_연령구간인구수,"346,217","42,880","2,611","3,175","6,188","8,762","6,425","7,400","5,703","3,657","2,477","19,494","55,068","32,377","23,879","30,003","34,544","31,159","19,573","10,842"
2020년07월_계_0~9세,"47,066","3,357",86,100,348,305,205,345,206,84,109,"2,762","9,171","4,336","3,820","4,955","6,268","5,648","3,299","1,662"
2020년07월_계_10~19세,"41,228","4,213",107,130,376,424,305,441,404,135,191,"3,395","6,859","4,534","4,272","4,157","4,643","3,156","2,466","1,020"
2020년07월_계_20~29세,"36,176","6,312",331,302,727,858,919,797,560,303,280,"1,709","6,002","3,747","1,755","2,623","2,639","3,067","1,942","1,303"
2020년07월_계_30~39세,"60,806","5,362",302,279,687,866,772,697,523,269,188,"2,707","12,083","5,879","3,686","5,803","6,921","7,526","3,893","2,363"
2020년07월_계_40~49세,"66,688","6,927",323,340,874,992,905,927,724,370,351,"4,584","11,099","6,914","6,015","6,353","7,441","5,801","3,916","1,832"
2020년07월_계_50~59세,"43,570","6,703",530,549,"1,123","1,636","1,243","1,302","1,076",720,459,"2,494","5,684","3,771","2,533","3,112","3,361","3,470","2,254","1,550"
2020년07월_계_60~69세,"28,607","5,200",479,685,982,"1,753","1,058","1,345",963,869,402,"1,135","2,903","1,896","1,144","1,840","2,229","1,734","1,217",773
2020년07월_계_70~79세,"13,961","3,089",264,419,635,"1,159",584,922,688,520,278,480,884,841,451,802,782,533,414,216
2020년07월_계_80~89세,"6,915","1,474",164,310,389,660,379,546,475,328,196,193,319,379,161,309,213,176,144,100
