,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2021년03월_계_총인구수,"82,079","2,650","2,488","2,530","3,575","3,806","1,323","2,536","1,770","1,813","2,637","5,017","2,232","1,882","4,600","1,352","11,131","12,813","11,385","6,539"
2021년03월_계_연령구간인구수,"82,079","2,650","2,488","2,530","3,575","3,806","1,323","2,536","1,770","1,813","2,637","5,017","2,232","1,882","4,600","1,352","11,131","12,813","11,385","6,539"
2021년03월_계_0~9세,"4,217",95,57,69,89,126,44,73,50,53,44,185,67,43,133,44,747,892,981,425
2021년03월_계_10~19세,"6,108",122,105,114,161,204,62,125,78,76,103,303,90,69,197,60,"1,007","1,391","1,341",500
2021년03월_계_20~29세,"7,095",152,120,153,268,258,84,188,85,109,124,425,127,133,313,81,"1,268","1,354","1,276",577
2021년03월_계_30~39세,"6,515",163,125,167,209,267,86,161,105,103,143,320,123,94,275,75,"1,110","1,210","1,151",628
2021년03월_계_40~49세,"9,926",249,221,240,324,392,106,217,173,183,241,563,185,179,432,141,"1,577","1,901","1,841",761
2021년03월_계_50~59세,"13,545",427,354,436,586,660,189,432,268,272,377,940,323,341,846,202,"1,833","2,139","1,852","1,068"
2021년03월_계_60~69세,"14,789",650,591,546,789,774,292,567,389,397,581,999,500,400,"1,003",275,"1,724","1,775","1,445","1,092"
2021년03월_계_70~79세,"11,423",418,495,484,639,651,247,415,332,356,577,781,427,341,793,282,"1,128","1,284",903,870
2021년03월_계_80~89세,"7,193",313,363,270,419,403,184,303,242,218,377,434,346,248,505,163,617,766,498,524
2021년03월_계_90~99세,"1,230",61,56,48,89,70,29,53,47,44,69,64,42,32,96,29,116,101,97,87
2021년03월_계_100세 이상,38,0,1,3,2,1,0,2,1,2,1,3,2,2,7,0,4,0,0,7
2021년03월_남_총인구수,"40,688","1,344","1,232","1,345","1,814","1,863",626,"1,301",887,912,"1,270","2,556","1,101",951,"2,327",696,"5,482","6,225","5,499","3,257"
2021년03월_남_연령구간인구수,"40,688","1,344","1,232","1,345","1,814","1,863",626,"1,301",887,912,"1,270","2,556","1,101",951,"2,327",696,"5,482","6,225","5,499","3,257"
2021년03월_남_0~9세,"2,193",58,33,40,45,64,22,40,31,23,22,95,40,21,62,23,391,459,497,227
2021년03월_남_10~19세,"3,129",74,61,63,89,93,36,62,43,45,51,162,46,40,111,28,485,715,675,250
2021년03월_남_20~29세,"3,966",94,77,94,148,134,51,113,52,67,77,232,78,77,191,52,687,734,681,327
2021년03월_남_30~39세,"3,478",95,75,110,120,144,48,90,62,61,85,179,75,61,164,44,569,614,564,318
2021년03월_남_40~49세,"5,544",153,141,155,215,238,68,138,111,119,158,341,128,119,265,102,819,955,897,422
2021년03월_남_50~59세,"7,396",233,209,281,323,362,100,255,149,157,219,519,182,193,476,118,959,"1,086",980,595
2021년03월_남_60~69세,"7,440",338,292,281,429,398,139,303,192,216,296,527,253,214,525,138,812,851,682,554
2021년03월_남_70~79세,"4,990",196,231,223,291,289,101,192,149,151,229,340,178,147,345,124,517,539,366,382
2021년03월_남_80~89세,"2,279",90,106,90,127,118,55,93,89,64,123,142,115,72,161,57,215,246,145,171
2021년03월_남_90~99세,266,13,6,8,26,22,6,15,9,9,9,19,6,7,27,10,26,26,12,10
2021년03월_남_100세 이상,7,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1
2021년03월_여_총인구수,"41,391","1,306","1,256","1,185","1,761","1,943",697,"1,235",883,901,"1,367","2,461","1,131",931,"2,273",656,"5,649","6,588","5,886","3,282"
2021년03월_여_연령구간인구수,"41,391","1,306","1,256","1,185","1,761","1,943",697,"1,235",883,901,"1,367","2,461","1,131",931,"2,273",656,"5,649","6,588","5,886","3,282"
2021년03월_여_0~9세,"2,024",37,24,29,44,62,22,33,19,30,22,90,27,22,71,21,356,433,484,198
2021년03월_여_10~19세,"2,979",48,44,51,72,111,26,63,35,31,52,141,44,29,86,32,522,676,666,250
2021년03월_여_20~29세,"3,129",58,43,59,120,124,33,75,33,42,47,193,49,56,122,29,581,620,595,250
2021년03월_여_30~39세,"3,037",68,50,57,89,123,38,71,43,42,58,141,48,33,111,31,541,596,587,310
2021년03월_여_40~49세,"4,382",96,80,85,109,154,38,79,62,64,83,222,57,60,167,39,758,946,944,339
2021년03월_여_50~59세,"6,149",194,145,155,263,298,89,177,119,115,158,421,141,148,370,84,874,"1,053",872,473
2021년03월_여_60~69세,"7,349",312,299,265,360,376,153,264,197,181,285,472,247,186,478,137,912,924,763,538
2021년03월_여_70~79세,"6,433",222,264,261,348,362,146,223,183,205,348,441,249,194,448,158,611,745,537,488
2021년03월_여_80~89세,"4,914",223,257,180,292,285,129,210,153,154,254,292,231,176,344,106,402,520,353,353
2021년03월_여_90~99세,964,48,50,40,63,48,23,38,38,35,60,45,36,25,69,19,90,75,85,77
2021년03월_여_100세 이상,31,0,0,3,1,0,0,2,1,2,0,3,2,2,7,0,2,0,0,6
