,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021년11월_계_총인구수,"62,663","18,193","19,066","2,383","6,090","2,818","3,362","5,273","1,893","2,693",892
2021년11월_계_연령구간인구수,"62,663","18,193","19,066","2,383","6,090","2,818","3,362","5,273","1,893","2,693",892
2021년11월_계_0~9세,"3,619","1,149","1,684",58,281,64,48,246,18,57,14
2021년11월_계_10~19세,"5,778","1,932","2,646",102,287,72,135,415,60,108,21
2021년11월_계_20~29세,"5,086","1,924","1,519",133,443,149,189,410,93,181,45
2021년11월_계_30~39세,"5,064","1,703","1,785",143,513,133,139,375,78,153,42
2021년11월_계_40~49세,"8,890","2,713","3,686",201,558,249,280,730,153,258,62
2021년11월_계_50~59세,"11,017","3,356","3,157",401,969,518,551,"1,064",327,523,151
2021년11월_계_60~69세,"11,702","2,930","2,635",619,"1,380",761,832,"1,004",522,740,279
2021년11월_계_70~79세,"6,628","1,468","1,255",385,868,488,649,614,362,378,161
2021년11월_계_80~89세,"4,254",884,601,302,693,337,465,363,256,255,98
2021년11월_계_90~99세,613,130,94,39,96,47,74,51,23,40,19
2021년11월_계_100세 이상,12,4,4,0,2,0,0,1,1,0,0
2021년11월_남_총인구수,"31,882","9,162","9,677","1,202","3,173","1,449","1,679","2,760",968,"1,358",454
2021년11월_남_연령구간인구수,"31,882","9,162","9,677","1,202","3,173","1,449","1,679","2,760",968,"1,358",454
2021년11월_남_0~9세,"1,840",602,836,28,137,36,27,132,7,28,7
2021년11월_남_10~19세,"3,051","1,043","1,371",53,155,41,75,212,29,59,13
2021년11월_남_20~29세,"3,000","1,128",850,81,294,94,115,239,55,120,24
2021년11월_남_30~39세,"2,602",871,838,75,297,85,80,207,46,83,20
2021년11월_남_40~49세,"4,795","1,394","1,869",118,353,169,177,419,97,156,43
2021년11월_남_50~59세,"6,067","1,762","1,742",228,570,312,319,602,190,258,84
2021년11월_남_60~69세,"6,136","1,449","1,368",332,752,397,444,559,286,397,152
2021년11월_남_70~79세,"2,980",619,594,178,393,207,283,278,162,185,81
2021년11월_남_80~89세,"1,299",265,188,102,204,97,147,107,91,69,29
2021년11월_남_90~99세,109,29,20,7,16,11,12,5,5,3,1
2021년11월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2021년11월_여_총인구수,"30,781","9,031","9,389","1,181","2,917","1,369","1,683","2,513",925,"1,335",438
2021년11월_여_연령구간인구수,"30,781","9,031","9,389","1,181","2,917","1,369","1,683","2,513",925,"1,335",438
2021년11월_여_0~9세,"1,779",547,848,30,144,28,21,114,11,29,7
2021년11월_여_10~19세,"2,727",889,"1,275",49,132,31,60,203,31,49,8
2021년11월_여_20~29세,"2,086",796,669,52,149,55,74,171,38,61,21
2021년11월_여_30~39세,"2,462",832,947,68,216,48,59,168,32,70,22
2021년11월_여_40~49세,"4,095","1,319","1,817",83,205,80,103,311,56,102,19
2021년11월_여_50~59세,"4,950","1,594","1,415",173,399,206,232,462,137,265,67
2021년11월_여_60~69세,"5,566","1,481","1,267",287,628,364,388,445,236,343,127
2021년11월_여_70~79세,"3,648",849,661,207,475,281,366,336,200,193,80
2021년11월_여_80~89세,"2,955",619,413,200,489,240,318,256,165,186,69
2021년11월_여_90~99세,504,101,74,32,80,36,62,46,18,37,18
2021년11월_여_100세 이상,9,4,3,0,0,0,0,1,1,0,0
