카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2020년09월_계_총인구수,"287,452","7,869","6,735","45,765","16,328","19,603","25,708","30,277","2,929","10,414","19,205","4,085","3,735","46,543","48,256"
2020년09월_계_연령구간인구수,"287,452","7,869","6,735","45,765","16,328","19,603","25,708","30,277","2,929","10,414","19,205","4,085","3,735","46,543","48,256"
2020년09월_계_0~9세,"30,130",369,318,"3,890",985,"1,135","2,181","4,686",98,"1,545","2,586",138,167,"5,005","7,027"
2020년09월_계_10~19세,"24,500",436,427,"3,928","1,137","1,255","2,569","2,872",163,760,"1,853",202,187,"3,696","5,015"
2020년09월_계_20~29세,"35,083",990,"1,013","5,267","2,223","2,570","3,076","3,300",341,"1,154","2,179",493,476,"7,907","4,094"
2020년09월_계_30~39세,"49,365","1,039","1,025","6,789","2,338","2,984","3,449","5,743",407,"2,383","3,330",438,469,"10,801","8,170"
2020년09월_계_40~49세,"50,350","1,071",941,"7,326","2,313","2,630","4,446","5,855",389,"1,720","3,715",568,482,"8,546","10,348"
2020년09월_계_50~59세,"41,360","1,506","1,259","7,188","2,952","3,537","4,148","3,839",592,"1,207","2,865",799,770,"4,910","5,788"
2020년09월_계_60~69세,"34,186","1,506","1,009","6,682","2,650","3,337","3,384","2,502",532,"1,000","1,873",792,738,"3,454","4,727"
2020년09월_계_70~79세,"15,785",619,508,"3,372","1,237","1,504","1,711",951,266,449,600,401,299,"1,603","2,265"
2020년09월_계_80~89세,"5,585",277,202,"1,125",420,542,634,392,116,164,164,214,134,520,681
2020년09월_계_90~99세,986,48,27,182,60,100,101,108,18,26,37,33,11,99,136
2020년09월_계_100세 이상,122,8,6,16,13,9,9,29,7,6,3,7,2,2,5
2020년09월_남_총인구수,"144,433","4,322","3,478","22,631","8,250","9,896","12,817","14,994","1,618","5,253","9,353","2,289","2,138","23,601","23,793"
2020년09월_남_연령구간인구수,"144,433","4,322","3,478","22,631","8,250","9,896","12,817","14,994","1,618","5,253","9,353","2,289","2,138","23,601","23,793"
2020년09월_남_0~9세,"15,373",187,158,"1,946",500,604,"1,160","2,339",52,795,"1,275",71,87,"2,603","3,596"
2020년09월_남_10~19세,"12,497",234,225,"2,049",613,624,"1,325","1,459",86,401,892,111,98,"1,842","2,538"
2020년09월_남_20~29세,"17,947",567,552,"2,736","1,202","1,410","1,654","1,654",198,558,"1,073",274,273,"3,718","2,078"
2020년09월_남_30~39세,"24,949",610,601,"3,471","1,253","1,631","1,763","2,676",253,"1,174","1,482",272,297,"5,729","3,737"
2020년09월_남_40~49세,"26,507",653,512,"3,700","1,201","1,362","2,220","3,082",231,939,"1,914",351,303,"4,600","5,439"
2020년09월_남_50~59세,"20,475",845,651,"3,400","1,396","1,736","2,003","1,875",322,588,"1,365",483,444,"2,533","2,834"
2020년09월_남_60~69세,"16,597",810,480,"3,184","1,278","1,620","1,611","1,238",288,499,967,435,423,"1,551","2,213"
2020년09월_남_70~79세,"7,861",304,221,"1,655",623,720,814,501,133,239,328,194,160,838,"1,131"
2020년09월_남_80~89세,"1,973",97,73,438,167,172,240,138,46,48,48,92,50,166,198
2020년09월_남_90~99세,222,13,3,46,14,14,26,22,7,11,9,4,3,21,29
2020년09월_남_100세 이상,32,2,2,6,3,3,1,10,2,1,0,2,0,0,0
2020년09월_여_총인구수,"143,019","3,547","3,257","23,134","8,078","9,707","12,891","15,283","1,311","5,161","9,852","1,796","1,597","22,942","24,463"
2020년09월_여_연령구간인구수,"143,019","3,547","3,257","23,134","8,078","9,707","12,891","15,283","1,311","5,161","9,852","1,796","1,597","22,942","24,463"
2020년09월_여_0~9세,"14,757",182,160,"1,944",485,531,"1,021","2,347",46,750,"1,311",67,80,"2,402","3,431"
2020년09월_여_10~19세,"12,003",202,202,"1,879",524,631,"1,244","1,413",77,359,961,91,89,"1,854","2,477"
2020년09월_여_20~29세,"17,136",423,461,"2,531","1,021","1,160","1,422","1,646",143,596,"1,106",219,203,"4,189","2,016"
2020년09월_여_30~39세,"24,416",429,424,"3,318","1,085","1,353","1,686","3,067",154,"1,209","1,848",166,172,"5,072","4,433"
2020년09월_여_40~49세,"23,843",418,429,"3,626","1,112","1,268","2,226","2,773",158,781,"1,801",217,179,"3,946","4,909"
2020년09월_여_50~59세,"20,885",661,608,"3,788","1,556","1,801","2,145","1,964",270,619,"1,500",316,326,"2,377","2,954"
2020년09월_여_60~69세,"17,589",696,529,"3,498","1,372","1,717","1,773","1,264",244,501,906,357,315,"1,903","2,514"
2020년09월_여_70~79세,"7,924",315,287,"1,717",614,784,897,450,133,210,272,207,139,765,"1,134"
2020년09월_여_80~89세,"3,612",180,129,687,253,370,394,254,70,116,116,122,84,354,483
2020년09월_여_90~99세,764,35,24,136,46,86,75,86,11,15,28,29,8,78,107
2020년09월_여_100세 이상,90,6,4,10,10,6,8,19,5,5,3,5,2,2,5
