,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2021년11월_계_총인구수,"33,793","13,274","4,397","2,234","1,128","2,434","1,768","2,759","1,823","1,602",610,"1,764"
2021년11월_계_연령구간인구수,"33,793","13,274","4,397","2,234","1,128","2,434","1,768","2,759","1,823","1,602",610,"1,764"
2021년11월_계_0~9세,"1,544",865,242,53,24,49,66,89,33,43,11,69
2021년11월_계_10~19세,"2,414","1,326",333,109,44,128,88,118,68,77,43,80
2021년11월_계_20~29세,"2,721","1,471",352,136,51,109,66,179,111,93,35,118
2021년11월_계_30~39세,"2,255","1,164",340,98,56,98,79,157,79,60,17,107
2021년11월_계_40~49세,"3,545","1,760",460,181,93,178,156,239,124,129,47,178
2021년11월_계_50~59세,"5,520","2,192",719,363,182,358,288,418,320,269,100,311
2021년11월_계_60~69세,"6,440","2,097",785,485,263,577,406,619,378,348,107,375
2021년11월_계_70~79세,"5,085","1,447",595,427,231,490,324,502,356,284,122,307
2021년11월_계_80~89세,"3,664",821,493,328,150,382,260,372,316,250,103,189
2021년11월_계_90~99세,594,130,75,52,33,64,35,66,36,48,25,30
2021년11월_계_100세 이상,11,1,3,2,1,1,0,0,2,1,0,0
2021년11월_남_총인구수,"16,370","6,401","2,127","1,081",544,"1,178",855,"1,363",891,752,302,876
2021년11월_남_연령구간인구수,"16,370","6,401","2,127","1,081",544,"1,178",855,"1,363",891,752,302,876
2021년11월_남_0~9세,766,439,114,31,8,25,28,44,22,18,5,32
2021년11월_남_10~19세,"1,238",655,189,46,23,69,42,58,35,45,28,48
2021년11월_남_20~29세,"1,544",808,203,80,33,64,39,115,62,50,22,68
2021년11월_남_30~39세,"1,165",587,176,53,31,60,38,80,48,31,4,57
2021년11월_남_40~49세,"1,947",866,246,115,61,107,101,149,80,80,35,107
2021년11월_남_50~59세,"3,016","1,127",378,195,110,209,162,240,198,152,64,181
2021년11월_남_60~69세,"3,247","1,017",427,251,125,301,203,318,194,175,59,177
2021년11월_남_70~79세,"2,207",629,238,188,104,219,154,228,146,112,53,136
2021년11월_남_80~89세,"1,127",247,142,114,45,112,85,116,97,77,26,66
2021년11월_남_90~99세,108,25,14,7,4,11,3,15,8,11,6,4
2021년11월_남_100세 이상,5,1,0,1,0,1,0,0,1,1,0,0
2021년11월_여_총인구수,"17,423","6,873","2,270","1,153",584,"1,256",913,"1,396",932,850,308,888
2021년11월_여_연령구간인구수,"17,423","6,873","2,270","1,153",584,"1,256",913,"1,396",932,850,308,888
2021년11월_여_0~9세,778,426,128,22,16,24,38,45,11,25,6,37
2021년11월_여_10~19세,"1,176",671,144,63,21,59,46,60,33,32,15,32
2021년11월_여_20~29세,"1,177",663,149,56,18,45,27,64,49,43,13,50
2021년11월_여_30~39세,"1,090",577,164,45,25,38,41,77,31,29,13,50
2021년11월_여_40~49세,"1,598",894,214,66,32,71,55,90,44,49,12,71
2021년11월_여_50~59세,"2,504","1,065",341,168,72,149,126,178,122,117,36,130
2021년11월_여_60~69세,"3,193","1,080",358,234,138,276,203,301,184,173,48,198
2021년11월_여_70~79세,"2,878",818,357,239,127,271,170,274,210,172,69,171
2021년11월_여_80~89세,"2,537",574,351,214,105,270,175,256,219,173,77,123
2021년11월_여_90~99세,486,105,61,45,29,53,32,51,28,37,19,26
2021년11월_여_100세 이상,6,0,3,1,1,0,0,0,1,0,0,0
