카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2021년03월_계_총인구수,"68,751","34,486","4,623","2,413","2,374","3,729","4,001","6,247","3,788","3,882","3,208"
2021년03월_계_연령구간인구수,"68,751","34,486","4,623","2,413","2,374","3,729","4,001","6,247","3,788","3,882","3,208"
2021년03월_계_0~9세,"3,729","2,550",124,47,47,131,108,388,100,113,121
2021년03월_계_10~19세,"5,110","3,497",163,108,77,184,187,443,123,188,140
2021년03월_계_20~29세,"6,764","4,118",380,146,118,277,237,809,234,262,183
2021년03월_계_30~39세,"5,981","3,822",285,107,98,199,216,603,229,230,192
2021년03월_계_40~49세,"8,130","5,250",393,156,181,301,335,527,353,362,272
2021년03월_계_50~59세,"12,472","5,946",788,441,479,772,750,995,731,812,758
2021년03월_계_60~69세,"14,202","5,132","1,272",699,727,"1,018","1,127","1,268","1,092","1,007",860
2021년03월_계_70~79세,"7,254","2,521",702,404,370,484,626,670,554,512,411
2021년03월_계_80~89세,"4,432","1,426",434,253,247,317,371,476,317,354,237
2021년03월_계_90~99세,643,206,79,51,29,42,41,68,53,41,33
2021년03월_계_100세 이상,34,18,3,1,1,4,3,0,2,1,1
2021년03월_남_총인구수,"35,381","17,450","2,445","1,202","1,239","1,898","2,072","3,329","2,003","2,045","1,698"
2021년03월_남_연령구간인구수,"35,381","17,450","2,445","1,202","1,239","1,898","2,072","3,329","2,003","2,045","1,698"
2021년03월_남_0~9세,"1,874","1,269",61,28,32,72,49,191,51,53,68
2021년03월_남_10~19세,"2,613","1,815",90,56,39,94,116,166,64,105,68
2021년03월_남_20~29세,"4,104","2,367",256,88,70,174,139,603,138,154,115
2021년03월_남_30~39세,"3,279","2,047",167,56,57,100,123,343,150,134,102
2021년03월_남_40~49세,"4,353","2,638",249,91,123,161,204,303,213,219,152
2021년03월_남_50~59세,"6,573","3,096",430,233,249,403,399,527,376,440,420
2021년03월_남_60~69세,"7,411","2,574",675,362,380,532,585,686,603,553,461
2021년03월_남_70~79세,"3,428","1,086",357,184,193,243,312,324,266,250,213
2021년03월_남_80~89세,"1,585",504,140,93,86,108,135,172,125,132,90
2021년03월_남_90~99세,157,53,20,11,10,10,9,14,17,5,8
2021년03월_남_100세 이상,4,1,0,0,0,1,1,0,0,0,1
2021년03월_여_총인구수,"33,370","17,036","2,178","1,211","1,135","1,831","1,929","2,918","1,785","1,837","1,510"
2021년03월_여_연령구간인구수,"33,370","17,036","2,178","1,211","1,135","1,831","1,929","2,918","1,785","1,837","1,510"
2021년03월_여_0~9세,"1,855","1,281",63,19,15,59,59,197,49,60,53
2021년03월_여_10~19세,"2,497","1,682",73,52,38,90,71,277,59,83,72
2021년03월_여_20~29세,"2,660","1,751",124,58,48,103,98,206,96,108,68
2021년03월_여_30~39세,"2,702","1,775",118,51,41,99,93,260,79,96,90
2021년03월_여_40~49세,"3,777","2,612",144,65,58,140,131,224,140,143,120
2021년03월_여_50~59세,"5,899","2,850",358,208,230,369,351,468,355,372,338
2021년03월_여_60~69세,"6,791","2,558",597,337,347,486,542,582,489,454,399
2021년03월_여_70~79세,"3,826","1,435",345,220,177,241,314,346,288,262,198
2021년03월_여_80~89세,"2,847",922,294,160,161,209,236,304,192,222,147
2021년03월_여_90~99세,486,153,59,40,19,32,32,54,36,36,25
2021년03월_여_100세 이상,30,17,3,1,1,3,2,0,2,1,0
