,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년06월_계_총인구수,"116,513","12,072","2,605","2,877","1,429","2,296","2,464","3,567","1,943","4,617","4,241","3,375","1,868","4,192","7,672","2,659","4,842","8,736","3,240","3,395","38,423"
2021년06월_계_연령구간인구수,"116,513","12,072","2,605","2,877","1,429","2,296","2,464","3,567","1,943","4,617","4,241","3,375","1,868","4,192","7,672","2,659","4,842","8,736","3,240","3,395","38,423"
2021년06월_계_0~9세,"10,070","1,084",45,55,18,79,45,61,32,93,117,78,29,96,604,136,214,695,104,109,"6,376"
2021년06월_계_10~19세,"9,624",790,142,128,48,126,79,155,53,164,205,131,58,190,814,204,354,907,248,204,"4,624"
2021년06월_계_20~29세,"12,373","1,171",188,246,94,140,166,242,121,336,361,292,102,290,"1,224",316,491,"1,278",252,384,"4,679"
2021년06월_계_30~39세,"14,541","1,609",118,155,66,112,113,192,91,267,299,237,94,217,920,262,370,887,211,288,"8,033"
2021년06월_계_40~49세,"16,626","1,671",215,252,121,223,188,295,150,362,430,344,139,350,"1,188",368,571,"1,355",307,415,"7,682"
2021년06월_계_50~59세,"17,339","1,959",464,514,248,353,374,592,325,881,744,667,379,731,"1,301",458,829,"1,448",586,597,"3,889"
2021년06월_계_60~69세,"16,580","1,975",575,638,317,512,574,840,445,"1,097",875,729,446,930,829,429,868,"1,063",655,667,"2,116"
2021년06월_계_70~79세,"11,457","1,135",483,472,278,422,515,654,371,763,745,522,348,810,488,291,728,710,521,450,751
2021년06월_계_80~89세,"6,840",591,320,367,204,295,360,468,307,547,401,330,236,507,270,162,358,336,303,240,238
2021년06월_계_90~99세,"1,033",86,53,48,35,30,50,65,46,105,62,45,35,68,32,33,58,56,53,39,34
2021년06월_계_100세 이상,30,1,2,2,0,4,0,3,2,2,2,0,2,3,2,0,1,1,0,2,1
