카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021년09월_계_총인구수,"24,706","5,142","1,825","2,497","2,081","2,495","2,590","1,761","6,315"
2021년09월_계_연령구간인구수,"24,706","5,142","1,825","2,497","2,081","2,495","2,590","1,761","6,315"
2021년09월_계_0~9세,949,281,46,70,74,55,71,53,299
2021년09월_계_10~19세,"1,163",345,53,88,99,94,96,51,337
2021년09월_계_20~29세,"1,586",438,85,130,134,112,101,82,504
2021년09월_계_30~39세,"1,576",451,108,119,97,114,116,90,481
2021년09월_계_40~49세,"2,297",591,139,163,188,174,191,132,719
2021년09월_계_50~59세,"4,537",997,342,466,417,444,485,261,"1,125"
2021년09월_계_60~69세,"5,701",953,478,665,447,736,636,463,"1,323"
2021년09월_계_70~79세,"3,977",614,340,464,354,446,515,327,917
2021년09월_계_80~89세,"2,566",414,209,292,235,280,326,257,553
2021년09월_계_90~99세,338,54,25,39,33,39,50,45,53
2021년09월_계_100세 이상,16,4,0,1,3,1,3,0,4
2021년09월_남_총인구수,"12,306","2,540",904,"1,230","1,037","1,228","1,249",879,"3,239"
2021년09월_남_연령구간인구수,"12,306","2,540",904,"1,230","1,037","1,228","1,249",879,"3,239"
2021년09월_남_0~9세,485,150,20,35,37,28,40,25,150
2021년09월_남_10~19세,622,174,33,52,53,51,53,21,185
2021년09월_남_20~29세,955,253,50,76,79,62,63,49,323
2021년09월_남_30~39세,918,251,66,62,55,70,63,60,291
2021년09월_남_40~49세,"1,311",307,89,94,111,98,111,80,421
2021년09월_남_50~59세,"2,428",525,176,253,232,233,254,146,609
2021년09월_남_60~69세,"2,844",473,255,323,215,357,320,259,642
2021년09월_남_70~79세,"1,779",261,147,212,165,202,219,148,425
2021년09월_남_80~89세,895,138,65,116,83,119,113,80,181
2021년09월_남_90~99세,66,8,3,6,7,8,13,11,10
2021년09월_남_100세 이상,3,0,0,1,0,0,0,0,2
2021년09월_여_총인구수,"12,400","2,602",921,"1,267","1,044","1,267","1,341",882,"3,076"
2021년09월_여_연령구간인구수,"12,400","2,602",921,"1,267","1,044","1,267","1,341",882,"3,076"
2021년09월_여_0~9세,464,131,26,35,37,27,31,28,149
2021년09월_여_10~19세,541,171,20,36,46,43,43,30,152
2021년09월_여_20~29세,631,185,35,54,55,50,38,33,181
2021년09월_여_30~39세,658,200,42,57,42,44,53,30,190
2021년09월_여_40~49세,986,284,50,69,77,76,80,52,298
2021년09월_여_50~59세,"2,109",472,166,213,185,211,231,115,516
2021년09월_여_60~69세,"2,857",480,223,342,232,379,316,204,681
2021년09월_여_70~79세,"2,198",353,193,252,189,244,296,179,492
2021년09월_여_80~89세,"1,671",276,144,176,152,161,213,177,372
2021년09월_여_90~99세,272,46,22,33,26,31,37,34,43
2021년09월_여_100세 이상,13,4,0,0,3,1,3,0,2
