,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년10월_계_총인구수,"282,320","7,717","19,584","1,476","2,569","1,093","3,863","2,581",957,"17,325","3,536","3,578","2,877","2,270","8,877","9,839","11,898","14,997","21,218","4,583","11,996","4,507","35,547","49,484","18,712","21,236"
2020년10월_계_연령구간인구수,"282,320","7,717","19,584","1,476","2,569","1,093","3,863","2,581",957,"17,325","3,536","3,578","2,877","2,270","8,877","9,839","11,898","14,997","21,218","4,583","11,996","4,507","35,547","49,484","18,712","21,236"
2020년10월_계_0~9세,"21,789",345,"2,210",30,104,27,120,70,12,"1,484",81,99,76,86,966,797,545,"1,297","1,780",339,436,150,"2,626","4,481","1,499","2,129"
2020년10월_계_10~19세,"27,028",455,"2,434",63,142,34,188,150,25,"1,700",164,180,135,118,682,752,877,"1,486","2,006",398,657,231,"4,419","5,984","1,562","2,186"
2020년10월_계_20~29세,"37,163",816,"1,910",128,254,37,242,186,35,"2,165",246,848,394,269,"1,031","1,235","1,875","2,155","2,638",547,"2,692","1,012","5,117","6,249","2,433","2,649"
2020년10월_계_30~39세,"34,311",662,"2,447",89,194,68,235,114,40,"2,374",271,420,306,211,"1,456","1,288","1,367","2,134","2,879",483,"1,321",605,"3,819","6,214","2,578","2,736"
2020년10월_계_40~49세,"42,489",895,"3,546",119,256,85,356,230,65,"2,892",372,386,365,259,"1,189","1,369","1,555","2,183","3,159",700,"1,427",504,"5,972","8,488","2,750","3,367"
2020년10월_계_50~59세,"47,158","1,476","3,061",273,524,215,716,493,193,"2,821",684,521,504,401,"1,266","1,730","2,035","2,457","3,441",766,"1,836",678,"6,274","8,316","3,187","3,290"
2020년10월_계_60~69세,"37,720","1,420","2,365",387,571,281,938,646,290,"2,184",900,521,516,408,"1,085","1,329","1,866","1,671","2,843",667,"1,700",646,"3,876","5,462","2,643","2,505"
2020년10월_계_70~79세,"21,018",944,992,214,283,190,581,414,190,"1,030",514,372,336,299,740,824,"1,118",978,"1,523",425,"1,172",409,"2,106","2,592","1,328","1,444"
2020년10월_계_80~89세,"11,622",612,508,159,215,135,394,232,95,577,256,206,202,173,383,432,564,545,818,219,661,234,"1,161","1,453",606,782
2020년10월_계_90~99세,"1,907",88,108,13,25,20,85,45,12,95,45,22,41,43,74,72,92,85,130,37,87,36,172,238,115,127
2020년10월_계_100세 이상,115,4,3,1,1,1,8,1,0,3,3,3,2,3,5,11,4,6,1,2,7,2,5,7,11,21
2020년10월_남_총인구수,"139,320","3,854","9,719",804,"1,330",591,"1,990","1,268",528,"8,641","1,873","1,821","1,394","1,099","4,478","4,799","5,894","7,166","10,080","2,303","6,348","2,267","17,414","23,814","9,183","10,662"
2020년10월_남_연령구간인구수,"139,320","3,854","9,719",804,"1,330",591,"1,990","1,268",528,"8,641","1,873","1,821","1,394","1,099","4,478","4,799","5,894","7,166","10,080","2,303","6,348","2,267","17,414","23,814","9,183","10,662"
2020년10월_남_0~9세,"11,181",168,"1,150",12,58,19,58,35,6,782,48,65,44,40,510,396,279,657,891,169,212,80,"1,319","2,306",783,"1,094"
2020년10월_남_10~19세,"14,046",235,"1,272",42,63,18,112,86,11,870,89,101,67,65,374,408,453,776,997,223,358,116,"2,252","3,099",798,"1,161"
2020년10월_남_20~29세,"19,792",450,"1,039",74,156,26,130,110,19,"1,112",135,441,200,155,539,653,985,"1,102","1,337",307,"1,580",490,"2,673","3,284","1,281","1,514"
