,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년06월_계_총인구수,"511,314","44,963","36,276","10,002","56,065","12,118","42,259","21,982","16,103","20,358","22,507","32,234","22,982","21,250","71,154","1,965","23,823","31,410","23,863"
2021년06월_계_연령구간인구수,"511,314","44,963","36,276","10,002","56,065","12,118","42,259","21,982","16,103","20,358","22,507","32,234","22,982","21,250","71,154","1,965","23,823","31,410","23,863"
2021년06월_계_0~9세,"48,870","3,503","1,601",431,"7,283",664,"5,763","1,504","1,382","1,125","1,281","2,358","1,710","1,626","10,725",45,"1,706","3,706","2,457"
2021년06월_계_10~19세,"50,361","3,500","3,151",730,"5,739","1,165","3,398","2,182","1,491","1,123","1,950","3,509","2,110","2,659","8,123",50,"2,818","3,963","2,700"
2021년06월_계_20~29세,"70,248","6,784","5,885","1,399","6,685","1,673","4,167","2,851","1,904","3,248","3,753","5,203","3,035","3,550","9,044",161,"3,688","3,957","3,261"
2021년06월_계_30~39세,"78,524","6,994","3,927",976,"9,758","1,085","8,221","2,609","2,373","3,970","3,345","4,361","3,141","2,405","14,285",176,"2,580","4,711","3,607"
2021년06월_계_40~49세,"92,241","6,594","5,142","1,287","9,843","1,901","7,552","3,811","3,161","4,219","4,521","6,179","4,599","3,782","14,935",175,"4,138","6,220","4,182"
2021년06월_계_50~59세,"89,124","8,580","8,075","2,214","8,687","2,498","5,739","4,089","2,710","3,782","4,324","6,244","4,593","4,342","8,697",455,"4,867","5,178","4,050"
2021년06월_계_60~69세,"51,166","5,730","5,290","1,764","5,211","1,725","4,667","2,911","1,820","1,919","2,187","2,710","2,434","1,698","3,850",564,"2,295","2,269","2,122"
2021년06월_계_70~79세,"19,887","2,069","2,105",757,"1,868",875,"1,841","1,307",851,654,752,"1,031",876,717,"1,039",230,"1,074",913,928
2021년06월_계_80~89세,"9,360","1,030",956,381,843,462,767,621,358,274,336,566,403,426,389,85,569,427,467
2021년06월_계_90~99세,"1,428",170,121,54,142,67,130,86,49,41,55,70,79,44,66,20,83,64,87
2021년06월_계_100세 이상,105,9,23,9,6,3,14,11,4,3,3,3,2,1,1,4,5,2,2
2021년06월_남_총인구수,"267,078","22,821","18,743","5,256","27,997","6,355","21,397","11,519","8,387","12,833","13,307","17,487","12,950","10,511","36,445","1,206","12,143","15,855","11,866"
2021년06월_남_연령구간인구수,"267,078","22,821","18,743","5,256","27,997","6,355","21,397","11,519","8,387","12,833","13,307","17,487","12,950","10,511","36,445","1,206","12,143","15,855","11,866"
2021년06월_남_0~9세,"24,837","1,793",850,218,"3,667",319,"2,909",781,685,570,643,"1,178",872,848,"5,435",23,887,"1,897","1,262"
2021년06월_남_10~19세,"25,863","1,803","1,649",384,"2,921",615,"1,732","1,139",778,576,"1,004","1,815","1,096","1,350","4,081",28,"1,470","2,055","1,367"
2021년06월_남_20~29세,"38,133","3,581","3,214",775,"3,418",974,"2,114","1,572","1,016","2,128","2,403","3,035","1,745","1,821","4,710",102,"1,947","1,994","1,584"
2021년06월_남_30~39세,"41,998","3,638","2,173",563,"4,792",577,"4,117","1,467","1,266","2,714","2,119","2,561","1,864","1,209","7,278",120,"1,347","2,312","1,881"
2021년06월_남_40~49세,"49,734","3,400","2,692",668,"5,102","1,004","4,100","2,111","1,741","2,858","2,820","3,432","2,803","1,782","7,924",122,"2,033","3,111","2,031"
2021년06월_남_50~59세,"46,885","4,257","4,130","1,172","4,291","1,383","2,902","2,148","1,475","2,403","2,614","3,316","2,614","2,166","4,385",290,"2,552","2,721","2,066"
2021년06월_남_60~69세,"27,175","3,045","2,810",957,"2,655",925,"2,354","1,476",881,"1,146","1,248","1,503","1,396",904,"2,015",344,"1,216","1,210","1,090"
2021년06월_남_70~79세,"9,083",951,929,361,875,395,900,589,395,342,338,435,403,276,477,134,468,402,413
2021년06월_남_80~89세,"3,058",324,268,134,250,144,239,219,139,89,110,192,146,141,128,36,208,138,153
2021년06월_남_90~99세,282,28,25,19,25,18,26,14,9,6,6,20,10,14,12,5,13,14,18
2021년06월_남_100세 이상,30,1,3,5,1,1,4,3,2,1,2,0,1,0,0,2,2,1,1
2021년06월_여_총인구수,"244,236","22,142","17,533","4,746","28,068","5,763","20,862","10,463","7,716","7,525","9,200","14,747","10,032","10,739","34,709",759,"11,680","15,555","11,997"
2021년06월_여_연령구간인구수,"244,236","22,142","17,533","4,746","28,068","5,763","20,862","10,463","7,716","7,525","9,200","14,747","10,032","10,739","34,709",759,"11,680","15,555","11,997"
2021년06월_여_0~9세,"24,033","1,710",751,213,"3,616",345,"2,854",723,697,555,638,"1,180",838,778,"5,290",22,819,"1,809","1,195"
2021년06월_여_10~19세,"24,498","1,697","1,502",346,"2,818",550,"1,666","1,043",713,547,946,"1,694","1,014","1,309","4,042",22,"1,348","1,908","1,333"
2021년06월_여_20~29세,"32,115","3,203","2,671",624,"3,267",699,"2,053","1,279",888,"1,120","1,350","2,168","1,290","1,729","4,334",59,"1,741","1,963","1,677"
2021년06월_여_30~39세,"36,526","3,356","1,754",413,"4,966",508,"4,104","1,142","1,107","1,256","1,226","1,800","1,277","1,196","7,007",56,"1,233","2,399","1,726"
2021년06월_여_40~49세,"42,507","3,194","2,450",619,"4,741",897,"3,452","1,700","1,420","1,361","1,701","2,747","1,796","2,000","7,011",53,"2,105","3,109","2,151"
2021년06월_여_50~59세,"42,239","4,323","3,945","1,042","4,396","1,115","2,837","1,941","1,235","1,379","1,710","2,928","1,979","2,176","4,312",165,"2,315","2,457","1,984"
2021년06월_여_60~69세,"23,991","2,685","2,480",807,"2,556",800,"2,313","1,435",939,773,939,"1,207","1,038",794,"1,835",220,"1,079","1,059","1,032"
2021년06월_여_70~79세,"10,804","1,118","1,176",396,993,480,941,718,456,312,414,596,473,441,562,96,606,511,515
2021년06월_여_80~89세,"6,302",706,688,247,593,318,528,402,219,185,226,374,257,285,261,49,361,289,314
2021년06월_여_90~99세,"1,146",142,96,35,117,49,104,72,40,35,49,50,69,30,54,15,70,50,69
2021년06월_여_100세 이상,75,8,20,4,5,2,10,8,2,2,1,3,1,1,1,2,3,1,1
