,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021년12월_계_총인구수,"31,878","14,757","1,865","1,455","2,148","1,625","2,305","1,887",734,"1,726","1,640","1,736"
2021년12월_계_연령구간인구수,"31,878","14,757","1,865","1,455","2,148","1,625","2,305","1,887",734,"1,726","1,640","1,736"
2021년12월_계_0~9세,"1,334",943,28,84,43,22,56,42,19,42,30,25
2021년12월_계_10~19세,"2,017","1,305",79,69,90,48,119,85,25,66,61,70
2021년12월_계_20~29세,"2,247","1,327",122,97,78,74,160,107,22,83,84,93
2021년12월_계_30~39세,"2,016","1,221",71,141,75,64,161,72,15,57,71,68
2021년12월_계_40~49세,"3,135","1,877",137,153,142,102,187,151,53,104,99,130
2021년12월_계_50~59세,"5,605","2,625",383,230,364,246,370,303,126,311,310,337
2021년12월_계_60~69세,"7,353","2,758",520,304,594,437,559,543,239,475,439,485
2021년12월_계_70~79세,"4,423","1,517",323,197,410,327,374,302,131,304,275,263
2021년12월_계_80~89세,"3,220","1,023",170,156,309,268,289,232,89,242,223,219
2021년12월_계_90~99세,514,154,32,23,41,37,29,49,15,41,47,46
2021년12월_계_100세 이상,14,7,0,1,2,0,1,1,0,1,1,0
2021년12월_남_총인구수,"16,074","7,346",971,772,"1,030",802,"1,176",951,401,864,843,918
2021년12월_남_연령구간인구수,"16,074","7,346",971,772,"1,030",802,"1,176",951,401,864,843,918
2021년12월_남_0~9세,691,465,17,46,22,15,32,24,12,23,20,15
2021년12월_남_10~19세,"1,063",697,37,28,47,24,64,40,14,33,34,45
2021년12월_남_20~29세,"1,353",764,81,70,43,47,97,59,14,58,61,59
2021년12월_남_30~39세,"1,089",607,46,88,44,42,107,40,8,28,38,41
2021년12월_남_40~49세,"1,746",977,87,91,83,67,114,90,35,72,61,69
2021년12월_남_50~59세,"3,119","1,400",212,145,204,145,216,167,79,180,177,194
2021년12월_남_60~69세,"3,784","1,363",278,154,294,216,277,299,129,254,247,273
2021년12월_남_70~79세,"2,031",683,138,92,180,150,167,153,74,140,117,137
2021년12월_남_80~89세,"1,080",349,66,53,100,88,99,72,35,68,76,74
2021년12월_남_90~99세,118,41,9,5,13,8,3,7,1,8,12,11
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"15,804","7,411",894,683,"1,118",823,"1,129",936,333,862,797,818
2021년12월_여_연령구간인구수,"15,804","7,411",894,683,"1,118",823,"1,129",936,333,862,797,818
2021년12월_여_0~9세,643,478,11,38,21,7,24,18,7,19,10,10
2021년12월_여_10~19세,954,608,42,41,43,24,55,45,11,33,27,25
2021년12월_여_20~29세,894,563,41,27,35,27,63,48,8,25,23,34
2021년12월_여_30~39세,927,614,25,53,31,22,54,32,7,29,33,27
2021년12월_여_40~49세,"1,389",900,50,62,59,35,73,61,18,32,38,61
2021년12월_여_50~59세,"2,486","1,225",171,85,160,101,154,136,47,131,133,143
2021년12월_여_60~69세,"3,569","1,395",242,150,300,221,282,244,110,221,192,212
2021년12월_여_70~79세,"2,392",834,185,105,230,177,207,149,57,164,158,126
2021년12월_여_80~89세,"2,140",674,104,103,209,180,190,160,54,174,147,145
2021년12월_여_90~99세,396,113,23,18,28,29,26,42,14,33,35,35
2021년12월_여_100세 이상,14,7,0,1,2,0,1,1,0,1,1,0
