카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2021년01월_계_총인구수,"146,428","12,353","9,251","12,179","17,240","11,587","10,726","11,044","11,247","7,293","9,635","16,059","9,305","8,509"
2021년01월_계_연령구간인구수,"146,428","12,353","9,251","12,179","17,240","11,587","10,726","11,044","11,247","7,293","9,635","16,059","9,305","8,509"
2021년01월_계_0~9세,"6,760",780,371,843,850,506,380,373,473,257,540,763,328,296
2021년01월_계_10~19세,"9,358","1,044",523,985,"1,336",744,628,612,620,395,629,908,486,448
2021년01월_계_20~29세,"20,412","1,215","1,139","1,266","2,121","1,789","2,005","1,503","1,667","1,414","1,424","2,486","1,353","1,030"
2021년01월_계_30~39세,"17,114","1,295","1,138","1,376","1,878","1,393","1,327","1,159","1,218",859,"1,282","2,161","1,123",905
2021년01월_계_40~49세,"20,276","1,993","1,336","1,703","2,535","1,587","1,383","1,484","1,381",877,"1,419","2,331","1,205","1,042"
2021년01월_계_50~59세,"24,919","1,975","1,631","2,038","2,954","2,040","1,675","2,006","2,023","1,173","1,571","2,705","1,601","1,527"
2021년01월_계_60~69세,"24,117","1,762","1,531","2,000","2,839","1,887","1,618","1,982","2,091","1,139","1,427","2,429","1,681","1,731"
2021년01월_계_70~79세,"15,143","1,389",954,"1,198","1,705","1,099","1,112","1,302","1,213",757,869,"1,529",997,"1,019"
2021년01월_계_80~89세,"7,279",762,562,665,894,464,528,546,497,374,413,636,478,460
2021년01월_계_90~99세,961,129,60,98,115,75,63,66,56,43,56,101,51,48
2021년01월_계_100세 이상,89,9,6,7,13,3,7,11,8,5,5,10,2,3
2021년01월_남_총인구수,"70,355","5,829","4,443","5,829","8,192","5,654","5,037","5,503","5,487","3,486","4,611","7,813","4,408","4,063"
2021년01월_남_연령구간인구수,"70,355","5,829","4,443","5,829","8,192","5,654","5,037","5,503","5,487","3,486","4,611","7,813","4,408","4,063"
2021년01월_남_0~9세,"3,496",433,189,424,458,270,187,208,229,148,256,387,165,142
2021년01월_남_10~19세,"4,941",570,284,495,684,400,296,330,340,220,339,485,261,237
2021년01월_남_20~29세,"10,168",613,543,677,"1,060",897,925,771,879,618,699,"1,267",664,555
2021년01월_남_30~39세,"9,005",643,617,702,964,739,686,657,680,454,641,"1,108",597,517
2021년01월_남_40~49세,"10,224",980,682,817,"1,196",821,712,828,707,460,698,"1,196",602,525
2021년01월_남_50~59세,"12,169",971,809,945,"1,476",961,835,"1,050","1,000",587,777,"1,292",746,720
2021년01월_남_60~69세,"11,039",768,719,938,"1,260",882,748,911,956,531,676,"1,135",750,765
2021년01월_남_70~79세,"6,438",540,386,545,719,493,457,541,524,323,378,664,444,424
2021년01월_남_80~89세,"2,629",280,202,253,343,171,174,192,159,133,139,253,165,165
2021년01월_남_90~99세,228,31,10,30,30,20,14,14,10,11,8,25,13,12
2021년01월_남_100세 이상,18,0,2,3,2,0,3,1,3,1,0,1,1,1
2021년01월_여_총인구수,"76,073","6,524","4,808","6,350","9,048","5,933","5,689","5,541","5,760","3,807","5,024","8,246","4,897","4,446"
2021년01월_여_연령구간인구수,"76,073","6,524","4,808","6,350","9,048","5,933","5,689","5,541","5,760","3,807","5,024","8,246","4,897","4,446"
2021년01월_여_0~9세,"3,264",347,182,419,392,236,193,165,244,109,284,376,163,154
2021년01월_여_10~19세,"4,417",474,239,490,652,344,332,282,280,175,290,423,225,211
2021년01월_여_20~29세,"10,244",602,596,589,"1,061",892,"1,080",732,788,796,725,"1,219",689,475
2021년01월_여_30~39세,"8,109",652,521,674,914,654,641,502,538,405,641,"1,053",526,388
2021년01월_여_40~49세,"10,052","1,013",654,886,"1,339",766,671,656,674,417,721,"1,135",603,517
2021년01월_여_50~59세,"12,750","1,004",822,"1,093","1,478","1,079",840,956,"1,023",586,794,"1,413",855,807
2021년01월_여_60~69세,"13,078",994,812,"1,062","1,579","1,005",870,"1,071","1,135",608,751,"1,294",931,966
2021년01월_여_70~79세,"8,705",849,568,653,986,606,655,761,689,434,491,865,553,595
2021년01월_여_80~89세,"4,650",482,360,412,551,293,354,354,338,241,274,383,313,295
2021년01월_여_90~99세,733,98,50,68,85,55,49,52,46,32,48,76,38,36
2021년01월_여_100세 이상,71,9,4,4,11,3,4,10,5,4,5,9,1,2
