카테고리,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020년01월_계_총인구수,"105,459","5,503","1,323","7,311","5,292","3,101","2,917","3,955","4,354","8,838","3,473","5,184","1,791","2,923","14,820","20,979","7,486","6,209"
2020년01월_계_연령구간인구수,"105,459","5,503","1,323","7,311","5,292","3,101","2,917","3,955","4,354","8,838","3,473","5,184","1,791","2,923","14,820","20,979","7,486","6,209"
2020년01월_계_0~9세,"5,928",155,25,293,149,65,88,99,82,517,84,120,39,76,"1,204","2,153",357,422
2020년01월_계_10~19세,"8,127",268,53,457,262,95,135,214,157,583,150,264,66,171,"1,322","2,694",607,629
2020년01월_계_20~29세,"9,483",365,125,554,379,186,204,230,269,733,202,353,80,277,"1,829","2,256",728,713
2020년01월_계_30~39세,"9,297",344,71,537,361,164,171,208,264,762,176,274,82,217,"1,918","2,397",674,677
2020년01월_계_40~49세,"13,264",566,120,802,506,212,289,372,338,"1,079",315,437,128,334,"2,286","3,566",953,961
2020년01월_계_50~59세,"19,346","1,046",232,"1,386","1,047",577,593,780,934,"1,603",635,964,296,581,"2,675","3,410","1,399","1,188"
2020년01월_계_60~69세,"20,070","1,347",317,"1,561","1,273",895,681,994,"1,199","1,711",900,"1,232",486,608,"2,091","2,489","1,359",927
2020년01월_계_70~79세,"12,323",909,227,"1,033",777,528,473,661,673,"1,149",603,869,347,439,963,"1,312",894,466
2020년01월_계_80~89세,"6,726",438,130,616,471,330,251,354,389,619,372,581,239,196,454,620,463,203
2020년01월_계_90~99세,856,63,23,66,66,49,30,42,47,75,32,88,28,20,76,80,51,20
2020년01월_계_100세 이상,39,2,0,6,1,0,2,1,2,7,4,2,0,4,2,2,1,3
2020년01월_남_총인구수,"51,578","2,714",640,"3,626","2,670","1,479","1,480","2,021","2,146","4,370","1,736","2,525",865,"1,436","7,317","10,120","3,458","2,975"
2020년01월_남_연령구간인구수,"51,578","2,714",640,"3,626","2,670","1,479","1,480","2,021","2,146","4,370","1,736","2,525",865,"1,436","7,317","10,120","3,458","2,975"
2020년01월_남_0~9세,"2,999",78,12,153,74,27,47,50,44,243,43,63,17,31,602,"1,132",182,201
2020년01월_남_10~19세,"4,267",135,25,243,148,49,73,119,90,320,76,140,37,98,698,"1,407",296,313
2020년01월_남_20~29세,"5,428",208,66,326,228,119,128,154,167,429,122,214,54,174,"1,013","1,262",380,384
2020년01월_남_30~39세,"4,911",210,43,307,212,97,100,122,147,408,117,158,44,115,"1,007","1,133",340,351
2020년01월_남_40~49세,"7,013",327,74,486,298,128,171,238,197,607,200,240,78,185,"1,158","1,683",478,465
2020년01월_남_50~59세,"9,760",549,128,711,562,279,316,401,477,807,327,532,137,301,"1,315","1,655",694,569
2020년01월_남_60~69세,"9,732",669,152,751,653,438,339,522,595,885,446,606,261,272,983,"1,119",607,434
2020년01월_남_70~79세,"5,262",397,97,447,333,241,231,310,309,468,279,369,155,192,388,524,329,193
2020년01월_남_80~89세,"2,032",130,37,189,150,94,72,98,112,185,118,189,75,61,134,187,138,63
2020년01월_남_90~99세,170,11,6,12,12,7,2,7,8,18,7,14,7,6,19,18,14,2
2020년01월_남_100세 이상,4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2020년01월_여_총인구수,"53,881","2,789",683,"3,685","2,622","1,622","1,437","1,934","2,208","4,468","1,737","2,659",926,"1,487","7,503","10,859","4,028","3,234"
2020년01월_여_연령구간인구수,"53,881","2,789",683,"3,685","2,622","1,622","1,437","1,934","2,208","4,468","1,737","2,659",926,"1,487","7,503","10,859","4,028","3,234"
2020년01월_여_0~9세,"2,929",77,13,140,75,38,41,49,38,274,41,57,22,45,602,"1,021",175,221
2020년01월_여_10~19세,"3,860",133,28,214,114,46,62,95,67,263,74,124,29,73,624,"1,287",311,316
2020년01월_여_20~29세,"4,055",157,59,228,151,67,76,76,102,304,80,139,26,103,816,994,348,329
2020년01월_여_30~39세,"4,386",134,28,230,149,67,71,86,117,354,59,116,38,102,911,"1,264",334,326
2020년01월_여_40~49세,"6,251",239,46,316,208,84,118,134,141,472,115,197,50,149,"1,128","1,883",475,496
2020년01월_여_50~59세,"9,586",497,104,675,485,298,277,379,457,796,308,432,159,280,"1,360","1,755",705,619
2020년01월_여_60~69세,"10,338",678,165,810,620,457,342,472,604,826,454,626,225,336,"1,108","1,370",752,493
2020년01월_여_70~79세,"7,061",512,130,586,444,287,242,351,364,681,324,500,192,247,575,788,565,273
2020년01월_여_80~89세,"4,694",308,93,427,321,236,179,256,277,434,254,392,164,135,320,433,325,140
2020년01월_여_90~99세,686,52,17,54,54,42,28,35,39,57,25,74,21,14,57,62,37,18
2020년01월_여_100세 이상,35,2,0,5,1,0,1,1,2,7,3,2,0,3,2,2,1,3
