카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021년03월_계_총인구수,"383,052","112,596","46,282","23,088","9,444","15,302","1,505","2,580","24,948","22,109","18,401","39,161","33,495","34,141"
2021년03월_계_연령구간인구수,"383,052","112,596","46,282","23,088","9,444","15,302","1,505","2,580","24,948","22,109","18,401","39,161","33,495","34,141"
2021년03월_계_0~9세,"34,518","11,090","3,709","1,386",463,"1,086",36,147,"1,948","1,645","1,964","3,054","2,647","5,343"
2021년03월_계_10~19세,"33,771","8,808","4,783","1,831",652,"1,225",66,193,"2,254","2,012","1,640","3,636","2,678","3,993"
2021년03월_계_20~29세,"45,155","13,440","5,540","2,822","1,010","1,179",112,178,"3,380","2,808","2,374","5,008","4,270","3,034"
2021년03월_계_30~39세,"57,009","19,724","6,143","2,786",996,"1,473",92,221,"3,511","2,945","2,908","5,246","4,839","6,125"
2021년03월_계_40~49세,"67,082","20,239","8,215","3,557","1,346","2,446",153,354,"4,079","3,748","3,187","6,843","5,697","7,218"
2021년03월_계_50~59세,"63,845","17,394","7,958","4,578","1,830","2,580",269,479,"4,412","3,953","3,032","7,335","5,927","4,098"
2021년03월_계_60~69세,"49,532","13,335","5,972","3,571","1,809","2,998",390,517,"3,171","3,075","2,126","5,170","4,726","2,672"
2021년03월_계_70~79세,"22,297","6,034","2,691","1,636",832,"1,594",225,300,"1,514","1,371",861,"2,056","1,969","1,214"
2021년03월_계_80~89세,"8,534","2,175","1,107",819,433,619,141,161,599,478,264,717,640,381
2021년03월_계_90~99세,"1,255",339,160,99,68,99,21,29,77,70,42,90,100,61
2021년03월_계_100세 이상,54,18,4,3,5,3,0,1,3,4,3,6,2,2
2021년03월_남_총인구수,"195,851","57,028","24,067","12,330","5,197","7,792",781,"1,374","12,885","11,119","9,185","19,914","17,229","16,950"
2021년03월_남_연령구간인구수,"195,851","57,028","24,067","12,330","5,197","7,792",781,"1,374","12,885","11,119","9,185","19,914","17,229","16,950"
2021년03월_남_0~9세,"17,755","5,761","1,938",706,237,534,22,73,"1,035",805,"1,024","1,564","1,371","2,685"
2021년03월_남_10~19세,"17,267","4,521","2,417",972,346,662,33,100,"1,161",979,792,"1,833","1,383","2,068"
2021년03월_남_20~29세,"23,983","7,042","2,958","1,578",591,655,59,93,"1,826","1,481","1,226","2,648","2,292","1,534"
2021년03월_남_30~39세,"29,690","10,255","3,230","1,555",584,760,50,117,"1,849","1,575","1,458","2,816","2,542","2,899"
2021년03월_남_40~49세,"35,417","10,768","4,361","1,926",805,"1,342",84,203,"2,140","1,936","1,629","3,512","3,056","3,655"
2021년03월_남_50~59세,"32,600","8,459","4,275","2,552","1,028","1,334",149,272,"2,355","1,978","1,463","3,652","2,994","2,089"
2021년03월_남_60~69세,"24,812","6,450","3,136","1,905","1,002","1,446",209,289,"1,597","1,538","1,056","2,572","2,353","1,259"
2021년03월_남_70~79세,"10,775","2,849","1,305",799,427,791,108,146,701,644,415,"1,013",982,595
2021년03월_남_80~89세,"3,264",835,415,311,160,240,60,76,208,166,117,281,238,157
2021년03월_남_90~99세,277,83,31,25,16,26,7,5,12,17,5,23,18,9
2021년03월_남_100세 이상,11,5,1,1,1,2,0,0,1,0,0,0,0,0
2021년03월_여_총인구수,"187,201","55,568","22,215","10,758","4,247","7,510",724,"1,206","12,063","10,990","9,216","19,247","16,266","17,191"
2021년03월_여_연령구간인구수,"187,201","55,568","22,215","10,758","4,247","7,510",724,"1,206","12,063","10,990","9,216","19,247","16,266","17,191"
2021년03월_여_0~9세,"16,763","5,329","1,771",680,226,552,14,74,913,840,940,"1,490","1,276","2,658"
2021년03월_여_10~19세,"16,504","4,287","2,366",859,306,563,33,93,"1,093","1,033",848,"1,803","1,295","1,925"
2021년03월_여_20~29세,"21,172","6,398","2,582","1,244",419,524,53,85,"1,554","1,327","1,148","2,360","1,978","1,500"
2021년03월_여_30~39세,"27,319","9,469","2,913","1,231",412,713,42,104,"1,662","1,370","1,450","2,430","2,297","3,226"
2021년03월_여_40~49세,"31,665","9,471","3,854","1,631",541,"1,104",69,151,"1,939","1,812","1,558","3,331","2,641","3,563"
2021년03월_여_50~59세,"31,245","8,935","3,683","2,026",802,"1,246",120,207,"2,057","1,975","1,569","3,683","2,933","2,009"
2021년03월_여_60~69세,"24,720","6,885","2,836","1,666",807,"1,552",181,228,"1,574","1,537","1,070","2,598","2,373","1,413"
2021년03월_여_70~79세,"11,522","3,185","1,386",837,405,803,117,154,813,727,446,"1,043",987,619
2021년03월_여_80~89세,"5,270","1,340",692,508,273,379,81,85,391,312,147,436,402,224
2021년03월_여_90~99세,978,256,129,74,52,73,14,24,65,53,37,67,82,52
2021년03월_여_100세 이상,43,13,3,2,4,1,0,1,2,4,3,6,2,2
