,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2021년06월_계_총인구수,"28,035","12,709","2,833","2,297","2,602","3,022","4,572"
2021년06월_계_연령구간인구수,"28,035","12,709","2,833","2,297","2,602","3,022","4,572"
2021년06월_계_0~9세,"1,318",849,55,60,76,96,182
2021년06월_계_10~19세,"1,822","1,134",160,89,94,122,223
2021년06월_계_20~29세,"2,371","1,253",211,191,154,154,408
2021년06월_계_30~39세,"2,282","1,254",153,144,197,210,324
2021년06월_계_40~49세,"3,498","1,920",297,229,246,319,487
2021년06월_계_50~59세,"4,997","2,181",533,434,457,494,898
2021년06월_계_60~69세,"5,821","2,127",666,510,687,745,"1,086"
2021년06월_계_70~79세,"3,641","1,236",474,372,422,510,627
2021년06월_계_80~89세,"1,938",633,244,235,232,313,281
2021년06월_계_90~99세,333,117,40,31,35,56,54
2021년06월_계_100세 이상,14,5,0,2,2,3,2
2021년06월_남_총인구수,"14,305","6,461","1,463","1,161","1,343","1,566","2,311"
2021년06월_남_연령구간인구수,"14,305","6,461","1,463","1,161","1,343","1,566","2,311"
2021년06월_남_0~9세,675,432,30,28,41,50,94
2021년06월_남_10~19세,978,617,92,39,53,63,114
2021년06월_남_20~29세,"1,401",749,124,111,93,99,225
2021년06월_남_30~39세,"1,251",651,93,79,120,120,188
2021년06월_남_40~49세,"1,902",966,169,141,148,205,273
2021년06월_남_50~59세,"2,678","1,148",304,240,223,285,478
2021년06월_남_60~69세,"2,941","1,054",330,258,367,390,542
2021년06월_남_70~79세,"1,695",584,210,168,197,242,294
2021년06월_남_80~89세,714,232,106,89,92,107,88
2021년06월_남_90~99세,68,26,5,8,9,5,15
2021년06월_남_100세 이상,2,2,0,0,0,0,0
2021년06월_여_총인구수,"13,730","6,248","1,370","1,136","1,259","1,456","2,261"
2021년06월_여_연령구간인구수,"13,730","6,248","1,370","1,136","1,259","1,456","2,261"
2021년06월_여_0~9세,643,417,25,32,35,46,88
2021년06월_여_10~19세,844,517,68,50,41,59,109
2021년06월_여_20~29세,970,504,87,80,61,55,183
2021년06월_여_30~39세,"1,031",603,60,65,77,90,136
2021년06월_여_40~49세,"1,596",954,128,88,98,114,214
2021년06월_여_50~59세,"2,319","1,033",229,194,234,209,420
2021년06월_여_60~69세,"2,880","1,073",336,252,320,355,544
2021년06월_여_70~79세,"1,946",652,264,204,225,268,333
2021년06월_여_80~89세,"1,224",401,138,146,140,206,193
2021년06월_여_90~99세,265,91,35,23,26,51,39
2021년06월_여_100세 이상,12,3,0,2,2,3,2
