,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2021년04월_계_총인구수,"35,962","10,901","6,178","2,344","1,124","1,477",539,912,"1,719","6,324","2,773","1,671"
2021년04월_계_연령구간인구수,"35,962","10,901","6,178","2,344","1,124","1,477",539,912,"1,719","6,324","2,773","1,671"
2021년04월_계_0~9세,"1,567",741,225,47,12,35,9,25,44,336,68,25
2021년04월_계_10~19세,"2,056",923,297,60,37,33,15,30,71,416,129,45
2021년04월_계_20~29세,"2,342",941,408,122,44,68,16,45,79,462,107,50
2021년04월_계_30~39세,"2,337","1,001",387,111,44,55,12,31,73,441,121,61
2021년04월_계_40~49세,"3,794","1,552",647,175,66,104,26,75,164,681,203,101
2021년04월_계_50~59세,"6,083","1,835","1,131",403,186,255,89,143,299,"1,071",433,238
2021년04월_계_60~69세,"7,524","1,843","1,395",551,287,386,143,192,417,"1,241",642,427
2021년04월_계_70~79세,"5,819","1,216","1,068",477,225,292,139,200,356,918,552,376
2021년04월_계_80~89세,"3,887",725,553,342,192,220,81,155,201,650,460,308
2021년04월_계_90~99세,531,116,66,55,29,28,9,16,15,106,58,33
2021년04월_계_100세 이상,22,8,1,1,2,1,0,0,0,2,0,7
2021년04월_남_총인구수,"17,031","5,216","2,893","1,144",508,732,252,429,805,"2,927","1,299",826
2021년04월_남_연령구간인구수,"17,031","5,216","2,893","1,144",508,732,252,429,805,"2,927","1,299",826
2021년04월_남_0~9세,783,361,116,26,8,19,4,15,24,156,40,14
2021년04월_남_10~19세,"1,047",447,165,40,19,21,7,15,40,213,59,21
2021년04월_남_20~29세,"1,354",545,234,73,24,41,10,28,46,262,59,32
2021년04월_남_30~39세,"1,221",490,214,62,27,28,8,14,42,227,71,38
2021년04월_남_40~49세,"2,088",789,362,113,31,70,21,46,92,360,133,71
2021년04월_남_50~59세,"3,262",997,580,233,105,148,50,83,156,541,241,128
2021년04월_남_60~69세,"3,614",854,643,292,152,198,67,90,193,580,321,224
2021년04월_남_70~79세,"2,357",486,412,188,83,128,57,88,146,376,221,172
2021년04월_남_80~89세,"1,208",225,159,107,55,70,27,48,60,197,145,115
2021년04월_남_90~99세,94,21,8,10,4,9,1,2,6,15,9,9
2021년04월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,2
2021년04월_여_총인구수,"18,931","5,685","3,285","1,200",616,745,287,483,914,"3,397","1,474",845
2021년04월_여_연령구간인구수,"18,931","5,685","3,285","1,200",616,745,287,483,914,"3,397","1,474",845
2021년04월_여_0~9세,784,380,109,21,4,16,5,10,20,180,28,11
2021년04월_여_10~19세,"1,009",476,132,20,18,12,8,15,31,203,70,24
2021년04월_여_20~29세,988,396,174,49,20,27,6,17,33,200,48,18
2021년04월_여_30~39세,"1,116",511,173,49,17,27,4,17,31,214,50,23
2021년04월_여_40~49세,"1,706",763,285,62,35,34,5,29,72,321,70,30
2021년04월_여_50~59세,"2,821",838,551,170,81,107,39,60,143,530,192,110
2021년04월_여_60~69세,"3,910",989,752,259,135,188,76,102,224,661,321,203
2021년04월_여_70~79세,"3,462",730,656,289,142,164,82,112,210,542,331,204
2021년04월_여_80~89세,"2,679",500,394,235,137,150,54,107,141,453,315,193
2021년04월_여_90~99세,437,95,58,45,25,19,8,14,9,91,49,24
2021년04월_여_100세 이상,19,7,1,1,2,1,0,0,0,2,0,5
