,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2021년09월_계_총인구수,"50,732","24,135","1,773","1,840","2,692","1,591","1,643",855,"1,424","1,103","1,019","3,560","1,735","3,053","4,309"
2021년09월_계_연령구간인구수,"50,732","24,135","1,773","1,840","2,692","1,591","1,643",855,"1,424","1,103","1,019","3,560","1,735","3,053","4,309"
2021년09월_계_0~9세,"2,350","1,689",42,23,97,20,33,11,42,21,26,139,19,57,131
2021년09월_계_10~19세,"4,129","2,671",80,103,179,69,59,27,56,69,30,313,54,142,277
2021년09월_계_20~29세,"3,737","2,213",79,86,218,67,69,44,91,53,48,240,73,174,282
2021년09월_계_30~39세,"3,541","2,197",88,86,172,70,65,33,70,39,40,213,60,148,260
2021년09월_계_40~49세,"6,059","3,606",170,131,285,128,117,50,120,75,65,372,164,253,523
2021년09월_계_50~59세,"8,940","4,293",289,287,478,268,289,106,243,165,169,636,330,563,824
2021년09월_계_60~69세,"10,156","3,911",471,457,598,383,426,213,339,283,257,803,416,736,863
2021년09월_계_70~79세,"6,777","2,248",321,396,382,317,293,192,219,182,197,510,338,551,631
2021년09월_계_80~89세,"4,362","1,141",205,235,241,230,241,159,201,180,158,293,243,374,461
2021년09월_계_90~99세,665,162,27,36,41,38,51,20,42,35,27,41,36,54,55
2021년09월_계_100세 이상,16,4,1,0,1,1,0,0,1,1,2,0,2,1,2
2021년09월_남_총인구수,"25,444","12,112",916,902,"1,382",789,831,384,700,539,514,"1,725",861,"1,577","2,212"
2021년09월_남_연령구간인구수,"25,444","12,112",916,902,"1,382",789,831,384,700,539,514,"1,725",861,"1,577","2,212"
2021년09월_남_0~9세,"1,186",862,20,12,49,11,16,7,16,11,11,66,9,29,67
2021년09월_남_10~19세,"2,252","1,475",48,56,91,38,33,13,30,36,16,155,26,81,154
2021년09월_남_20~29세,"2,201","1,284",53,56,133,47,34,24,60,32,31,126,47,103,171
2021년09월_남_30~39세,"1,975","1,156",60,48,105,38,49,17,43,24,27,111,38,96,163
2021년09월_남_40~49세,"3,357","1,880",102,87,172,79,67,27,75,49,40,193,91,180,315
2021년09월_남_50~59세,"4,880","2,239",171,166,242,143,170,59,141,93,101,332,197,337,489
2021년09월_남_60~69세,"5,081","1,857",246,217,311,206,234,104,176,146,152,406,224,377,425
2021년09월_남_70~79세,"3,029",974,150,177,184,140,139,86,95,81,81,236,148,262,276
2021년09월_남_80~89세,"1,367",354,62,74,87,79,74,45,59,60,49,95,77,108,144
2021년09월_남_90~99세,114,30,4,9,8,8,15,2,5,7,5,5,4,4,8
2021년09월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년09월_여_총인구수,"25,288","12,023",857,938,"1,310",802,812,471,724,564,505,"1,835",874,"1,476","2,097"
2021년09월_여_연령구간인구수,"25,288","12,023",857,938,"1,310",802,812,471,724,564,505,"1,835",874,"1,476","2,097"
2021년09월_여_0~9세,"1,164",827,22,11,48,9,17,4,26,10,15,73,10,28,64
2021년09월_여_10~19세,"1,877","1,196",32,47,88,31,26,14,26,33,14,158,28,61,123
2021년09월_여_20~29세,"1,536",929,26,30,85,20,35,20,31,21,17,114,26,71,111
2021년09월_여_30~39세,"1,566","1,041",28,38,67,32,16,16,27,15,13,102,22,52,97
2021년09월_여_40~49세,"2,702","1,726",68,44,113,49,50,23,45,26,25,179,73,73,208
2021년09월_여_50~59세,"4,060","2,054",118,121,236,125,119,47,102,72,68,304,133,226,335
2021년09월_여_60~69세,"5,075","2,054",225,240,287,177,192,109,163,137,105,397,192,359,438
2021년09월_여_70~79세,"3,748","1,274",171,219,198,177,154,106,124,101,116,274,190,289,355
2021년09월_여_80~89세,"2,995",787,143,161,154,151,167,114,142,120,109,198,166,266,317
2021년09월_여_90~99세,551,132,23,27,33,30,36,18,37,28,22,36,32,50,47
2021년09월_여_100세 이상,14,3,1,0,1,1,0,0,1,1,1,0,2,1,2
