,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년08월_계_총인구수,"253,460","5,552","25,193","9,578","19,521","4,337","6,298","4,759","3,275","3,260","21,969","6,378","5,738","5,404","6,721","14,155","4,885","15,041","5,949","21,650","29,203","23,043","9,757","1,794"
2020년08월_계_연령구간인구수,"253,460","5,552","25,193","9,578","19,521","4,337","6,298","4,759","3,275","3,260","21,969","6,378","5,738","5,404","6,721","14,155","4,885","15,041","5,949","21,650","29,203","23,043","9,757","1,794"
2020년08월_계_0~9세,"16,490",160,"1,254",378,"1,091",241,295,102,49,64,"2,479",196,278,213,203,459,101,"1,219",366,"2,649","2,638","1,328",668,59
2020년08월_계_10~19세,"21,115",215,"2,100",496,"1,110",191,340,210,95,134,"2,468",350,343,325,343,874,208,"1,743",339,"2,431","3,798","2,319",591,92
2020년08월_계_20~29세,"26,944",381,"2,418",747,"1,896",441,590,284,138,193,"2,339",514,553,575,675,"2,082",355,"1,928",505,"2,417","3,781","3,098",853,181
2020년08월_계_30~39세,"25,788",349,"1,853",702,"2,201",494,516,265,135,162,"3,145",397,606,538,572,"1,318",316,"1,551",537,"3,014","3,341","2,433","1,204",139
2020년08월_계_40~49세,"37,012",636,"3,433","1,062","2,682",396,736,418,199,323,"3,834",766,696,654,774,"1,846",524,"2,612",765,"3,917","5,429","3,797","1,306",207
2020년08월_계_50~59세,"46,855","1,043","5,114","1,752","3,943",660,"1,313",902,614,586,"3,547","1,281","1,077",925,"1,207","2,428",876,"2,788","1,036","3,702","5,454","4,521","1,751",335
2020년08월_계_60~69세,"40,225","1,236","4,345","2,033","3,477",806,"1,293","1,115",958,746,"2,331","1,323","1,033","1,057","1,452","2,672","1,073","1,721","1,142","2,113","2,918","3,310","1,690",381
2020년08월_계_70~79세,"24,426",948,"2,915","1,456","1,890",615,746,828,664,661,"1,136",901,735,742,998,"1,762",857,927,779,885,"1,157","1,527","1,036",261
2020년08월_계_80~89세,"12,814",512,"1,581",833,"1,075",428,390,569,366,350,615,571,371,336,423,632,510,486,413,445,600,632,562,114
2020년08월_계_90~99세,"1,698",70,168,111,149,62,76,63,54,39,74,77,44,31,64,80,57,65,66,73,85,77,90,23
2020년08월_계_100세 이상,93,2,12,8,7,3,3,3,3,2,1,2,2,8,10,2,8,1,1,4,2,1,6,2
2020년08월_남_총인구수,"126,913","2,779","12,547","4,843","10,315","2,249","3,362","2,392","1,615","1,633","10,854","3,234","2,983","2,687","3,248","7,047","2,403","7,538","2,928","10,669","14,373","11,509","4,814",891
2020년08월_남_연령구간인구수,"126,913","2,779","12,547","4,843","10,315","2,249","3,362","2,392","1,615","1,633","10,854","3,234","2,983","2,687","3,248","7,047","2,403","7,538","2,928","10,669","14,373","11,509","4,814",891
2020년08월_남_0~9세,"8,437",89,658,194,547,123,154,54,27,32,"1,289",91,142,105,91,258,54,613,187,"1,341","1,333",684,341,30
2020년08월_남_10~19세,"11,050",111,"1,063",273,586,123,181,107,48,90,"1,246",180,177,180,188,455,101,934,187,"1,225","2,040","1,207",309,39
2020년08월_남_20~29세,"15,225",231,"1,405",468,"1,113",267,390,173,83,119,"1,252",291,305,330,365,"1,199",208,"1,082",302,"1,339","2,045","1,732",439,87
2020년08월_남_30~39세,"13,752",205,990,417,"1,297",299,309,167,70,91,"1,561",236,345,291,327,772,185,792,258,"1,482","1,625","1,303",648,82
2020년08월_남_40~49세,"19,345",409,"1,796",620,"1,618",258,447,246,114,197,"1,892",446,398,368,437,"1,009",301,"1,270",413,"1,921","2,494","1,871",706,114
2020년08월_남_50~59세,"24,143",570,"2,670",927,"2,141",382,736,510,314,329,"1,757",712,592,473,626,"1,172",486,"1,410",549,"1,783","2,703","2,214",906,181
2020년08월_남_60~69세,"19,780",599,"2,143","1,003","1,805",410,661,579,507,362,"1,149",682,541,478,644,"1,163",536,849,534,"1,074","1,462","1,592",814,193
2020년08월_남_70~79세,"10,804",379,"1,295",628,873,262,342,374,317,284,520,412,347,335,406,764,361,408,355,372,504,683,458,125
2020년08월_남_80~89세,"4,023",172,493,289,303,119,129,167,125,122,180,166,123,121,147,240,155,165,126,117,155,202,175,32
2020년08월_남_90~99세,332,14,32,23,28,5,13,14,9,6,7,18,13,4,15,14,13,15,17,15,12,20,18,7
2020년08월_남_100세 이상,22,0,2,1,4,1,0,1,1,1,1,0,0,2,2,1,3,0,0,0,0,1,0,1
2020년08월_여_총인구수,"126,547","2,773","12,646","4,735","9,206","2,088","2,936","2,367","1,660","1,627","11,115","3,144","2,755","2,717","3,473","7,108","2,482","7,503","3,021","10,981","14,830","11,534","4,943",903
2020년08월_여_연령구간인구수,"126,547","2,773","12,646","4,735","9,206","2,088","2,936","2,367","1,660","1,627","11,115","3,144","2,755","2,717","3,473","7,108","2,482","7,503","3,021","10,981","14,830","11,534","4,943",903
2020년08월_여_0~9세,"8,053",71,596,184,544,118,141,48,22,32,"1,190",105,136,108,112,201,47,606,179,"1,308","1,305",644,327,29
2020년08월_여_10~19세,"10,065",104,"1,037",223,524,68,159,103,47,44,"1,222",170,166,145,155,419,107,809,152,"1,206","1,758","1,112",282,53
2020년08월_여_20~29세,"11,719",150,"1,013",279,783,174,200,111,55,74,"1,087",223,248,245,310,883,147,846,203,"1,078","1,736","1,366",414,94
2020년08월_여_30~39세,"12,036",144,863,285,904,195,207,98,65,71,"1,584",161,261,247,245,546,131,759,279,"1,532","1,716","1,130",556,57
2020년08월_여_40~49세,"17,667",227,"1,637",442,"1,064",138,289,172,85,126,"1,942",320,298,286,337,837,223,"1,342",352,"1,996","2,935","1,926",600,93
2020년08월_여_50~59세,"22,712",473,"2,444",825,"1,802",278,577,392,300,257,"1,790",569,485,452,581,"1,256",390,"1,378",487,"1,919","2,751","2,307",845,154
2020년08월_여_60~69세,"20,445",637,"2,202","1,030","1,672",396,632,536,451,384,"1,182",641,492,579,808,"1,509",537,872,608,"1,039","1,456","1,718",876,188
