카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년02월_계_총인구수,"1,815,112","655,447","339,281","316,166","269,201","286,096","110,120","81,358","83,595","92,201","25,652","24,230","22,285","28,253","28,260","55,425","52,989"
2020년02월_계_연령구간인구수,"1,815,112","655,447","339,281","316,166","269,201","286,096","110,120","81,358","83,595","92,201","25,652","24,230","22,285","28,253","28,260","55,425","52,989"
2020년02월_계_0~9세,"135,297","55,888","25,524","30,364","22,151","20,575","6,792","5,268","4,599","7,493","1,377","1,269","1,212","1,451","1,647","2,864","2,711"
2020년02월_계_10~19세,"180,675","73,815","37,699","36,116","27,532","29,054","10,119","7,577","6,444","8,460","1,705","1,841","1,684","1,836","2,279","4,441","3,888"
2020년02월_계_20~29세,"212,339","91,899","48,907","42,992","29,668","36,781","10,807","7,661","7,387","8,998","2,031","1,899","1,721","2,371","2,177","4,466","4,473"
2020년02월_계_30~39세,"195,971","82,690","40,275","42,415","32,117","30,163","9,358","6,746","7,021","10,034","1,798","1,764","1,683","2,162","2,178","4,118","4,139"
2020년02월_계_40~49세,"274,471","108,523","54,783","53,740","44,369","43,212","15,397","11,088","10,344","13,669","2,872","2,964","2,656","3,055","3,426","6,538","6,358"
2020년02월_계_50~59세,"303,074","105,695","57,046","48,649","44,178","49,941","18,847","13,933","14,182","15,502","4,669","4,279","3,804","4,874","4,664","9,318","9,188"
2020년02월_계_60~69세,"244,901","73,159","40,366","32,793","35,924","38,642","16,273","12,440","14,169","13,174","4,634","4,216","4,071","4,868","4,604","9,366","9,361"
2020년02월_계_70~79세,"165,445","42,119","22,766","19,353","21,893","23,539","13,292","9,696","11,114","8,934","3,782","3,411","3,111","4,283","4,225","8,405","7,641"
