카테고리,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년11월_계_총인구수,"213,178","6,034","28,322","11,084","8,917","13,221","22,015","13,865","15,666","23,508","13,398","29,078","28,070"
2020년11월_계_연령구간인구수,"213,178","6,034","28,322","11,084","8,917","13,221","22,015","13,865","15,666","23,508","13,398","29,078","28,070"
2020년11월_계_0~9세,"12,492",230,"1,625",307,507,726,"1,098",523,984,"1,492",749,"1,928","2,323"
2020년11월_계_10~19세,"15,196",306,"2,023",486,651,958,"1,076",718,"1,137","1,835","1,075","2,298","2,633"
2020년11월_계_20~29세,"29,024",646,"3,669",898,"1,073","1,753","3,976","1,733","2,172","4,100","1,795","3,503","3,706"
2020년11월_계_30~39세,"25,360",601,"3,288",848,"1,013","1,459","3,205","1,631","1,859","3,054","1,509","3,508","3,385"
2020년11월_계_40~49세,"29,517",737,"3,801","1,299","1,223","1,731","2,751","1,811","2,022","3,463","1,817","4,314","4,548"
2020년11월_계_50~59세,"41,415","1,329","5,603","2,207","1,828","2,749","4,296","2,861","3,199","3,972","2,498","5,423","5,450"
2020년11월_계_60~69세,"36,571","1,246","5,149","2,534","1,491","2,448","3,588","2,735","2,721","3,305","2,366","5,066","3,922"
2020년11월_계_70~79세,"17,051",688,"2,299","1,685",812,"1,026","1,541","1,376","1,145","1,628","1,101","2,208","1,542"
2020년11월_계_80~89세,"5,826",222,768,736,288,325,422,417,376,586,444,741,501
2020년11월_계_90~99세,655,24,81,80,27,44,48,52,48,66,44,83,58
2020년11월_계_100세 이상,71,5,16,4,4,2,14,8,3,7,0,6,2
2020년11월_남_총인구수,"107,721","3,243","14,216","5,285","4,561","6,705","11,410","7,350","8,018","11,764","6,563","14,565","14,041"
2020년11월_남_연령구간인구수,"107,721","3,243","14,216","5,285","4,561","6,705","11,410","7,350","8,018","11,764","6,563","14,565","14,041"
2020년11월_남_0~9세,"6,346",125,798,151,257,377,555,271,505,741,381,999,"1,186"
2020년11월_남_10~19세,"7,963",165,"1,066",258,343,502,578,384,599,953,561,"1,219","1,335"
2020년11월_남_20~29세,"15,569",380,"2,017",520,620,943,"1,963",931,"1,187","2,092",935,"1,929","2,052"
2020년11월_남_30~39세,"13,603",326,"1,771",465,545,771,"1,756",962,999,"1,638",815,"1,842","1,713"
2020년11월_남_40~49세,"15,467",438,"1,956",770,652,915,"1,514","1,053","1,024","1,800",926,"2,197","2,222"
2020년11월_남_50~59세,"20,643",753,"2,717","1,159",976,"1,324","2,245","1,529","1,572","1,889","1,129","2,646","2,704"
2020년11월_남_60~69세,"18,169",662,"2,512","1,140",705,"1,244","1,882","1,415","1,420","1,656","1,127","2,482","1,924"
2020년11월_남_70~79세,"7,910",319,"1,096",621,364,509,747,639,568,779,523,993,752
2020년11월_남_80~89세,"1,930",72,267,186,92,114,165,156,138,204,156,234,146
2020년11월_남_90~99세,112,3,16,14,6,5,4,8,5,11,10,23,7
2020년11월_남_100세 이상,9,0,0,1,1,1,1,2,1,1,0,1,0
2020년11월_여_총인구수,"105,457","2,791","14,106","5,799","4,356","6,516","10,605","6,515","7,648","11,744","6,835","14,513","14,029"
2020년11월_여_연령구간인구수,"105,457","2,791","14,106","5,799","4,356","6,516","10,605","6,515","7,648","11,744","6,835","14,513","14,029"
2020년11월_여_0~9세,"6,146",105,827,156,250,349,543,252,479,751,368,929,"1,137"
2020년11월_여_10~19세,"7,233",141,957,228,308,456,498,334,538,882,514,"1,079","1,298"
2020년11월_여_20~29세,"13,455",266,"1,652",378,453,810,"2,013",802,985,"2,008",860,"1,574","1,654"
2020년11월_여_30~39세,"11,757",275,"1,517",383,468,688,"1,449",669,860,"1,416",694,"1,666","1,672"
2020년11월_여_40~49세,"14,050",299,"1,845",529,571,816,"1,237",758,998,"1,663",891,"2,117","2,326"
2020년11월_여_50~59세,"20,772",576,"2,886","1,048",852,"1,425","2,051","1,332","1,627","2,083","1,369","2,777","2,746"
2020년11월_여_60~69세,"18,402",584,"2,637","1,394",786,"1,204","1,706","1,320","1,301","1,649","1,239","2,584","1,998"
2020년11월_여_70~79세,"9,141",369,"1,203","1,064",448,517,794,737,577,849,578,"1,215",790
2020년11월_여_80~89세,"3,896",150,501,550,196,211,257,261,238,382,288,507,355
2020년11월_여_90~99세,543,21,65,66,21,39,44,44,43,55,34,60,51
2020년11월_여_100세 이상,62,5,16,3,3,1,13,6,2,6,0,5,2
