,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년11월_계_총인구수,"61,400","17,032","12,253","2,044","1,594","3,864","2,542","1,795","2,578","2,373","5,548","1,862","2,780","1,551","3,584"
2020년11월_계_연령구간인구수,"61,400","17,032","12,253","2,044","1,594","3,864","2,542","1,795","2,578","2,373","5,548","1,862","2,780","1,551","3,584"
2020년11월_계_0~9세,"3,251","1,339",962,65,23,100,70,43,135,56,208,40,92,33,85
2020년11월_계_10~19세,"4,132","1,567",971,112,42,163,238,57,168,72,355,58,156,52,121
2020년11월_계_20~29세,"4,960","1,770",938,119,99,265,134,91,215,186,493,85,213,96,256
2020년11월_계_30~39세,"5,120","1,873","1,183",101,97,246,155,106,191,134,407,111,199,76,241
2020년11월_계_40~49세,"7,116","2,358","1,760",138,124,380,186,140,296,214,641,153,283,136,307
2020년11월_계_50~59세,"10,965","2,874","2,142",328,293,722,422,279,446,479,"1,108",337,516,301,718
2020년11월_계_60~69세,"12,095","2,650","2,158",428,413,823,564,436,496,525,"1,186",414,641,420,941
2020년11월_계_70~79세,"8,114","1,588","1,320",405,273,676,424,385,362,398,713,375,392,256,547
2020년11월_계_80~89세,"4,966",888,720,294,206,432,314,224,236,271,391,259,246,155,330
2020년11월_계_90~99세,652,120,92,53,24,56,30,34,29,36,46,30,39,26,37
2020년11월_계_100세 이상,29,5,7,1,0,1,5,0,4,2,0,0,3,0,1
2020년11월_남_총인구수,"30,495","8,433","6,132","1,008",761,"1,980","1,206",884,"1,335","1,175","2,800",909,"1,357",772,"1,743"
2020년11월_남_연령구간인구수,"30,495","8,433","6,132","1,008",761,"1,980","1,206",884,"1,335","1,175","2,800",909,"1,357",772,"1,743"
2020년11월_남_0~9세,"1,690",693,499,28,11,50,39,28,74,31,106,23,46,18,44
2020년11월_남_10~19세,"2,229",824,524,66,31,101,102,24,100,37,205,37,78,30,70
2020년11월_남_20~29세,"2,859",979,534,71,60,175,77,59,134,112,290,57,105,61,145
2020년11월_남_30~39세,"2,799",972,616,57,59,141,90,70,106,81,236,67,121,48,135
2020년11월_남_40~49세,"3,959","1,233",981,87,74,227,115,87,179,120,360,92,149,86,169
2020년11월_남_50~59세,"5,818","1,474","1,122",174,149,441,217,163,261,275,576,184,281,134,367
2020년11월_남_60~69세,"6,047","1,268","1,063",239,205,421,279,219,251,271,601,208,324,226,472
2020년11월_남_70~79세,"3,504",702,559,178,118,281,187,162,148,161,309,160,173,128,238
2020년11월_남_80~89세,"1,477",265,218,96,48,137,89,66,78,84,110,75,74,38,99
2020년11월_남_90~99세,111,23,15,12,6,6,10,6,4,3,7,6,6,3,4
2020년11월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년11월_여_총인구수,"30,905","8,599","6,121","1,036",833,"1,884","1,336",911,"1,243","1,198","2,748",953,"1,423",779,"1,841"
2020년11월_여_연령구간인구수,"30,905","8,599","6,121","1,036",833,"1,884","1,336",911,"1,243","1,198","2,748",953,"1,423",779,"1,841"
2020년11월_여_0~9세,"1,561",646,463,37,12,50,31,15,61,25,102,17,46,15,41
2020년11월_여_10~19세,"1,903",743,447,46,11,62,136,33,68,35,150,21,78,22,51
2020년11월_여_20~29세,"2,101",791,404,48,39,90,57,32,81,74,203,28,108,35,111
2020년11월_여_30~39세,"2,321",901,567,44,38,105,65,36,85,53,171,44,78,28,106
2020년11월_여_40~49세,"3,157","1,125",779,51,50,153,71,53,117,94,281,61,134,50,138
2020년11월_여_50~59세,"5,147","1,400","1,020",154,144,281,205,116,185,204,532,153,235,167,351
2020년11월_여_60~69세,"6,048","1,382","1,095",189,208,402,285,217,245,254,585,206,317,194,469
2020년11월_여_70~79세,"4,610",886,761,227,155,395,237,223,214,237,404,215,219,128,309
2020년11월_여_80~89세,"3,489",623,502,198,158,295,225,158,158,187,281,184,172,117,231
2020년11월_여_90~99세,541,97,77,41,18,50,20,28,25,33,39,24,33,23,33
2020년11월_여_100세 이상,27,5,6,1,0,1,4,0,4,2,0,0,3,0,1
