카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021년11월_계_총인구수,"71,234","10,926","16,158","12,168","15,126","9,288","7,568"
2021년11월_계_연령구간인구수,"71,234","10,926","16,158","12,168","15,126","9,288","7,568"
2021년11월_계_0~9세,"6,199",816,"1,871",869,"1,514",606,523
2021년11월_계_10~19세,"6,829",950,"1,934","1,200","1,365",582,798
2021년11월_계_20~29세,"9,499","1,531","1,864","1,818","2,020","1,226","1,040"
2021년11월_계_30~39세,"10,261","1,424","2,198","1,605","2,475","1,601",958
2021년11월_계_40~49세,"10,611","1,417","2,891","1,633","2,176","1,337","1,157"
2021년11월_계_50~59세,"12,349","2,039","2,613","2,277","2,597","1,513","1,310"
2021년11월_계_60~69세,"8,993","1,627","1,645","1,602","1,761","1,433",925
2021년11월_계_70~79세,"3,997",651,716,652,740,671,567
2021년11월_계_80~89세,"2,096",385,368,426,394,279,244
2021년11월_계_90~99세,390,82,58,84,82,40,44
2021년11월_계_100세 이상,10,4,0,2,2,0,2
2021년11월_남_총인구수,"35,058","5,294","7,855","5,879","7,483","4,855","3,692"
2021년11월_남_연령구간인구수,"35,058","5,294","7,855","5,879","7,483","4,855","3,692"
2021년11월_남_0~9세,"3,243",419,983,446,813,300,282
2021년11월_남_10~19세,"3,490",471,945,605,712,324,433
2021년11월_남_20~29세,"5,010",815,962,934,"1,070",688,541
2021년11월_남_30~39세,"5,110",698,978,814,"1,220",903,497
2021년11월_남_40~49세,"5,187",671,"1,409",763,"1,048",745,551
2021년11월_남_50~59세,"5,942",943,"1,305","1,074","1,241",737,642
2021년11월_남_60~69세,"4,398",809,808,780,880,704,417
2021년11월_남_70~79세,"1,796",305,301,290,332,330,238
2021년11월_남_80~89세,778,148,142,145,146,112,85
2021년11월_남_90~99세,101,14,22,26,21,12,6
2021년11월_남_100세 이상,3,1,0,2,0,0,0
2021년11월_여_총인구수,"36,176","5,632","8,303","6,289","7,643","4,433","3,876"
2021년11월_여_연령구간인구수,"36,176","5,632","8,303","6,289","7,643","4,433","3,876"
2021년11월_여_0~9세,"2,956",397,888,423,701,306,241
2021년11월_여_10~19세,"3,339",479,989,595,653,258,365
2021년11월_여_20~29세,"4,489",716,902,884,950,538,499
2021년11월_여_30~39세,"5,151",726,"1,220",791,"1,255",698,461
2021년11월_여_40~49세,"5,424",746,"1,482",870,"1,128",592,606
2021년11월_여_50~59세,"6,407","1,096","1,308","1,203","1,356",776,668
2021년11월_여_60~69세,"4,595",818,837,822,881,729,508
2021년11월_여_70~79세,"2,201",346,415,362,408,341,329
2021년11월_여_80~89세,"1,318",237,226,281,248,167,159
2021년11월_여_90~99세,289,68,36,58,61,28,38
2021년11월_여_100세 이상,7,3,0,0,2,0,2
