카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2021년11월_계_총인구수,"99,336","37,705","8,274","29,083","3,502","3,402","2,846","2,244","2,072","3,222","3,502","3,484"
2021년11월_계_연령구간인구수,"99,336","37,705","8,274","29,083","3,502","3,402","2,846","2,244","2,072","3,222","3,502","3,484"
2021년11월_계_0~9세,"7,391","2,312",270,"4,262",92,113,68,34,20,70,73,77
2021년11월_계_10~19세,"9,490","4,166",504,"3,804",125,217,109,59,54,131,142,179
2021년11월_계_20~29세,"9,323","4,683",505,"2,751",221,220,134,121,100,186,199,203
2021년11월_계_30~39세,"10,073","3,492",457,"4,934",187,176,132,81,97,138,184,195
2021년11월_계_40~49세,"14,178","5,853",750,"5,554",309,349,214,167,117,275,275,315
2021년11월_계_50~59세,"15,736","6,727","1,389","3,666",628,562,425,340,334,505,529,631
2021년11월_계_60~69세,"15,504","5,449","1,865","2,307",824,740,656,558,541,837,872,855
2021년11월_계_70~79세,"10,130","3,173","1,507","1,077",595,535,549,459,414,607,636,578
2021년11월_계_80~89세,"6,544","1,609",897,635,452,434,509,351,347,404,513,393
2021년11월_계_90~99세,939,231,125,90,68,54,50,74,47,65,78,57
2021년11월_계_100세 이상,28,10,5,3,1,2,0,0,1,4,1,1
2021년11월_남_총인구수,"49,466","18,671","4,094","14,587","1,792","1,709","1,358","1,131","1,018","1,584","1,751","1,771"
2021년11월_남_연령구간인구수,"49,466","18,671","4,094","14,587","1,792","1,709","1,358","1,131","1,018","1,584","1,751","1,771"
2021년11월_남_0~9세,"3,850","1,180",148,"2,231",49,66,36,19,8,30,44,39
2021년11월_남_10~19세,"4,881","2,143",289,"1,936",72,110,47,29,24,64,79,88
2021년11월_남_20~29세,"5,157","2,581",302,"1,419",142,141,78,72,62,110,121,129
2021년11월_남_30~39세,"5,182","1,811",261,"2,389",120,103,78,56,68,81,113,102
2021년11월_남_40~49세,"7,363","2,865",427,"2,817",190,192,134,106,80,175,183,194
2021년11월_남_50~59세,"8,305","3,469",718,"1,938",346,306,234,202,177,267,288,360
2021년11월_남_60~69세,"7,633","2,582",927,"1,123",428,388,326,282,268,424,432,453
2021년11월_남_70~79세,"4,583","1,419",669,502,271,256,232,219,190,275,282,268
2021년11월_남_80~89세,"2,279",562,316,219,157,132,179,130,131,141,186,126
2021년11월_남_90~99세,228,55,37,13,17,15,14,16,10,16,23,12
2021년11월_남_100세 이상,5,4,0,0,0,0,0,0,0,1,0,0
2021년11월_여_총인구수,"49,870","19,034","4,180","14,496","1,710","1,693","1,488","1,113","1,054","1,638","1,751","1,713"
2021년11월_여_연령구간인구수,"49,870","19,034","4,180","14,496","1,710","1,693","1,488","1,113","1,054","1,638","1,751","1,713"
2021년11월_여_0~9세,"3,541","1,132",122,"2,031",43,47,32,15,12,40,29,38
2021년11월_여_10~19세,"4,609","2,023",215,"1,868",53,107,62,30,30,67,63,91
2021년11월_여_20~29세,"4,166","2,102",203,"1,332",79,79,56,49,38,76,78,74
2021년11월_여_30~39세,"4,891","1,681",196,"2,545",67,73,54,25,29,57,71,93
2021년11월_여_40~49세,"6,815","2,988",323,"2,737",119,157,80,61,37,100,92,121
2021년11월_여_50~59세,"7,431","3,258",671,"1,728",282,256,191,138,157,238,241,271
2021년11월_여_60~69세,"7,871","2,867",938,"1,184",396,352,330,276,273,413,440,402
2021년11월_여_70~79세,"5,547","1,754",838,575,324,279,317,240,224,332,354,310
2021년11월_여_80~89세,"4,265","1,047",581,416,295,302,330,221,216,263,327,267
2021년11월_여_90~99세,711,176,88,77,51,39,36,58,37,49,55,45
2021년11월_여_100세 이상,23,6,5,3,1,2,0,0,1,3,1,1
