,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년03월_계_총인구수,"43,411","6,567","4,568","6,102","13,808","3,963","3,550","2,685","2,168"
2020년03월_계_연령구간인구수,"43,411","6,567","4,568","6,102","13,808","3,963","3,550","2,685","2,168"
2020년03월_계_0~9세,"2,775",516,209,427,"1,197",166,135,85,40
2020년03월_계_10~19세,"3,936",607,326,516,"1,663",283,234,198,109
2020년03월_계_20~29세,"3,732",617,351,405,"1,455",286,310,168,140
2020년03월_계_30~39세,"4,083",647,320,607,"1,640",300,276,161,132
2020년03월_계_40~49세,"6,609",971,628,949,"2,625",540,394,296,206
2020년03월_계_50~59세,"7,569","1,130",855,"1,000","2,196",763,785,447,393
2020년03월_계_60~69세,"7,496","1,087",980,"1,051","1,679",903,693,607,496
2020년03월_계_70~79세,"4,866",659,635,772,935,501,462,491,411
2020년03월_계_80~89세,"2,034",282,220,325,370,194,227,208,208
2020년03월_계_90~99세,250,37,36,42,41,22,27,20,25
2020년03월_계_100세 이상,61,14,8,8,7,5,7,4,8
2020년03월_남_총인구수,"21,949","3,277","2,347","3,072","6,986","1,985","1,757","1,398","1,127"
2020년03월_남_연령구간인구수,"21,949","3,277","2,347","3,072","6,986","1,985","1,757","1,398","1,127"
2020년03월_남_0~9세,"1,429",272,104,222,607,85,69,49,21
2020년03월_남_10~19세,"2,066",329,185,257,868,129,112,125,61
2020년03월_남_20~29세,"2,110",360,205,242,805,144,175,100,79
2020년03월_남_30~39세,"2,144",332,179,296,833,173,158,89,84
2020년03월_남_40~49세,"3,522",498,352,535,"1,340",293,205,183,116
2020년03월_남_50~59세,"4,023",567,461,567,"1,155",391,414,247,221
2020년03월_남_60~69세,"3,677",508,494,481,823,450,352,308,261
2020년03월_남_70~79세,"2,165",292,273,345,418,235,195,217,190
2020년03월_남_80~89세,735,103,84,116,126,80,73,73,80
2020년03월_남_90~99세,52,9,7,8,6,3,2,5,12
2020년03월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년03월_여_총인구수,"21,462","3,290","2,221","3,030","6,822","1,978","1,793","1,287","1,041"
2020년03월_여_연령구간인구수,"21,462","3,290","2,221","3,030","6,822","1,978","1,793","1,287","1,041"
2020년03월_여_0~9세,"1,346",244,105,205,590,81,66,36,19
2020년03월_여_10~19세,"1,870",278,141,259,795,154,122,73,48
2020년03월_여_20~29세,"1,622",257,146,163,650,142,135,68,61
2020년03월_여_30~39세,"1,939",315,141,311,807,127,118,72,48
2020년03월_여_40~49세,"3,087",473,276,414,"1,285",247,189,113,90
2020년03월_여_50~59세,"3,546",563,394,433,"1,041",372,371,200,172
2020년03월_여_60~69세,"3,819",579,486,570,856,453,341,299,235
2020년03월_여_70~79세,"2,701",367,362,427,517,266,267,274,221
2020년03월_여_80~89세,"1,299",179,136,209,244,114,154,135,128
2020년03월_여_90~99세,198,28,29,34,35,19,25,15,13
2020년03월_여_100세 이상,35,7,5,5,2,3,5,2,6
