,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021년05월_계_총인구수,"61,818","29,357","8,565","2,344","4,282","5,366","5,329","4,323","2,252"
2021년05월_계_연령구간인구수,"61,818","29,357","8,565","2,344","4,282","5,366","5,329","4,323","2,252"
2021년05월_계_0~9세,"2,975","2,117",309,65,114,120,97,107,46
2021년05월_계_10~19세,"4,319","2,859",549,125,164,199,172,159,92
2021년05월_계_20~29세,"4,835","2,912",534,89,396,256,246,288,114
2021년05월_계_30~39세,"4,874","3,111",532,111,244,299,234,237,106
2021년05월_계_40~49세,"7,572","4,424",973,247,400,465,509,365,189
2021년05월_계_50~59세,"10,625","4,929","1,524",408,721,979,945,770,349
2021년05월_계_60~69세,"12,481","4,488","1,964",562,"1,042","1,435","1,399","1,034",557
2021년05월_계_70~79세,"8,896","2,947","1,454",446,720,"1,018","1,058",797,456
2021년05월_계_80~89세,"4,566","1,382",605,267,418,516,594,482,302
2021년05월_계_90~99세,651,184,110,23,61,76,75,82,40
2021년05월_계_100세 이상,24,4,11,1,2,3,0,2,1
2021년05월_남_총인구수,"31,149","14,824","4,248","1,125","2,210","2,743","2,645","2,206","1,148"
2021년05월_남_연령구간인구수,"31,149","14,824","4,248","1,125","2,210","2,743","2,645","2,206","1,148"
2021년05월_남_0~9세,"1,481","1,066",155,23,51,55,50,56,25
2021년05월_남_10~19세,"2,243","1,471",304,53,90,107,90,81,47
2021년05월_남_20~29세,"2,839","1,672",314,54,264,158,133,179,65
2021년05월_남_30~39세,"2,691","1,672",272,60,146,194,134,148,65
2021년05월_남_40~49세,"4,265","2,350",550,148,253,299,323,213,129
2021년05월_남_50~59세,"5,615","2,528",811,224,376,532,513,429,202
2021년05월_남_60~69세,"6,032","2,153",917,269,520,698,688,511,276
2021년05월_남_70~79세,"4,232","1,399",689,200,345,486,491,395,227
2021년05월_남_80~89세,"1,609",466,213,89,147,199,211,177,107
2021년05월_남_90~99세,134,47,18,5,16,15,12,16,5
2021년05월_남_100세 이상,8,0,5,0,2,0,0,1,0
2021년05월_여_총인구수,"30,669","14,533","4,317","1,219","2,072","2,623","2,684","2,117","1,104"
2021년05월_여_연령구간인구수,"30,669","14,533","4,317","1,219","2,072","2,623","2,684","2,117","1,104"
2021년05월_여_0~9세,"1,494","1,051",154,42,63,65,47,51,21
2021년05월_여_10~19세,"2,076","1,388",245,72,74,92,82,78,45
2021년05월_여_20~29세,"1,996","1,240",220,35,132,98,113,109,49
2021년05월_여_30~39세,"2,183","1,439",260,51,98,105,100,89,41
2021년05월_여_40~49세,"3,307","2,074",423,99,147,166,186,152,60
2021년05월_여_50~59세,"5,010","2,401",713,184,345,447,432,341,147
2021년05월_여_60~69세,"6,449","2,335","1,047",293,522,737,711,523,281
2021년05월_여_70~79세,"4,664","1,548",765,246,375,532,567,402,229
2021년05월_여_80~89세,"2,957",916,392,178,271,317,383,305,195
2021년05월_여_90~99세,517,137,92,18,45,61,63,66,35
2021년05월_여_100세 이상,16,4,6,1,0,3,0,1,1
