카테고리,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020년01월_계_총인구수,"134,359","6,832","1,980","1,284","2,048","2,250",705,"3,325","4,656","19,097","10,011","6,088","5,047","10,298","18,039","11,343","15,893","15,463"
2020년01월_계_연령구간인구수,"134,359","6,832","1,980","1,284","2,048","2,250",705,"3,325","4,656","19,097","10,011","6,088","5,047","10,298","18,039","11,343","15,893","15,463"
2020년01월_계_0~9세,"9,297",302,58,35,43,67,15,99,91,"1,705",853,282,222,819,"1,406",829,754,"1,717"
2020년01월_계_10~19세,"12,249",366,94,48,79,213,35,146,231,"2,500","1,170",447,339,914,"1,908","1,217","1,224","1,318"
2020년01월_계_20~29세,"15,241",492,127,68,92,96,32,197,410,"2,243","1,311",669,581,"1,086","2,850","1,396","1,983","1,608"
2020년01월_계_30~39세,"13,623",471,116,61,84,88,42,140,242,"2,175","1,104",520,454,"1,150","2,107","1,150","1,438","2,281"
2020년01월_계_40~49세,"18,955",712,143,103,139,193,76,260,418,"3,427","1,653",803,577,"1,512","2,741","1,780","1,996","2,422"
2020년01월_계_50~59세,"24,422","1,310",418,274,431,415,148,657,974,"3,358","1,782","1,094",941,"1,808","3,152","2,119","3,112","2,429"
2020년01월_계_60~69세,"21,459","1,578",516,315,542,556,178,897,"1,140","2,137","1,260","1,195","1,046","1,502","2,121","1,495","3,064","1,917"
2020년01월_계_70~79세,"12,320",978,282,229,380,392,95,550,702,"1,065",542,732,625,"1,010","1,086",898,"1,573","1,181"
2020년01월_계_80~89세,"5,959",537,194,132,228,202,68,324,389,441,294,293,235,438,605,400,647,532
2020년01월_계_90~99세,764,84,27,15,24,28,15,50,56,41,40,48,25,42,62,55,98,54
2020년01월_계_100세 이상,70,2,5,4,6,0,1,5,3,5,2,5,2,17,1,4,4,4
2020년01월_남_총인구수,"67,326","3,460","1,059",653,"1,056","1,146",355,"1,699","2,459","9,404","4,936","3,059","2,504","5,138","8,987","5,679","7,924","7,808"
2020년01월_남_연령구간인구수,"67,326","3,460","1,059",653,"1,056","1,146",355,"1,699","2,459","9,404","4,936","3,059","2,504","5,138","8,987","5,679","7,924","7,808"
2020년01월_남_0~9세,"4,717",157,33,19,22,37,4,56,46,839,449,145,108,435,706,418,369,874
2020년01월_남_10~19세,"6,337",182,57,23,43,115,19,87,138,"1,266",584,240,181,466,972,631,664,669
2020년01월_남_20~29세,"8,438",283,88,34,64,59,22,115,261,"1,225",681,359,331,606,"1,541",799,"1,102",868
2020년01월_남_30~39세,"7,071",252,68,36,51,47,26,83,161,"1,070",540,297,245,579,"1,103",579,783,"1,151"
2020년01월_남_40~49세,"9,778",397,77,63,83,122,46,152,261,"1,645",803,429,314,804,"1,354",874,"1,031","1,323"
2020년01월_남_50~59세,"12,453",698,240,142,226,210,81,337,505,"1,707",903,550,464,895,"1,608","1,124","1,496","1,267"
2020년01월_남_60~69세,"10,648",814,285,170,286,296,84,471,598,"1,034",630,562,470,731,"1,076",735,"1,481",925
2020년01월_남_70~79세,"5,552",463,132,114,194,184,39,262,322,462,233,345,301,447,429,365,740,520
2020년01월_남_80~89세,"2,142",194,70,50,75,71,30,121,154,147,102,119,84,157,187,144,238,199
2020년01월_남_90~99세,167,20,7,1,9,5,4,13,12,8,10,11,6,11,11,9,20,10
2020년01월_남_100세 이상,23,0,2,1,3,0,0,2,1,1,1,2,0,7,0,1,0,2
2020년01월_여_총인구수,"67,033","3,372",921,631,992,"1,104",350,"1,626","2,197","9,693","5,075","3,029","2,543","5,160","9,052","5,664","7,969","7,655"
2020년01월_여_연령구간인구수,"67,033","3,372",921,631,992,"1,104",350,"1,626","2,197","9,693","5,075","3,029","2,543","5,160","9,052","5,664","7,969","7,655"
2020년01월_여_0~9세,"4,580",145,25,16,21,30,11,43,45,866,404,137,114,384,700,411,385,843
2020년01월_여_10~19세,"5,912",184,37,25,36,98,16,59,93,"1,234",586,207,158,448,936,586,560,649
2020년01월_여_20~29세,"6,803",209,39,34,28,37,10,82,149,"1,018",630,310,250,480,"1,309",597,881,740
2020년01월_여_30~39세,"6,552",219,48,25,33,41,16,57,81,"1,105",564,223,209,571,"1,004",571,655,"1,130"
2020년01월_여_40~49세,"9,177",315,66,40,56,71,30,108,157,"1,782",850,374,263,708,"1,387",906,965,"1,099"
2020년01월_여_50~59세,"11,969",612,178,132,205,205,67,320,469,"1,651",879,544,477,913,"1,544",995,"1,616","1,162"
2020년01월_여_60~69세,"10,811",764,231,145,256,260,94,426,542,"1,103",630,633,576,771,"1,045",760,"1,583",992
2020년01월_여_70~79세,"6,768",515,150,115,186,208,56,288,380,603,309,387,324,563,657,533,833,661
2020년01월_여_80~89세,"3,817",343,124,82,153,131,38,203,235,294,192,174,151,281,418,256,409,333
2020년01월_여_90~99세,597,64,20,14,15,23,11,37,44,33,30,37,19,31,51,46,78,44
2020년01월_여_100세 이상,47,2,3,3,3,0,1,3,2,4,1,3,2,10,1,3,4,2
