카테고리,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년01월_계_총인구수,"857,550","81,867","17,394","86,246","41,837","7,190","5,863","6,888","10,922","7,127","9,974","10,344","3,977","11,425","21,637","43,889","28,649","24,472","32,493","13,672","23,199","51,495","35,863","42,205","53,344","41,808","31,161","84,496","28,113"
2021년01월_계_연령구간인구수,"857,550","81,867","17,394","86,246","41,837","7,190","5,863","6,888","10,922","7,127","9,974","10,344","3,977","11,425","21,637","43,889","28,649","24,472","32,493","13,672","23,199","51,495","35,863","42,205","53,344","41,808","31,161","84,496","28,113"
2021년01월_계_0~9세,"103,916","8,309",901,"10,655","4,106",287,228,253,449,165,304,393,97,412,"4,011","4,445","2,602","2,484","4,341","1,308","1,789","6,383","4,296","5,812","9,202","6,222","4,532","14,781","5,149"
2021년01월_계_10~19세,"97,086","9,852","1,449","10,074","3,552",484,338,402,790,311,479,617,159,772,"2,104","3,917","3,135","4,002","4,020","1,804","2,228","6,943","6,599","5,348","8,919","4,220","2,961","9,172","2,435"
2021년01월_계_20~29세,"104,994","10,246","1,769","10,272","5,657",815,584,730,999,549,996,"1,036",395,"1,359","2,385","7,097","5,035","2,961","4,102","1,714","3,122","7,950","3,770","6,278","4,217","5,014","4,438","8,613","2,891"
2021년01월_계_30~39세,"150,827","11,467","1,591","15,878","7,227",664,505,742,868,517,"1,014",899,362,"1,143","4,821","8,917","4,543","3,072","5,819","1,554","2,970","9,734","4,236","8,281","9,223","10,157","7,519","19,431","7,673"
2021년01월_계_40~49세,"164,718","15,811","2,762","17,362","6,797",945,701,"1,000","1,426",817,"1,455","1,317",478,"1,643","4,118","7,814","5,117","5,431","6,043","2,674","3,950","10,352","8,777","8,514","13,282","8,064","5,881","17,089","5,098"
2021년01월_계_50~59세,"116,070","12,582","3,544","10,985","6,618","1,530","1,225","1,421","2,161","1,606","2,317","2,204",885,"2,433","2,658","5,929","4,067","3,294","4,550","2,256","4,168","6,396","4,723","4,214","5,400","4,139","3,359","8,823","2,583"
2021년01월_계_60~69세,"70,875","8,079","2,799","6,469","4,675","1,301","1,160","1,232","2,101","1,694","1,947","2,044",884,"1,987","1,143","3,507","2,428","1,732","2,490","1,388","2,988","2,383","2,025","2,085","2,038","2,502","1,634","4,553","1,607"
2021년01월_계_70~79세,"32,261","3,764","1,610","2,947","2,087",747,648,714,"1,250",850,861,"1,102",418,"1,027",254,"1,542","1,193","1,011",754,692,"1,341",936,"1,023","1,200",751,"1,049",561,"1,466",463
2021년01월_계_80~89세,"14,579","1,513",845,"1,424",948,366,396,341,728,524,515,660,267,560,125,635,462,433,318,245,570,372,373,410,265,384,232,486,182
2021년01월_계_90~99세,"2,105",227,117,171,166,48,75,49,139,85,80,64,31,81,17,84,66,51,53,35,66,45,38,62,47,55,43,78,32
2021년01월_계_100세 이상,119,17,7,9,4,3,3,4,11,9,6,8,1,8,1,2,1,1,3,2,7,1,3,1,0,2,1,4,0
2021년01월_남_총인구수,"445,135","41,598","9,461","46,158","22,819","3,805","3,310","4,096","5,879","3,932","6,027","5,947","2,437","6,610","10,874","23,639","14,703","11,935","16,432","6,996","12,253","26,509","17,665","21,742","26,580","20,977","16,125","42,415","14,211"
2021년01월_남_연령구간인구수,"445,135","41,598","9,461","46,158","22,819","3,805","3,310","4,096","5,879","3,932","6,027","5,947","2,437","6,610","10,874","23,639","14,703","11,935","16,432","6,996","12,253","26,509","17,665","21,742","26,580","20,977","16,125","42,415","14,211"
2021년01월_남_0~9세,"53,093","4,117",474,"5,515","2,133",142,127,144,232,82,162,222,55,217,"1,982","2,279","1,361","1,265","2,201",677,930,"3,222","2,204","2,996","4,704","3,180","2,318","7,536","2,616"
2021년01월_남_10~19세,"49,603","4,940",737,"5,152","1,818",262,183,218,432,173,256,340,88,414,"1,045","2,006","1,598","2,002","2,080",932,"1,192","3,571","3,318","2,782","4,498","2,153","1,546","4,646","1,221"
2021년01월_남_20~29세,"56,827","5,461","1,069","5,651","3,329",461,349,474,575,355,659,638,266,850,"1,229","4,089","2,817","1,513","2,172",931,"1,778","4,292","1,901","3,462","2,122","2,437","2,209","4,317","1,421"
2021년01월_남_30~39세,"78,479","5,826",960,"8,930","4,228",380,312,494,524,301,692,576,246,758,"2,387","5,056","2,401","1,482","2,883",798,"1,638","4,906","1,903","4,290","3,998","5,122","3,953","9,551","3,884"
2021년01월_남_40~49세,"87,822","8,204","1,633","9,695","3,865",539,446,683,826,504,982,856,347,"1,051","2,149","4,371","2,595","2,630","3,116","1,370","2,185","5,184","4,265","4,372","6,859","4,219","3,166","8,958","2,752"
2021년01월_남_50~59세,"62,372","6,659","2,038","6,090","3,592",854,716,865,"1,247",928,"1,503","1,374",580,"1,480","1,301","3,133","2,040","1,721","2,213","1,185","2,176","3,523","2,521","2,227","2,960","2,107","1,770","4,322","1,247"
2021년01월_남_60~69세,"36,147","4,051","1,451","3,280","2,446",686,683,705,"1,125",931,"1,129","1,137",536,"1,122",615,"1,759","1,192",761,"1,282",678,"1,521","1,215",965,921,"1,013","1,144",819,"2,205",775
