카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2021년08월_계_총인구수,"30,242","10,814","2,969","3,556","3,437","3,422","3,106","2,283",265,390
2021년08월_계_연령구간인구수,"30,242","10,814","2,969","3,556","3,437","3,422","3,106","2,283",265,390
2021년08월_계_0~9세,"1,601",856,98,181,119,113,98,98,14,24
2021년08월_계_10~19세,"2,172","1,139",163,246,155,184,112,124,6,43
2021년08월_계_20~29세,"2,475","1,241",186,243,214,216,207,131,16,21
2021년08월_계_30~39세,"2,118","1,090",166,234,172,173,135,113,13,22
2021년08월_계_40~49세,"3,459","1,570",290,380,351,297,225,266,30,50
2021년08월_계_50~59세,"4,956","1,700",527,550,593,608,488,373,46,71
2021년08월_계_60~69세,"5,447","1,546",593,742,729,663,650,417,47,60
2021년08월_계_70~79세,"4,573","1,046",534,533,628,655,656,411,48,62
2021년08월_계_80~89세,"3,044",550,368,386,416,445,485,324,40,30
2021년08월_계_90~99세,385,73,44,58,59,68,48,23,5,7
2021년08월_계_100세 이상,12,3,0,3,1,0,2,3,0,0
2021년08월_남_총인구수,"14,992","5,325","1,507","1,741","1,753","1,655","1,492","1,179",141,199
2021년08월_남_연령구간인구수,"14,992","5,325","1,507","1,741","1,753","1,655","1,492","1,179",141,199
2021년08월_남_0~9세,786,410,52,93,66,58,47,43,7,10
2021년08월_남_10~19세,"1,098",586,78,119,82,87,54,63,6,23
2021년08월_남_20~29세,"1,458",715,119,140,122,120,132,87,7,16
2021년08월_남_30~39세,"1,130",545,99,131,104,93,73,65,9,11
2021년08월_남_40~49세,"2,006",803,173,232,235,184,152,172,21,34
2021년08월_남_50~59세,"2,798",875,307,304,349,348,292,248,28,47
2021년08월_남_60~69세,"2,767",743,318,369,374,345,322,239,30,27
2021년08월_남_70~79세,"1,973",467,238,224,273,281,276,167,24,23
2021년08월_남_80~89세,902,166,113,118,135,129,135,92,7,7
2021년08월_남_90~99세,74,15,10,11,13,10,9,3,2,1
2021년08월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"15,250","5,489","1,462","1,815","1,684","1,767","1,614","1,104",124,191
2021년08월_여_연령구간인구수,"15,250","5,489","1,462","1,815","1,684","1,767","1,614","1,104",124,191
2021년08월_여_0~9세,815,446,46,88,53,55,51,55,7,14
2021년08월_여_10~19세,"1,074",553,85,127,73,97,58,61,0,20
2021년08월_여_20~29세,"1,017",526,67,103,92,96,75,44,9,5
2021년08월_여_30~39세,988,545,67,103,68,80,62,48,4,11
2021년08월_여_40~49세,"1,453",767,117,148,116,113,73,94,9,16
2021년08월_여_50~59세,"2,158",825,220,246,244,260,196,125,18,24
2021년08월_여_60~69세,"2,680",803,275,373,355,318,328,178,17,33
2021년08월_여_70~79세,"2,600",579,296,309,355,374,380,244,24,39
2021년08월_여_80~89세,"2,142",384,255,268,281,316,350,232,33,23
2021년08월_여_90~99세,311,58,34,47,46,58,39,20,3,6
2021년08월_여_100세 이상,12,3,0,3,1,0,2,3,0,0
