카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년01월_계_총인구수,"253,475","5,485","24,954","9,532","20,675","4,325","6,306","4,697","3,276","3,201","21,897","6,320","5,733","5,269","6,553","14,011","4,746","14,871","5,906","22,828","28,691","22,671","9,752","1,776"
2021년01월_계_연령구간인구수,"253,475","5,485","24,954","9,532","20,675","4,325","6,306","4,697","3,276","3,201","21,897","6,320","5,733","5,269","6,553","14,011","4,746","14,871","5,906","22,828","28,691","22,671","9,752","1,776"
2021년01월_계_0~9세,"16,097",143,"1,174",348,"1,224",224,281,92,52,58,"2,423",193,284,206,164,446,88,"1,192",356,"2,761","2,453","1,246",640,49
2021년01월_계_10~19세,"20,859",213,"2,055",515,"1,144",187,327,200,91,123,"2,449",334,328,317,329,845,196,"1,690",337,"2,530","3,703","2,258",594,94
2021년01월_계_20~29세,"26,785",372,"2,345",719,"2,066",452,603,275,140,178,"2,312",506,535,534,635,"2,023",347,"1,918",488,"2,558","3,764","2,993",846,176
2021년01월_계_30~39세,"25,322",331,"1,792",675,"2,388",471,512,257,133,149,"3,037",379,590,506,552,"1,291",288,"1,466",522,"3,176","3,179","2,361","1,138",129
2021년01월_계_40~49세,"36,596",611,"3,356","1,054","2,808",384,712,396,194,301,"3,813",723,704,638,736,"1,810",510,"2,572",747,"4,115","5,267","3,624","1,310",211
2021년01월_계_50~59세,"46,852","1,015","5,048","1,715","4,159",665,"1,313",875,587,558,"3,591","1,286","1,052",877,"1,168","2,387",841,"2,774","1,033","3,908","5,425","4,504","1,747",324
2021년01월_계_60~69세,"41,412","1,267","4,422","2,068","3,668",838,"1,333","1,140",995,759,"2,414","1,344","1,089","1,063","1,459","2,681","1,069","1,785","1,140","2,306","3,014","3,413","1,755",390
2021년01월_계_70~79세,"24,600",931,"2,937","1,470","1,945",612,744,821,644,663,"1,153",903,724,754,993,"1,786",824,931,791,924,"1,184","1,547","1,059",260
2021년01월_계_80~89세,"13,100",526,"1,637",850,"1,107",425,400,576,388,368,622,566,381,331,436,653,516,478,425,474,610,645,566,120
2021년01월_계_90~99세,"1,762",73,176,111,158,64,79,62,51,42,83,84,45,36,69,87,59,64,66,71,90,79,92,21
2021년01월_계_100세 이상,90,3,12,7,8,3,2,3,1,2,0,2,1,7,12,2,8,1,1,5,2,1,5,2
2021년01월_남_총인구수,"126,853","2,737","12,375","4,833","10,939","2,261","3,344","2,362","1,620","1,598","10,790","3,212","2,986","2,613","3,166","6,937","2,345","7,454","2,902","11,298","14,076","11,330","4,789",886
2021년01월_남_연령구간인구수,"126,853","2,737","12,375","4,833","10,939","2,261","3,344","2,362","1,620","1,598","10,790","3,212","2,986","2,613","3,166","6,937","2,345","7,454","2,902","11,298","14,076","11,330","4,789",886
2021년01월_남_0~9세,"8,241",77,610,185,620,118,145,49,30,25,"1,268",88,143,104,70,249,44,608,177,"1,402","1,233",642,328,26
2021년01월_남_10~19세,"10,903",109,"1,048",286,607,117,168,106,47,86,"1,231",172,166,174,179,438,95,901,189,"1,280","1,963","1,194",304,43
2021년01월_남_20~29세,"15,109",231,"1,346",456,"1,201",281,400,160,85,109,"1,232",292,310,305,349,"1,145",207,"1,067",289,"1,429","2,035","1,655",439,86
2021년01월_남_30~39세,"13,513",193,961,390,"1,409",284,303,165,67,84,"1,506",223,325,282,318,755,168,763,254,"1,559","1,537","1,286",605,76
2021년01월_남_40~49세,"19,060",387,"1,754",626,"1,662",252,426,233,112,181,"1,870",419,407,353,410,982,292,"1,239",402,"2,033","2,417","1,788",701,114
2021년01월_남_50~59세,"24,210",560,"2,616",913,"2,271",383,739,494,306,326,"1,795",719,579,441,610,"1,176",471,"1,415",540,"1,896","2,678","2,196",913,173
2021년01월_남_60~69세,"20,396",623,"2,176","1,018","1,916",435,667,599,519,366,"1,171",704,568,483,653,"1,164",538,877,545,"1,159","1,526","1,642",841,206
2021년01월_남_70~79세,"10,934",372,"1,313",646,908,264,351,374,311,285,523,411,349,342,406,770,345,410,355,400,515,694,471,119
2021년01월_남_80~89세,"4,123",170,515,291,311,117,130,166,134,129,187,160,127,121,151,243,169,162,136,125,160,213,170,36
2021년01월_남_90~99세,342,14,34,21,30,9,15,15,9,6,7,24,12,6,17,14,13,12,15,15,12,19,17,6
2021년01월_남_100세 이상,22,1,2,1,4,1,0,1,0,1,0,0,0,2,3,1,3,0,0,0,0,1,0,1
2021년01월_여_총인구수,"126,622","2,748","12,579","4,699","9,736","2,064","2,962","2,335","1,656","1,603","11,107","3,108","2,747","2,656","3,387","7,074","2,401","7,417","3,004","11,530","14,615","11,341","4,963",890
2021년01월_여_연령구간인구수,"126,622","2,748","12,579","4,699","9,736","2,064","2,962","2,335","1,656","1,603","11,107","3,108","2,747","2,656","3,387","7,074","2,401","7,417","3,004","11,530","14,615","11,341","4,963",890
2021년01월_여_0~9세,"7,856",66,564,163,604,106,136,43,22,33,"1,155",105,141,102,94,197,44,584,179,"1,359","1,220",604,312,23
2021년01월_여_10~19세,"9,956",104,"1,007",229,537,70,159,94,44,37,"1,218",162,162,143,150,407,101,789,148,"1,250","1,740","1,064",290,51
2021년01월_여_20~29세,"11,676",141,999,263,865,171,203,115,55,69,"1,080",214,225,229,286,878,140,851,199,"1,129","1,729","1,338",407,90
2021년01월_여_30~39세,"11,809",138,831,285,979,187,209,92,66,65,"1,531",156,265,224,234,536,120,703,268,"1,617","1,642","1,075",533,53
2021년01월_여_40~49세,"17,536",224,"1,602",428,"1,146",132,286,163,82,120,"1,943",304,297,285,326,828,218,"1,333",345,"2,082","2,850","1,836",609,97
2021년01월_여_50~59세,"22,642",455,"2,432",802,"1,888",282,574,381,281,232,"1,796",567,473,436,558,"1,211",370,"1,359",493,"2,012","2,747","2,308",834,151
2021년01월_여_60~69세,"21,016",644,"2,246","1,050","1,752",403,666,541,476,393,"1,243",640,521,580,806,"1,517",531,908,595,"1,147","1,488","1,771",914,184
2021년01월_여_70~79세,"13,666",559,"1,624",824,"1,037",348,393,447,333,378,630,492,375,412,587,"1,016",479,521,436,524,669,853,588,141
2021년01월_여_80~89세,"8,977",356,"1,122",559,796,308,270,410,254,239,435,406,254,210,285,410,347,316,289,349,450,432,396,84
2021년01월_여_90~99세,"1,420",59,142,90,128,55,64,47,42,36,76,60,33,30,52,73,46,52,51,56,78,60,75,15
2021년01월_여_100세 이상,68,2,10,6,4,2,2,2,1,1,0,2,1,5,9,1,5,1,1,5,2,0,5,1
