,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2021년07월_계_총인구수,"42,964","13,550","6,148","3,667","3,092","2,009","1,200","2,435","3,053","4,477","3,333"
2021년07월_계_연령구간인구수,"42,964","13,550","6,148","3,667","3,092","2,009","1,200","2,435","3,053","4,477","3,333"
2021년07월_계_0~9세,"1,863",908,195,113,84,60,26,68,102,182,125
2021년07월_계_10~19세,"2,209","1,259",194,104,95,37,37,89,87,197,110
2021년07월_계_20~29세,"3,297","1,416",449,205,151,111,64,181,184,302,234
2021년07월_계_30~39세,"3,199","1,326",460,241,181,117,56,125,179,297,217
2021년07월_계_40~49세,"4,581","2,004",587,332,219,157,97,221,251,431,282
2021년07월_계_50~59세,"8,148","2,393","1,296",762,568,392,234,425,552,861,665
2021년07월_계_60~69세,"9,727","2,169","1,558","1,002",828,544,294,593,841,"1,069",829
2021년07월_계_70~79세,"5,864","1,283",895,517,501,318,211,428,522,668,521
2021년07월_계_80~89세,"3,553",691,437,341,400,237,161,270,285,415,316
2021년07월_계_90~99세,513,101,72,50,65,34,20,35,49,54,33
2021년07월_계_100세 이상,10,0,5,0,0,2,0,0,1,1,1
2021년07월_남_총인구수,"22,248","6,885","3,354","2,012","1,534",997,623,"1,230","1,571","2,273","1,769"
2021년07월_남_연령구간인구수,"22,248","6,885","3,354","2,012","1,534",997,623,"1,230","1,571","2,273","1,769"
2021년07월_남_0~9세,935,427,107,57,49,27,18,35,49,99,67
2021년07월_남_10~19세,"1,216",701,105,67,42,17,22,48,46,109,59
2021년07월_남_20~29세,"1,983",820,297,129,96,67,38,103,111,182,140
2021년07월_남_30~39세,"1,735",678,271,156,98,75,35,66,89,156,111
2021년07월_남_40~49세,"2,721","1,070",407,216,127,103,61,138,174,252,173
2021년07월_남_50~59세,"4,488","1,275",718,449,297,202,132,248,301,483,383
2021년07월_남_60~69세,"5,142","1,095",847,571,451,276,160,296,443,541,462
2021년07월_남_70~79세,"2,748",568,442,252,235,146,101,194,258,302,250
2021년07월_남_80~89세,"1,170",232,145,105,123,77,53,93,87,139,116
2021년07월_남_90~99세,110,19,15,10,16,7,3,9,13,10,8
2021년07월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"20,716","6,665","2,794","1,655","1,558","1,012",577,"1,205","1,482","2,204","1,564"
2021년07월_여_연령구간인구수,"20,716","6,665","2,794","1,655","1,558","1,012",577,"1,205","1,482","2,204","1,564"
2021년07월_여_0~9세,928,481,88,56,35,33,8,33,53,83,58
2021년07월_여_10~19세,993,558,89,37,53,20,15,41,41,88,51
2021년07월_여_20~29세,"1,314",596,152,76,55,44,26,78,73,120,94
2021년07월_여_30~39세,"1,464",648,189,85,83,42,21,59,90,141,106
2021년07월_여_40~49세,"1,860",934,180,116,92,54,36,83,77,179,109
2021년07월_여_50~59세,"3,660","1,118",578,313,271,190,102,177,251,378,282
2021년07월_여_60~69세,"4,585","1,074",711,431,377,268,134,297,398,528,367
2021년07월_여_70~79세,"3,116",715,453,265,266,172,110,234,264,366,271
2021년07월_여_80~89세,"2,383",459,292,236,277,160,108,177,198,276,200
2021년07월_여_90~99세,403,82,57,40,49,27,17,26,36,44,25
2021년07월_여_100세 이상,10,0,5,0,0,2,0,0,1,1,1
