,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년08월_계_총인구수,"209,546","4,834","2,019","2,936","8,932","2,941","2,264","3,920","13,676","3,854","3,624","2,276","3,142","1,955","2,708","23,450","6,904","15,294","5,216","9,458","18,619","3,763","9,321","14,579","37,230","6,631"
2021년08월_계_연령구간인구수,"209,546","4,834","2,019","2,936","8,932","2,941","2,264","3,920","13,676","3,854","3,624","2,276","3,142","1,955","2,708","23,450","6,904","15,294","5,216","9,458","18,619","3,763","9,321","14,579","37,230","6,631"
2021년08월_계_0~9세,"13,992",92,35,66,585,35,45,56,"2,045",333,93,53,73,59,89,"1,566",236,"1,188",231,338,"2,000",94,515,963,"2,638",564
2021년08월_계_10~19세,"18,537",204,62,114,418,99,86,116,"1,022",288,176,79,131,74,158,"2,498",506,"1,985",475,675,"2,406",153,730,"1,694","3,711",677
2021년08월_계_20~29세,"23,941",355,108,188,"1,408",164,115,243,"1,558",536,245,122,168,98,279,"2,697",836,"1,829",581,"1,046","2,198",525,"1,075","1,912","4,909",746
2021년08월_계_30~39세,"23,070",300,93,133,"1,418",159,106,174,"3,119",465,165,123,154,115,206,"2,397",598,"1,591",441,819,"2,656",275,"1,004","1,443","4,317",799
2021년08월_계_40~49세,"30,241",469,157,229,"1,200",204,167,303,"2,191",509,315,179,239,133,344,"3,588",909,"2,790",714,"1,136","3,414",402,"1,374","2,384","5,780","1,111"
2021년08월_계_50~59세,"37,012",995,405,595,"1,477",557,369,760,"1,557",514,694,425,542,330,470,"4,346","1,244","2,685",932,"1,692","2,875",705,"1,717","2,850","7,042","1,234"
2021년08월_계_60~69세,"33,842","1,238",613,817,"1,370",821,664,"1,138","1,257",596,928,604,907,552,554,"3,551","1,284","1,809",908,"2,021","1,873",823,"1,607","1,897","5,187",823
2021년08월_계_70~79세,"17,194",649,322,477,594,469,381,637,536,340,543,368,485,318,350,"1,741",808,884,573,"1,068",756,466,890,902,"2,233",404
2021년08월_계_80~89세,"10,349",482,186,281,409,388,285,425,339,247,401,285,392,248,225,954,429,475,325,587,386,287,366,475,"1,239",233
2021년08월_계_90~99세,"1,335",49,37,36,51,44,43,67,52,26,62,37,49,28,33,109,51,55,36,74,54,33,42,57,172,38
2021년08월_계_100세 이상,33,1,1,0,2,1,3,1,0,0,2,1,2,0,0,3,3,3,0,2,1,0,1,2,2,2
2021년08월_남_총인구수,"106,027","2,491","1,028","1,489","5,032","1,511","1,148","2,008","7,040","2,072","1,837","1,170","1,590",992,"1,339","11,702","3,500","7,503","2,601","4,758","9,251","2,025","4,862","7,187","18,430","3,461"
2021년08월_남_연령구간인구수,"106,027","2,491","1,028","1,489","5,032","1,511","1,148","2,008","7,040","2,072","1,837","1,170","1,590",992,"1,339","11,702","3,500","7,503","2,601","4,758","9,251","2,025","4,862","7,187","18,430","3,461"
2021년08월_남_0~9세,"7,049",55,12,29,290,17,22,36,"1,011",157,40,30,42,27,41,809,111,579,121,173,"1,009",43,269,500,"1,316",310
2021년08월_남_10~19세,"9,634",103,35,66,219,50,54,61,524,149,77,43,77,44,77,"1,306",258,"1,071",244,343,"1,223",91,362,876,"1,920",361
2021년08월_남_20~29세,"13,787",224,62,123,909,103,72,157,881,361,145,77,91,61,163,"1,538",490,"1,010",322,578,"1,204",310,623,"1,040","2,803",440
2021년08월_남_30~39세,"12,525",184,57,78,897,100,65,108,"1,691",266,96,77,84,60,126,"1,259",368,801,240,458,"1,328",180,555,759,"2,270",418
