카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년09월_계_총인구수,"97,689","6,619","1,417","3,853","3,077",995,"2,703","3,998","1,671","1,956","2,593","1,755",750,"2,014","2,762","1,246",339,"2,777","1,158",377,"2,161","2,083",833,"12,381","9,210","7,845","8,364","3,686","9,066"
2020년09월_계_연령구간인구수,"97,689","6,619","1,417","3,853","3,077",995,"2,703","3,998","1,671","1,956","2,593","1,755",750,"2,014","2,762","1,246",339,"2,777","1,158",377,"2,161","2,083",833,"12,381","9,210","7,845","8,364","3,686","9,066"
2020년09월_계_0~9세,"5,266",280,40,106,105,29,91,83,58,55,97,61,23,67,136,36,6,90,21,6,37,60,24,949,737,561,562,185,761
2020년09월_계_10~19세,"7,692",508,60,169,148,38,114,228,70,77,156,72,40,109,145,67,11,159,49,19,92,98,42,"1,349",865,802,833,356,"1,016"
2020년09월_계_20~29세,"8,213",429,69,200,172,54,155,207,85,106,163,103,32,106,164,72,14,122,46,12,110,104,48,"1,325","1,002",757,856,314,"1,386"
2020년09월_계_30~39세,"7,579",475,75,215,132,35,163,201,85,108,125,82,44,108,180,75,11,154,34,9,106,72,33,"1,287","1,099",732,768,283,888
2020년09월_계_40~49세,"11,642",745,104,330,270,73,220,310,120,137,253,175,58,176,260,115,26,294,92,27,167,192,69,"1,809","1,394","1,150","1,207",512,"1,357"
2020년09월_계_50~59세,"16,892","1,125",238,650,526,204,425,645,308,397,508,335,159,383,517,264,66,499,176,70,318,319,162,"2,081","1,562","1,375","1,533",627,"1,420"
2020년09월_계_60~69세,"18,090","1,299",316,860,645,218,629,986,372,478,634,419,182,453,598,273,105,597,285,69,511,426,189,"1,859","1,404","1,184","1,275",629,"1,195"
2020년09월_계_70~79세,"12,673",983,307,689,564,156,478,757,299,330,389,278,114,349,417,186,58,464,268,77,439,431,136,"1,115",707,752,833,479,618
2020년09월_계_80~89세,"8,319",669,181,554,428,171,365,500,233,235,235,205,86,216,300,134,37,342,159,78,325,316,103,521,384,470,439,262,371
2020년09월_계_90~99세,"1,262",98,27,77,81,15,59,79,41,33,29,24,12,47,43,22,5,52,26,10,55,63,26,79,56,60,54,36,53
2020년09월_계_100세 이상,61,8,0,3,6,2,4,2,0,0,4,1,0,0,2,2,0,4,2,0,1,2,1,7,0,2,4,3,1
2020년09월_남_총인구수,"47,918","3,194",684,"1,875","1,492",487,"1,322","1,979",835,"1,004","1,296",881,355,"1,008","1,334",631,177,"1,306",537,196,"1,025",997,403,"6,060","4,604","3,736","4,094","1,831","4,575"
2020년09월_남_연령구간인구수,"47,918","3,194",684,"1,875","1,492",487,"1,322","1,979",835,"1,004","1,296",881,355,"1,008","1,334",631,177,"1,306",537,196,"1,025",997,403,"6,060","4,604","3,736","4,094","1,831","4,575"
2020년09월_남_0~9세,"2,733",151,26,52,57,15,53,37,29,24,47,31,12,34,73,19,3,41,8,2,16,39,13,483,372,296,299,106,395
2020년09월_남_10~19세,"4,045",232,26,102,72,18,73,150,45,47,81,39,19,54,67,36,6,80,29,13,45,40,20,758,459,388,424,197,525
2020년09월_남_20~29세,"4,763",244,43,135,104,37,101,123,48,67,103,65,16,61,93,34,10,74,24,9,77,62,20,747,556,420,469,190,831
2020년09월_남_30~39세,"4,110",266,44,125,83,19,89,116,44,65,64,48,20,65,100,51,6,85,17,5,68,46,14,689,572,387,406,152,464
2020년09월_남_40~49세,"6,202",407,70,215,154,45,142,204,87,79,151,106,40,108,140,60,16,162,58,16,108,113,45,874,716,574,563,286,663
2020년09월_남_50~59세,"8,883",607,145,361,299,117,223,341,182,222,267,186,73,221,262,148,40,266,94,45,165,177,91,"1,014",804,675,842,326,690
2020년09월_남_60~69세,"8,849",641,145,445,334,108,319,489,186,262,321,220,104,227,304,141,58,290,143,37,254,218,102,843,684,544,577,267,586
