카테고리,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020년08월_계_총인구수,"103,652","10,645","2,383","1,462","1,973","2,218","3,092","2,800","2,041","1,916","3,141","8,026","6,189","4,126","3,585","6,694","8,274","8,123","18,950","8,014"
2020년08월_계_연령구간인구수,"103,652","10,645","2,383","1,462","1,973","2,218","3,092","2,800","2,041","1,916","3,141","8,026","6,189","4,126","3,585","6,694","8,274","8,123","18,950","8,014"
2020년08월_계_0~9세,"6,258",466,56,26,57,56,89,76,40,28,53,513,347,182,165,502,458,468,"2,125",551
2020년08월_계_10~19세,"9,005",724,102,59,92,116,133,138,87,66,133,988,609,289,258,880,623,730,"2,143",835
2020년08월_계_20~29세,"9,727",937,198,83,153,151,217,173,145,105,137,799,614,318,302,699,947,992,"1,928",829
2020년08월_계_30~39세,"8,671",734,120,53,105,118,165,129,92,84,147,607,458,307,261,550,711,646,"2,595",789
2020년08월_계_40~49세,"14,074","1,257",185,104,182,201,270,283,144,160,214,"1,313",874,493,421,"1,160","1,071","1,092","3,388","1,262"
2020년08월_계_50~59세,"18,161","1,905",499,260,330,361,521,530,383,352,613,"1,393","1,124",714,647,"1,198","1,600","1,619","2,718","1,394"
2020년08월_계_60~69세,"18,029","2,240",531,338,448,507,713,709,535,467,813,"1,139","1,022",861,735,833,"1,437","1,363","2,125","1,213"
2020년08월_계_70~79세,"11,945","1,449",358,288,316,388,545,460,348,339,593,800,729,595,522,568,935,781,"1,234",697
2020년08월_계_80~89세,"6,749",784,295,216,244,265,381,256,224,274,384,395,370,325,242,272,436,372,619,395
2020년08월_계_90~99세,974,137,38,33,44,52,57,40,42,40,50,76,39,38,31,30,52,58,72,45
2020년08월_계_100세 이상,59,12,1,2,2,3,1,6,1,1,4,3,3,4,1,2,4,2,3,4
2020년08월_남_총인구수,"51,379","5,233","1,229",738,"1,004","1,130","1,566","1,429","1,015",956,"1,554","4,005","2,966","2,005","1,710","3,336","4,062","4,065","9,510","3,866"
2020년08월_남_연령구간인구수,"51,379","5,233","1,229",738,"1,004","1,130","1,566","1,429","1,015",956,"1,554","4,005","2,966","2,005","1,710","3,336","4,062","4,065","9,510","3,866"
2020년08월_남_0~9세,"3,221",243,30,17,29,32,46,40,23,16,28,264,178,102,94,253,212,238,"1,097",279
2020년08월_남_10~19세,"4,713",363,50,28,49,61,72,68,44,38,75,527,302,131,140,466,350,405,"1,105",439
2020년08월_남_20~29세,"5,710",587,127,54,98,95,140,110,96,72,70,476,353,193,166,430,527,591,"1,088",437
2020년08월_남_30~39세,"4,639",390,73,31,64,78,107,72,54,52,86,322,251,169,129,275,382,354,"1,331",419
2020년08월_남_40~49세,"7,284",670,107,71,114,117,169,178,79,99,135,633,431,257,207,556,544,528,"1,762",627
2020년08월_남_50~59세,"9,255",942,281,146,176,193,273,277,201,180,329,734,573,386,333,622,764,803,"1,381",661
2020년08월_남_60~69세,"8,633","1,099",274,172,241,269,363,354,270,255,404,542,452,391,317,368,654,637,995,576
2020년08월_남_70~79세,"5,337",635,173,136,149,175,259,231,158,146,280,349,290,249,233,264,434,355,522,299
2020년08월_남_80~89세,"2,367",272,103,73,77,99,128,85,83,88,139,149,127,115,85,92,181,138,212,121
2020년08월_남_90~99세,207,28,11,10,7,11,9,12,6,9,7,9,8,11,6,10,13,16,16,8
2020년08월_남_100세 이상,13,4,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020년08월_여_총인구수,"52,273","5,412","1,154",724,969,"1,088","1,526","1,371","1,026",960,"1,587","4,021","3,223","2,121","1,875","3,358","4,212","4,058","9,440","4,148"
2020년08월_여_연령구간인구수,"52,273","5,412","1,154",724,969,"1,088","1,526","1,371","1,026",960,"1,587","4,021","3,223","2,121","1,875","3,358","4,212","4,058","9,440","4,148"
2020년08월_여_0~9세,"3,037",223,26,9,28,24,43,36,17,12,25,249,169,80,71,249,246,230,"1,028",272
2020년08월_여_10~19세,"4,292",361,52,31,43,55,61,70,43,28,58,461,307,158,118,414,273,325,"1,038",396
2020년08월_여_20~29세,"4,017",350,71,29,55,56,77,63,49,33,67,323,261,125,136,269,420,401,840,392
2020년08월_여_30~39세,"4,032",344,47,22,41,40,58,57,38,32,61,285,207,138,132,275,329,292,"1,264",370
2020년08월_여_40~49세,"6,790",587,78,33,68,84,101,105,65,61,79,680,443,236,214,604,527,564,"1,626",635
2020년08월_여_50~59세,"8,906",963,218,114,154,168,248,253,182,172,284,659,551,328,314,576,836,816,"1,337",733
2020년08월_여_60~69세,"9,396","1,141",257,166,207,238,350,355,265,212,409,597,570,470,418,465,783,726,"1,130",637
2020년08월_여_70~79세,"6,608",814,185,152,167,213,286,229,190,193,313,451,439,346,289,304,501,426,712,398
2020년08월_여_80~89세,"4,382",512,192,143,167,166,253,171,141,186,245,246,243,210,157,180,255,234,407,274
2020년08월_여_90~99세,767,109,27,23,37,41,48,28,36,31,43,67,31,27,25,20,39,42,56,37
2020년08월_여_100세 이상,46,8,1,2,2,3,1,4,0,0,3,3,2,3,1,2,3,2,2,4
