카테고리,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2020년05월_계_총인구수,"672,089","14,307","25,779","13,053","16,662","20,292","19,897","16,322","26,039","18,758","40,714","25,195","20,653","33,243","31,846","27,389","27,980","33,390","21,041","29,813","30,963","28,258","28,874","36,636","35,647","21,980","17,261","10,097"
2020년05월_계_연령구간인구수,"672,089","14,307","25,779","13,053","16,662","20,292","19,897","16,322","26,039","18,758","40,714","25,195","20,653","33,243","31,846","27,389","27,980","33,390","21,041","29,813","30,963","28,258","28,874","36,636","35,647","21,980","17,261","10,097"
2020년05월_계_0~9세,"52,265",719,"2,042",701,"1,087","1,096",972,"1,143","1,261","1,391","3,042","1,342","1,678","1,746","1,723","1,705","3,222","2,671","1,413","1,790","2,551","4,718","1,326","4,393","3,438","2,984","1,493",618
2020년05월_계_10~19세,"60,137",968,"2,137","1,084","1,440","1,693","1,480","1,726","1,341","2,858","3,412","1,439","1,952","1,994","2,126","1,963","2,287","3,656","1,628","1,526","2,930","3,543","1,880","5,961","3,969","2,319","1,731","1,094"
2020년05월_계_20~29세,"95,325","1,794","3,881","1,823","1,875","2,497","2,505","2,489","5,041","2,261","5,812","4,635","2,979","5,794","5,383","4,363","3,703","4,735","3,370","5,372","4,226","2,725","5,194","3,335","4,074","2,077","2,076","1,306"
2020년05월_계_30~39세,"113,227","2,091","4,385","1,705","2,268","2,304","2,367","2,357","5,842","1,840","5,978","5,572","3,113","7,217","6,805","4,897","5,613","4,953","3,642","7,801","4,964","5,117","6,240","4,446","4,782","3,347","2,471","1,110"
2020년05월_계_40~49세,"109,852","2,069","4,100","2,063","2,687","3,053","2,869","2,701","3,682","3,491","6,055","3,569","3,144","5,058","5,241","3,969","4,338","5,705","2,961","4,323","4,902","5,643","4,493","8,885","6,304","4,341","2,745","1,461"
2020년05월_계_50~59세,"103,761","2,526","3,781","2,354","2,875","3,681","3,859","2,746","3,711","3,132","7,171","3,650","3,424","4,931","4,691","4,846","4,056","5,390","3,510","3,550","5,103","3,254","4,200","4,734","5,270","2,934","2,700","1,682"
2020년05월_계_60~69세,"81,799","2,387","3,205","1,876","2,361","3,244","3,237","1,897","3,122","2,365","5,626","3,003","2,734","3,855","3,546","3,493","3,164","3,916","2,890","3,119","3,728","2,059","3,355","2,790","4,618","2,390","2,376","1,443"
2020년05월_계_70~79세,"39,257","1,253","1,588","1,067","1,443","1,886","1,785",828,"1,487",983,"2,427","1,447","1,131","1,949","1,682","1,501","1,208","1,642","1,149","1,549","1,744",848,"1,591","1,517","2,372","1,145","1,125",910
