,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년12월_계_총인구수,"427,114","4,784","6,867","4,809","3,085","9,157","12,379","38,542","19,356","12,033","12,663","23,375","10,290","5,738","20,918","15,983","15,707","7,773","16,037","13,400","14,116","29,944","13,842","10,940","12,523","2,519","22,423","37,958","29,953"
2021년12월_계_연령구간인구수,"427,114","4,784","6,867","4,809","3,085","9,157","12,379","38,542","19,356","12,033","12,663","23,375","10,290","5,738","20,918","15,983","15,707","7,773","16,037","13,400","14,116","29,944","13,842","10,940","12,523","2,519","22,423","37,958","29,953"
2021년12월_계_0~9세,"31,994",218,266,246,69,704,503,"2,570","1,676",501,875,"2,095",358,522,"1,664","1,069",976,264,828,417,936,"2,266","1,112",587,498,71,"2,635","3,804","4,264"
2021년12월_계_10~19세,"41,359",156,466,291,107,592,675,"3,626","2,237",868,"1,360","2,232",635,503,"1,630","1,836","1,406",586,"1,290",764,"1,625","4,471","1,667",958,748,121,"2,529","4,091","3,889"
2021년12월_계_20~29세,"61,142",863,"1,411",908,472,"1,213","2,332","7,230","2,464","1,687","1,749","2,969","1,285",723,"2,549","2,258","2,487","1,139","2,227","1,555","2,198","4,603","1,944","1,688","1,870",236,"2,698","5,162","3,222"
2021년12월_계_30~39세,"54,563",953,776,687,402,"1,402","1,974","4,797","2,207","1,302","1,446","3,438",944,745,"3,012","1,557","1,938",748,"1,704","1,249","1,661","2,908","1,620","1,252","1,451",217,"3,370","5,720","5,083"
2021년12월_계_40~49세,"65,746",625,852,725,376,"1,295","1,567","5,450","3,100","1,614","1,799","3,830","1,203",899,"2,924","2,392","2,292",962,"2,147","1,463","2,317","5,410","2,185","1,548","1,508",210,"4,017","6,587","6,449"
2021년12월_계_50~59세,"71,348",635,976,642,514,"1,369","1,954","6,664","3,057","2,060","2,204","3,868","1,731",875,"3,407","2,938","2,556","1,366","2,891","2,495","2,676","5,748","2,447","2,128","2,364",489,"3,427","5,979","3,888"
2021년12월_계_60~69세,"56,057",671,969,628,578,"1,324","1,758","4,739","2,779","2,107","1,928","2,925","2,062",753,"3,123","2,310","2,171","1,340","2,719","2,862","1,596","2,592","1,653","1,605","2,258",576,"2,128","3,899","2,004"
2021년12월_계_70~79세,"30,050",448,773,468,360,885,"1,082","2,402","1,338","1,297",859,"1,406","1,387",476,"1,725","1,091","1,203",944,"1,558","1,651",743,"1,201",772,805,"1,160",359,"1,016","1,826",815
2021년12월_계_80~89세,"12,971",194,337,193,166,326,489,948,441,532,367,533,594,216,771,468,587,373,585,825,314,660,376,315,580,210,521,757,293
2021년12월_계_90~99세,"1,827",19,41,20,38,46,43,113,56,63,76,74,90,25,109,62,88,48,87,116,50,81,64,51,86,29,79,128,45
2021년12월_계_100세 이상,57,2,0,1,3,1,2,3,1,2,0,5,1,1,4,2,3,3,1,3,0,4,2,3,0,1,3,5,1
2021년12월_남_총인구수,"211,999","2,478","3,506","2,535","1,661","4,519","6,515","19,207","9,364","6,063","6,061","11,502","4,990","2,868","10,293","7,756","7,473","3,872","7,926","6,434","7,270","14,666","6,775","5,549","6,121","1,309","11,352","19,080","14,854"
2021년12월_남_연령구간인구수,"211,999","2,478","3,506","2,535","1,661","4,519","6,515","19,207","9,364","6,063","6,061","11,502","4,990","2,868","10,293","7,756","7,473","3,872","7,926","6,434","7,270","14,666","6,775","5,549","6,121","1,309","11,352","19,080","14,854"
2021년12월_남_0~9세,"16,375",100,142,126,42,371,260,"1,283",862,233,440,"1,093",182,255,831,505,502,145,426,208,499,"1,176",582,290,235,36,"1,368","1,989","2,194"
2021년12월_남_10~19세,"21,770",89,231,154,52,305,359,"1,908","1,153",428,726,"1,187",338,251,893,952,720,313,672,405,907,"2,415",913,506,416,70,"1,309","2,079","2,019"
2021년12월_남_20~29세,"32,157",383,717,468,219,602,"1,191","3,842","1,271",893,950,"1,555",655,392,"1,354","1,212","1,267",585,"1,164",804,"1,248","2,509","1,047",891,953,140,"1,456","2,717","1,672"
2021년12월_남_30~39세,"28,456",501,458,410,244,720,"1,145","2,568","1,065",743,725,"1,736",515,385,"1,550",799,"1,030",411,910,665,875,"1,405",795,685,801,130,"1,700","3,029","2,456"
2021년12월_남_40~49세,"33,096",389,451,419,236,696,922,"2,734","1,425",847,833,"1,947",656,475,"1,531","1,104","1,134",520,"1,110",787,"1,120","2,361","1,014",812,807,121,"2,025","3,339","3,281"
2021년12월_남_50~59세,"34,959",360,520,366,304,682,"1,064","3,141","1,430","1,073",975,"1,821",876,465,"1,629","1,379","1,162",677,"1,437","1,225","1,361","2,809","1,110","1,078","1,117",273,"1,792","2,970","1,863"
2021년12월_남_60~69세,"26,636",358,473,303,312,589,876,"2,249","1,293",990,897,"1,302",947,356,"1,461","1,120",938,607,"1,226","1,396",796,"1,260",815,792,"1,095",309,"1,072","1,873",931
2021년12월_남_70~79세,"13,488",210,347,200,175,402,490,"1,094",666,612,380,651,609,212,749,515,477,442,730,676,342,488,358,380,516,157,466,801,343
2021년12월_남_80~89세,"4,671",80,151,81,67,146,198,357,186,229,122,194,196,75,275,154,220,157,238,240,112,222,129,104,172,66,154,255,91
2021년12월_남_90~99세,385,7,16,8,10,6,10,31,13,15,13,15,16,2,19,16,22,15,13,28,10,20,12,11,9,7,9,28,4
2021년12월_남_100세 이상,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2021년12월_여_총인구수,"215,115","2,306","3,361","2,274","1,424","4,638","5,864","19,335","9,992","5,970","6,602","11,873","5,300","2,870","10,625","8,227","8,234","3,901","8,111","6,966","6,846","15,278","7,067","5,391","6,402","1,210","11,071","18,878","15,099"
2021년12월_여_연령구간인구수,"215,115","2,306","3,361","2,274","1,424","4,638","5,864","19,335","9,992","5,970","6,602","11,873","5,300","2,870","10,625","8,227","8,234","3,901","8,111","6,966","6,846","15,278","7,067","5,391","6,402","1,210","11,071","18,878","15,099"
2021년12월_여_0~9세,"15,619",118,124,120,27,333,243,"1,287",814,268,435,"1,002",176,267,833,564,474,119,402,209,437,"1,090",530,297,263,35,"1,267","1,815","2,070"
2021년12월_여_10~19세,"19,589",67,235,137,55,287,316,"1,718","1,084",440,634,"1,045",297,252,737,884,686,273,618,359,718,"2,056",754,452,332,51,"1,220","2,012","1,870"
2021년12월_여_20~29세,"28,985",480,694,440,253,611,"1,141","3,388","1,193",794,799,"1,414",630,331,"1,195","1,046","1,220",554,"1,063",751,950,"2,094",897,797,917,96,"1,242","2,445","1,550"
2021년12월_여_30~39세,"26,107",452,318,277,158,682,829,"2,229","1,142",559,721,"1,702",429,360,"1,462",758,908,337,794,584,786,"1,503",825,567,650,87,"1,670","2,691","2,627"
2021년12월_여_40~49세,"32,650",236,401,306,140,599,645,"2,716","1,675",767,966,"1,883",547,424,"1,393","1,288","1,158",442,"1,037",676,"1,197","3,049","1,171",736,701,89,"1,992","3,248","3,168"
2021년12월_여_50~59세,"36,389",275,456,276,210,687,890,"3,523","1,627",987,"1,229","2,047",855,410,"1,778","1,559","1,394",689,"1,454","1,270","1,315","2,939","1,337","1,050","1,247",216,"1,635","3,009","2,025"
2021년12월_여_60~69세,"29,421",313,496,325,266,735,882,"2,490","1,486","1,117","1,031","1,623","1,115",397,"1,662","1,190","1,233",733,"1,493","1,466",800,"1,332",838,813,"1,163",267,"1,056","2,026","1,073"
2021년12월_여_70~79세,"16,562",238,426,268,185,483,592,"1,308",672,685,479,755,778,264,976,576,726,502,828,975,401,713,414,425,644,202,550,"1,025",472
2021년12월_여_80~89세,"8,300",114,186,112,99,180,291,591,255,303,245,339,398,141,496,314,367,216,347,585,202,438,247,211,408,144,367,502,202
2021년12월_여_90~99세,"1,442",12,25,12,28,40,33,82,43,48,63,59,74,23,90,46,66,33,74,88,40,61,52,40,77,22,70,100,41
2021년12월_여_100세 이상,51,1,0,1,3,1,2,3,1,2,0,4,1,1,3,2,2,3,1,3,0,3,2,3,0,1,2,5,1
