카테고리,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년11월_계_총인구수,"495,882","37,474","16,879","13,201","36,752","33,424","13,997","13,280","32,015","22,527","18,127","6,960","35,117","16,659","19,455","34,510","29,495","16,735","17,421","32,253","12,962","12,948","23,691"
2020년11월_계_연령구간인구수,"495,882","37,474","16,879","13,201","36,752","33,424","13,997","13,280","32,015","22,527","18,127","6,960","35,117","16,659","19,455","34,510","29,495","16,735","17,421","32,253","12,962","12,948","23,691"
2020년11월_계_0~9세,"33,169","2,400",947,647,"2,590","2,567",938,630,"2,766","1,244","1,202",323,"2,798",898,"1,258","2,462","2,513",879,"1,146","1,958","1,092",697,"1,214"
2020년11월_계_10~19세,"43,434","2,979","1,307",879,"2,411","2,387",806,"1,015","3,778","2,057","1,795",530,"3,012","1,312","1,486","3,621","4,239","1,127","1,585","3,414","1,069","1,034","1,591"
2020년11월_계_20~29세,"70,296","6,121","2,305","1,694","5,855","5,176","2,057","1,736","4,155","2,940","2,682",895,"4,951","2,583","2,591","4,810","3,787","2,163","2,437","4,933","1,662","1,662","3,101"
2020년11월_계_30~39세,"67,598","6,035","2,404","1,719","6,570","6,134","2,157","1,496","3,809","2,420","2,170",791,"5,181","2,217","2,783","3,993","3,017","2,081","2,238","4,098","1,850","1,451","2,984"
2020년11월_계_40~49세,"77,690","5,758","2,602","1,923","5,653","5,406","2,057","1,841","5,556","3,207","2,817","1,099","5,324","2,427","2,582","5,746","5,932","2,424","2,701","5,306","1,864","1,954","3,511"
2020년11월_계_50~59세,"90,409","6,137","2,995","2,407","6,171","5,435","2,416","2,607","5,781","4,088","3,426","1,461","6,467","3,323","3,607","6,621","5,299","3,025","3,213","6,389","2,210","2,524","4,807"
2020년11월_계_60~69세,"65,682","4,619","2,390","2,123","4,337","3,677","2,032","2,233","3,733","3,519","2,366","1,130","4,495","2,352","3,056","4,153","2,822","2,834","2,362","3,649","1,979","2,039","3,782"
2020년11월_계_70~79세,"31,432","2,199","1,355","1,196","2,151","1,745",983,"1,121","1,648","1,901","1,035",499,"1,933","1,039","1,348","1,910","1,215","1,558","1,195","1,620",846,"1,077","1,858"
2020년11월_계_80~89세,"13,860","1,042",489,516,883,758,476,502,677,972,546,178,846,430,624,"1,020",565,578,481,766,339,433,739
2020년11월_계_90~99세,"2,110",171,74,86,116,127,65,82,104,163,86,42,103,73,117,164,104,61,55,117,45,65,90
2020년11월_계_100세 이상,202,13,11,11,15,12,10,17,8,16,2,12,7,5,3,10,2,5,8,3,6,12,14
2020년11월_남_총인구수,"245,186","18,027","8,403","6,554","18,182","16,520","6,916","6,711","15,774","10,944","8,653","3,726","17,617","8,417","9,490","16,902","14,322","8,437","8,510","15,571","6,665","6,627","12,218"
2020년11월_남_연령구간인구수,"245,186","18,027","8,403","6,554","18,182","16,520","6,916","6,711","15,774","10,944","8,653","3,726","17,617","8,417","9,490","16,902","14,322","8,437","8,510","15,571","6,665","6,627","12,218"
2020년11월_남_0~9세,"16,978","1,211",472,337,"1,317","1,302",504,337,"1,398",659,626,156,"1,462",449,626,"1,264","1,266",441,577,"1,001",597,378,598
2020년11월_남_10~19세,"22,510","1,473",667,474,"1,271","1,195",411,528,"1,994","1,098",910,267,"1,603",732,784,"1,865","2,160",583,793,"1,720",577,548,857
2020년11월_남_20~29세,"36,209","2,944","1,211",888,"2,899","2,586","1,010",961,"2,196","1,549","1,350",503,"2,578","1,376","1,347","2,523","1,951","1,155","1,255","2,492",928,878,"1,629"
2020년11월_남_30~39세,"34,874","3,107","1,291",920,"3,398","3,251","1,098",814,"1,802","1,243","1,068",437,"2,675","1,193","1,429","2,032","1,432","1,115","1,133","2,004",991,789,"1,652"
2020년11월_남_40~49세,"39,068","2,812","1,367","1,015","2,905","2,857","1,105",970,"2,698","1,592","1,314",614,"2,731","1,272","1,307","2,765","2,715","1,323","1,331","2,489",976,"1,016","1,894"
2020년11월_남_50~59세,"44,304","2,912","1,483","1,183","3,000","2,596","1,162","1,334","2,794","1,920","1,583",824,"3,190","1,628","1,658","3,312","2,709","1,523","1,540","3,054","1,043","1,340","2,516"
2020년11월_남_60~69세,"31,947","2,148","1,099","1,034","2,075","1,711",990,"1,077","1,854","1,662","1,155",616,"2,194","1,144","1,521","2,033","1,379","1,345","1,137","1,824","1,018","1,010","1,921"
2020년11월_남_70~79세,"14,153",988,624,508,971,746,454,511,784,864,451,246,872,466,623,797,518,725,555,715,398,483,854
2020년11월_남_80~89세,"4,679",392,168,168,315,247,171,161,234,322,178,50,294,149,171,278,179,211,172,248,126,166,279
2020년11월_남_90~99세,419,39,18,21,25,28,10,15,18,32,17,9,17,8,22,32,13,15,14,24,9,17,16
2020년11월_남_100세 이상,45,1,3,6,6,1,1,3,2,3,1,4,1,0,2,1,0,1,3,0,2,2,2
2020년11월_여_총인구수,"250,696","19,447","8,476","6,647","18,570","16,904","7,081","6,569","16,241","11,583","9,474","3,234","17,500","8,242","9,965","17,608","15,173","8,298","8,911","16,682","6,297","6,321","11,473"
