,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면,경상북도 군위군 삼국유사면
2021년01월_계_총인구수,"23,216","8,165","2,304","3,779","2,053","2,008","2,374","1,182",0,"1,351"
2021년01월_계_연령구간인구수,"23,216","8,165","2,304","3,779","2,053","2,008","2,374","1,182",0,"1,351"
2021년01월_계_0~9세,675,420,39,90,39,18,37,15,0,17
2021년01월_계_10~19세,955,579,48,128,49,40,65,22,0,24
2021년01월_계_20~29세,"1,502",707,104,256,143,110,94,32,0,56
2021년01월_계_30~39세,"1,304",631,104,182,101,81,104,46,0,55
2021년01월_계_40~49세,"2,138","1,093",138,302,145,133,168,74,0,85
2021년01월_계_50~59세,"4,280","1,494",456,708,403,360,406,204,0,249
2021년01월_계_60~69세,"5,373","1,489",560,981,525,507,595,319,0,397
2021년01월_계_70~79세,"4,015","1,054",447,677,357,422,514,259,0,285
2021년01월_계_80~89세,"2,625",617,360,406,254,300,347,186,0,155
2021년01월_계_90~99세,333,75,45,48,37,33,42,25,0,28
2021년01월_계_100세 이상,16,6,3,1,0,4,2,0,0,0
2021년01월_남_총인구수,"11,853","4,233","1,174","1,942","1,049","1,010","1,142",597,0,706
2021년01월_남_연령구간인구수,"11,853","4,233","1,174","1,942","1,049","1,010","1,142",597,0,706
2021년01월_남_0~9세,362,230,18,50,24,6,13,9,0,12
2021년01월_남_10~19세,521,323,28,59,33,18,34,11,0,15
2021년01월_남_20~29세,914,427,62,155,92,67,52,24,0,35
2021년01월_남_30~39세,750,351,56,99,65,52,59,32,0,36
2021년01월_남_40~49세,"1,259",586,87,194,87,96,110,48,0,51
2021년01월_남_50~59세,"2,409",822,266,397,224,200,227,131,0,142
2021년01월_남_60~69세,"2,821",774,299,536,268,268,283,165,0,228
2021년01월_남_70~79세,"1,853",491,211,311,160,196,235,114,0,135
2021년01월_남_80~89세,894,209,136,132,88,99,121,58,0,51
2021년01월_남_90~99세,69,19,11,9,8,8,8,5,0,1
2021년01월_남_100세 이상,1,1,0,0,0,0,0,0,0,0
2021년01월_여_총인구수,"11,363","3,932","1,130","1,837","1,004",998,"1,232",585,0,645
2021년01월_여_연령구간인구수,"11,363","3,932","1,130","1,837","1,004",998,"1,232",585,0,645
2021년01월_여_0~9세,313,190,21,40,15,12,24,6,0,5
2021년01월_여_10~19세,434,256,20,69,16,22,31,11,0,9
2021년01월_여_20~29세,588,280,42,101,51,43,42,8,0,21
2021년01월_여_30~39세,554,280,48,83,36,29,45,14,0,19
2021년01월_여_40~49세,879,507,51,108,58,37,58,26,0,34
2021년01월_여_50~59세,"1,871",672,190,311,179,160,179,73,0,107
2021년01월_여_60~69세,"2,552",715,261,445,257,239,312,154,0,169
2021년01월_여_70~79세,"2,162",563,236,366,197,226,279,145,0,150
2021년01월_여_80~89세,"1,731",408,224,274,166,201,226,128,0,104
2021년01월_여_90~99세,264,56,34,39,29,25,34,20,0,27
2021년01월_여_100세 이상,15,5,3,1,0,4,2,0,0,0
