,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년09월_계_총인구수,"513,053","21,763","26,857","30,053","36,934","38,892","26,777","22,171","24,140","26,991","20,085","34,582","38,323","20,039","26,370","24,086","32,874","22,725","20,661","18,730"
2021년09월_계_연령구간인구수,"513,053","21,763","26,857","30,053","36,934","38,892","26,777","22,171","24,140","26,991","20,085","34,582","38,323","20,039","26,370","24,086","32,874","22,725","20,661","18,730"
2021년09월_계_0~9세,"31,040","1,124","1,628","2,133","1,939","2,739","1,079","1,422","1,458","1,885","1,078","1,887","2,175",927,"1,347","1,030","2,290","2,318","1,275","1,306"
2021년09월_계_10~19세,"50,924","1,621","2,029","2,074","2,613","4,178","2,983","2,699","4,415","5,596","2,175","3,060","3,271","1,774","2,007","1,968","2,935","1,935","1,995","1,596"
2021년09월_계_20~29세,"70,821","3,737","3,122","3,499","6,552","6,561","4,426","2,960","3,101","2,913","2,510","4,157","5,141","3,186","3,152","3,347","4,438","2,704","2,708","2,607"
2021년09월_계_30~39세,"63,273","2,598","3,103","4,477","5,183","5,113","2,697","2,504","1,797","1,967","1,897","4,175","4,772","2,286","2,833","2,575","4,867","4,760","2,757","2,912"
2021년09월_계_40~49세,"82,512","3,293","4,155","4,505","5,330","6,265","3,987","3,880","4,841","6,324","3,357","5,532","5,525","2,910","3,766","3,500","5,283","3,792","3,344","2,923"
2021년09월_계_50~59세,"87,054","3,446","4,547","4,729","5,689","6,009","4,946","3,864","4,555","4,580","3,586","5,653","6,890","3,870","4,688","4,459","5,677","3,052","3,559","3,255"
2021년09월_계_60~69세,"70,330","3,150","4,491","4,725","5,585","4,658","3,707","2,669","2,306","2,180","2,667","4,950","6,154","2,978","4,462","3,811","4,156","2,339","2,866","2,476"
2021년09월_계_70~79세,"37,224","1,911","2,519","2,586","2,794","2,239","1,835","1,362","1,040",951,"1,880","3,278","2,899","1,403","2,714","2,250","1,994","1,176","1,357","1,036"
2021년09월_계_80~89세,"17,214",768,"1,075","1,175","1,081",986,980,707,555,518,800,"1,660","1,290",604,"1,241",981,"1,030",558,675,530
2021년09월_계_90~99세,"2,532",105,181,144,163,139,132,103,68,71,130,221,195,95,136,156,197,87,121,88
2021년09월_계_100세 이상,129,10,7,6,5,5,5,1,4,6,5,9,11,6,24,9,7,4,4,1
