카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020년10월_계_총인구수,"20,478","1,157","1,001","5,251","1,262",239,"1,920","6,288",937,379,"2,044"
2020년10월_계_연령구간인구수,"20,478","1,157","1,001","5,251","1,262",239,"1,920","6,288",937,379,"2,044"
2020년10월_계_0~9세,961,35,30,368,60,2,45,295,22,13,91
2020년10월_계_10~19세,"1,121",47,30,302,64,6,89,411,33,14,125
2020년10월_계_20~29세,"2,709",87,57,"1,059",201,45,136,548,81,25,470
2020년10월_계_30~39세,"1,904",75,56,628,123,20,97,612,41,21,231
2020년10월_계_40~49세,"2,444",114,122,672,122,17,178,821,94,37,267
2020년10월_계_50~59세,"3,618",210,206,715,233,29,368,"1,271",193,76,317
2020년10월_계_60~69세,"3,957",324,269,754,220,48,462,"1,270",224,87,299
2020년10월_계_70~79세,"2,379",162,155,432,162,54,336,722,152,63,141
2020년10월_계_80~89세,"1,129",83,55,251,68,15,171,285,83,34,84
2020년10월_계_90~99세,243,18,19,67,9,3,37,49,13,9,19
2020년10월_계_100세 이상,13,2,2,3,0,0,1,4,1,0,0
2020년10월_남_총인구수,"11,666",609,530,"3,109",736,153,"1,035","3,495",505,199,"1,295"
2020년10월_남_연령구간인구수,"11,666",609,530,"3,109",736,153,"1,035","3,495",505,199,"1,295"
2020년10월_남_0~9세,502,17,16,194,32,0,18,162,14,8,41
2020년10월_남_10~19세,603,22,19,140,34,5,46,238,17,6,76
2020년10월_남_20~29세,"1,982",49,31,838,148,39,83,359,47,12,376
2020년10월_남_30~39세,"1,184",41,31,381,79,17,60,377,27,14,157
2020년10월_남_40~49세,"1,540",64,78,440,85,14,110,484,61,21,183
2020년10월_남_50~59세,"2,084",123,119,403,126,20,231,699,119,48,196
2020년10월_남_60~69세,"2,129",174,137,402,129,28,261,682,116,43,157
2020년10월_남_70~79세,"1,175",84,82,208,67,24,154,378,70,38,70
2020년10월_남_80~89세,414,30,16,86,33,6,63,106,32,8,34
2020년10월_남_90~99세,49,4,0,16,3,0,9,9,2,1,5
2020년10월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2020년10월_여_총인구수,"8,812",548,471,"2,142",526,86,885,"2,793",432,180,749
2020년10월_여_연령구간인구수,"8,812",548,471,"2,142",526,86,885,"2,793",432,180,749
2020년10월_여_0~9세,459,18,14,174,28,2,27,133,8,5,50
2020년10월_여_10~19세,518,25,11,162,30,1,43,173,16,8,49
2020년10월_여_20~29세,727,38,26,221,53,6,53,189,34,13,94
2020년10월_여_30~39세,720,34,25,247,44,3,37,235,14,7,74
2020년10월_여_40~49세,904,50,44,232,37,3,68,337,33,16,84
2020년10월_여_50~59세,"1,534",87,87,312,107,9,137,572,74,28,121
2020년10월_여_60~69세,"1,828",150,132,352,91,20,201,588,108,44,142
2020년10월_여_70~79세,"1,204",78,73,224,95,30,182,344,82,25,71
2020년10월_여_80~89세,715,53,39,165,35,9,108,179,51,26,50
2020년10월_여_90~99세,194,14,19,51,6,3,28,40,11,8,14
2020년10월_여_100세 이상,9,1,1,2,0,0,1,3,1,0,0
