,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021년07월_계_총인구수,"40,666","2,669","2,725","6,344","10,634","4,537",995,944,"4,687","7,131"
2021년07월_계_연령구간인구수,"40,666","2,669","2,725","6,344","10,634","4,537",995,944,"4,687","7,131"
2021년07월_계_0~9세,"1,197",28,70,181,350,102,19,15,170,262
2021년07월_계_10~19세,"1,949",71,101,368,551,197,34,31,189,407
2021년07월_계_20~29세,"5,736",717,306,923,"1,518",557,101,59,810,745
2021년07월_계_30~39세,"4,484",515,232,660,"1,123",476,98,79,665,636
2021년07월_계_40~49세,"5,212",317,320,866,"1,405",547,106,96,655,900
2021년07월_계_50~59세,"6,823",361,486,"1,064","1,803",768,180,203,690,"1,268"
2021년07월_계_60~69세,"7,872",371,563,"1,157","2,035","1,009",246,265,779,"1,447"
2021년07월_계_70~79세,"4,950",191,421,763,"1,230",591,129,143,482,"1,000"
2021년07월_계_80~89세,"2,099",81,192,294,545,244,65,45,219,414
2021년07월_계_90~99세,326,16,33,65,71,42,13,7,28,51
2021년07월_계_100세 이상,18,1,1,3,3,4,4,1,0,1
2021년07월_남_총인구수,"19,862","1,278","1,385","2,975","5,159","2,141",513,534,"2,413","3,464"
2021년07월_남_연령구간인구수,"19,862","1,278","1,385","2,975","5,159","2,141",513,534,"2,413","3,464"
2021년07월_남_0~9세,628,16,33,95,174,59,12,9,93,137
2021년07월_남_10~19세,971,39,48,168,278,104,17,15,93,209
2021년07월_남_20~29세,"2,809",283,165,445,750,273,55,34,406,398
2021년07월_남_30~39세,"2,440",245,132,344,607,263,56,45,394,354
2021년07월_남_40~49세,"2,868",175,189,461,771,291,52,62,389,478
2021년07월_남_50~59세,"3,441",194,249,500,892,374,98,136,365,633
2021년07월_남_60~69세,"3,724",196,282,546,942,436,132,149,374,667
2021년07월_남_70~79세,"2,140",95,201,298,519,258,61,70,220,418
2021년07월_남_80~89세,759,34,79,107,204,76,23,10,71,155
2021년07월_남_90~99세,78,1,7,10,21,7,5,4,8,15
2021년07월_남_100세 이상,4,0,0,1,1,0,2,0,0,0
2021년07월_여_총인구수,"20,804","1,391","1,340","3,369","5,475","2,396",482,410,"2,274","3,667"
2021년07월_여_연령구간인구수,"20,804","1,391","1,340","3,369","5,475","2,396",482,410,"2,274","3,667"
2021년07월_여_0~9세,569,12,37,86,176,43,7,6,77,125
2021년07월_여_10~19세,978,32,53,200,273,93,17,16,96,198
2021년07월_여_20~29세,"2,927",434,141,478,768,284,46,25,404,347
2021년07월_여_30~39세,"2,044",270,100,316,516,213,42,34,271,282
2021년07월_여_40~49세,"2,344",142,131,405,634,256,54,34,266,422
2021년07월_여_50~59세,"3,382",167,237,564,911,394,82,67,325,635
2021년07월_여_60~69세,"4,148",175,281,611,"1,093",573,114,116,405,780
2021년07월_여_70~79세,"2,810",96,220,465,711,333,68,73,262,582
2021년07월_여_80~89세,"1,340",47,113,187,341,168,42,35,148,259
2021년07월_여_90~99세,248,15,26,55,50,35,8,3,20,36
2021년07월_여_100세 이상,14,1,1,2,2,4,2,1,0,1
