,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021년12월_계_총인구수,"40,996","8,444","1,650",852,"1,684","5,177","5,712","3,050","8,546","5,881"
2021년12월_계_연령구간인구수,"40,996","8,444","1,650",852,"1,684","5,177","5,712","3,050","8,546","5,881"
2021년12월_계_0~9세,"1,715",393,32,20,52,202,259,101,380,276
2021년12월_계_10~19세,"2,724",698,69,35,68,311,415,183,603,342
2021년12월_계_20~29세,"3,240",750,103,48,81,371,392,202,724,569
2021년12월_계_30~39세,"2,824",631,61,36,83,295,420,148,543,607
2021년12월_계_40~49세,"5,053","1,047",161,65,143,597,755,355,"1,063",867
2021년12월_계_50~59세,"7,802","1,553",351,158,339,965,"1,119",657,"1,579","1,081"
2021년12월_계_60~69세,"9,485","1,795",463,256,525,"1,273","1,347",761,"1,913","1,152"
2021년12월_계_70~79세,"4,877",918,251,138,244,654,614,358,"1,066",634
2021년12월_계_80~89세,"2,877",572,132,86,124,446,352,259,588,318
2021년12월_계_90~99세,382,83,26,10,24,61,36,26,83,33
2021년12월_계_100세 이상,17,4,1,0,1,2,3,0,4,2
2021년12월_남_총인구수,"21,091","4,302",866,445,877,"2,641","3,004","1,537","4,294","3,125"
2021년12월_남_연령구간인구수,"21,091","4,302",866,445,877,"2,641","3,004","1,537","4,294","3,125"
2021년12월_남_0~9세,850,196,15,15,25,89,118,50,207,135
2021년12월_남_10~19세,"1,445",354,37,18,34,160,230,99,309,204
2021년12월_남_20~29세,"1,920",431,64,29,40,224,232,122,426,352
2021년12월_남_30~39세,"1,532",340,36,20,45,158,229,70,273,361
2021년12월_남_40~49세,"2,775",555,99,37,77,337,414,192,558,506
2021년12월_남_50~59세,"4,192",822,200,78,183,520,611,349,835,594
2021년12월_남_60~69세,"4,961",935,252,144,292,676,716,395,979,572
2021년12월_남_70~79세,"2,301",449,122,62,131,303,311,162,485,276
2021년12월_남_80~89세,"1,040",203,39,41,47,161,134,90,210,115
2021년12월_남_90~99세,73,16,2,1,3,13,9,8,11,10
2021년12월_남_100세 이상,2,1,0,0,0,0,0,0,1,0
2021년12월_여_총인구수,"19,905","4,142",784,407,807,"2,536","2,708","1,513","4,252","2,756"
2021년12월_여_연령구간인구수,"19,905","4,142",784,407,807,"2,536","2,708","1,513","4,252","2,756"
2021년12월_여_0~9세,865,197,17,5,27,113,141,51,173,141
2021년12월_여_10~19세,"1,279",344,32,17,34,151,185,84,294,138
2021년12월_여_20~29세,"1,320",319,39,19,41,147,160,80,298,217
2021년12월_여_30~39세,"1,292",291,25,16,38,137,191,78,270,246
2021년12월_여_40~49세,"2,278",492,62,28,66,260,341,163,505,361
2021년12월_여_50~59세,"3,610",731,151,80,156,445,508,308,744,487
2021년12월_여_60~69세,"4,524",860,211,112,233,597,631,366,934,580
2021년12월_여_70~79세,"2,576",469,129,76,113,351,303,196,581,358
2021년12월_여_80~89세,"1,837",369,93,45,77,285,218,169,378,203
2021년12월_여_90~99세,309,67,24,9,21,48,27,18,72,23
2021년12월_여_100세 이상,15,3,1,0,1,2,3,0,3,2
