카테고리,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2020년06월_계_총인구수,"352,201","18,032","8,730","3,776","25,603","2,279","2,194","8,768","7,269","3,620","2,816","5,225","12,973","8,852","15,840","42,975","8,795","5,001","27,769","13,713","10,109","25,202","8,412","7,558","33,139","43,551"
2020년06월_계_연령구간인구수,"352,201","18,032","8,730","3,776","25,603","2,279","2,194","8,768","7,269","3,620","2,816","5,225","12,973","8,852","15,840","42,975","8,795","5,001","27,769","13,713","10,109","25,202","8,412","7,558","33,139","43,551"
2020년06월_계_0~9세,"28,703","1,241",396,115,"4,293",44,52,436,426,59,59,229,740,412,795,"3,404",403,180,"2,000","1,098",843,"1,885",302,496,"3,423","5,372"
2020년06월_계_10~19세,"36,252","1,718",549,164,"2,127",94,73,633,682,126,111,374,"1,333",811,"1,770","5,253",676,310,"2,451","1,272","1,168","2,774",735,878,"4,380","5,790"
2020년06월_계_20~29세,"45,222","2,115","1,024",334,"2,755",134,141,"1,486",965,226,190,760,"1,687","1,257","2,175","6,278","1,679",605,"4,337","1,962","1,064","3,021",976,926,"4,070","5,055"
2020년06월_계_30~39세,"45,415","1,964",726,251,"6,372",93,131,837,847,172,214,530,"1,263",797,"1,432","5,384",919,441,"3,896","1,693","1,139","2,907",692,671,"4,571","7,473"
2020년06월_계_40~49세,"57,451","2,976","1,026",345,"4,237",181,172,"1,193","1,180",307,294,652,"1,789","1,192","2,480","7,901","1,071",630,"4,072","2,139","1,768","4,279","1,112","1,209","6,467","8,779"
2020년06월_계_50~59세,"60,360","3,295","1,752",756,"2,807",407,477,"1,552","1,410",782,619,"1,016","2,476","1,801","3,146","7,396","1,468",977,"5,260","2,341","1,693","4,604","1,646","1,463","5,129","6,087"
2020년06월_계_60~69세,"43,651","2,434","1,765",878,"1,840",612,560,"1,448",989,993,639,868,"1,920","1,372","2,238","4,193","1,328",954,"3,552","1,783","1,320","3,191","1,485","1,052","3,202","3,035"
2020년06월_계_70~79세,"21,586","1,418",882,489,697,409,341,703,476,569,372,481,"1,110",771,"1,054","2,048",766,545,"1,350",916,720,"1,579",873,505,"1,248","1,264"
2020년06월_계_80~89세,"11,702",754,528,401,403,264,206,425,253,337,260,280,570,382,653,976,405,304,725,438,357,852,505,292,536,596
2020년06월_계_90~99세,"1,754",112,78,43,69,39,38,53,41,49,53,31,80,53,94,134,73,52,116,67,34,107,77,60,107,94
2020년06월_계_100세 이상,105,5,4,0,3,2,3,2,0,0,5,4,5,4,3,8,7,3,10,4,3,3,9,6,6,6
2020년06월_남_총인구수,"174,812","9,201","4,568","1,981","12,646","1,166","1,117","4,631","3,810","1,861","1,501","2,516","6,220","4,277","7,663","21,154","4,313","2,489","13,489","7,177","5,091","12,550","4,144","3,721","16,297","21,229"
2020년06월_남_연령구간인구수,"174,812","9,201","4,568","1,981","12,646","1,166","1,117","4,631","3,810","1,861","1,501","2,516","6,220","4,277","7,663","21,154","4,313","2,489","13,489","7,177","5,091","12,550","4,144","3,721","16,297","21,229"
2020년06월_남_0~9세,"14,633",626,208,68,"2,135",18,27,221,220,31,34,116,358,198,372,"1,755",215,99,"1,055",564,455,985,140,262,"1,766","2,705"
2020년06월_남_10~19세,"18,816",869,283,92,"1,060",43,34,339,364,73,63,199,732,400,894,"2,736",382,167,"1,268",704,614,"1,439",404,439,"2,338","2,880"
2020년06월_남_20~29세,"24,030","1,208",612,196,"1,339",81,74,836,532,129,103,397,868,695,"1,162","3,409",812,338,"2,230","1,100",570,"1,613",533,509,"2,190","2,494"
2020년06월_남_30~39세,"23,029","1,047",408,142,"3,202",53,90,467,489,106,110,264,630,409,730,"2,714",511,238,"2,045",893,561,"1,503",417,333,"2,173","3,494"
2020년06월_남_40~49세,"28,366","1,553",557,206,"2,209",121,95,666,599,185,189,335,832,553,"1,187","3,730",539,351,"1,872","1,130",903,"2,150",566,563,"3,057","4,218"
2020년06월_남_50~59세,"30,365","1,743",942,424,"1,326",225,258,827,771,404,376,492,"1,207",868,"1,566","3,656",706,496,"2,425","1,252",891,"2,329",814,722,"2,475","3,170"
2020년06월_남_60~69세,"21,593","1,244",931,470,920,322,298,782,520,519,363,405,883,660,"1,085","1,995",616,451,"1,706",935,659,"1,545",725,535,"1,547","1,477"
2020년06월_남_70~79세,"9,503",627,422,234,314,200,151,325,233,268,160,199,493,336,449,808,345,216,610,407,299,676,360,239,565,567
2020년06월_남_80~89세,"4,056",254,187,140,127,92,83,154,77,129,87,96,200,143,200,315,162,123,253,176,130,286,165,105,170,202
2020년06월_남_90~99세,398,30,16,9,14,11,6,13,5,17,16,11,17,13,17,33,23,10,24,15,9,23,17,13,15,21
2020년06월_남_100세 이상,23,0,2,0,0,0,1,1,0,0,0,2,0,2,1,3,2,0,1,1,0,1,3,1,1,1
2020년06월_여_총인구수,"177,389","8,831","4,162","1,795","12,957","1,113","1,077","4,137","3,459","1,759","1,315","2,709","6,753","4,575","8,177","21,821","4,482","2,512","14,280","6,536","5,018","12,652","4,268","3,837","16,842","22,322"
2020년06월_여_연령구간인구수,"177,389","8,831","4,162","1,795","12,957","1,113","1,077","4,137","3,459","1,759","1,315","2,709","6,753","4,575","8,177","21,821","4,482","2,512","14,280","6,536","5,018","12,652","4,268","3,837","16,842","22,322"
2020년06월_여_0~9세,"14,070",615,188,47,"2,158",26,25,215,206,28,25,113,382,214,423,"1,649",188,81,945,534,388,900,162,234,"1,657","2,667"
2020년06월_여_10~19세,"17,436",849,266,72,"1,067",51,39,294,318,53,48,175,601,411,876,"2,517",294,143,"1,183",568,554,"1,335",331,439,"2,042","2,910"
2020년06월_여_20~29세,"21,192",907,412,138,"1,416",53,67,650,433,97,87,363,819,562,"1,013","2,869",867,267,"2,107",862,494,"1,408",443,417,"1,880","2,561"
2020년06월_여_30~39세,"22,386",917,318,109,"3,170",40,41,370,358,66,104,266,633,388,702,"2,670",408,203,"1,851",800,578,"1,404",275,338,"2,398","3,979"
2020년06월_여_40~49세,"29,085","1,423",469,139,"2,028",60,77,527,581,122,105,317,957,639,"1,293","4,171",532,279,"2,200","1,009",865,"2,129",546,646,"3,410","4,561"
2020년06월_여_50~59세,"29,995","1,552",810,332,"1,481",182,219,725,639,378,243,524,"1,269",933,"1,580","3,740",762,481,"2,835","1,089",802,"2,275",832,741,"2,654","2,917"
