,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2021년12월_계_총인구수,"337,400","31,619","24,617","29,198","18,557","28,991","28,334","38,241","32,484","18,813","10,498","13,927","24,115","18,019","19,987"
2021년12월_계_연령구간인구수,"337,400","31,619","24,617","29,198","18,557","28,991","28,334","38,241","32,484","18,813","10,498","13,927","24,115","18,019","19,987"
2021년12월_계_0~9세,"19,590","1,299",972,"1,779","1,150","2,654","1,785","2,339","2,732",707,393,803,"1,134",667,"1,176"
2021년12월_계_10~19세,"22,767","1,403","1,338","1,814","1,670","1,971","1,861","2,599","2,774","1,031",666,760,"1,990","1,166","1,724"
2021년12월_계_20~29세,"56,271","6,230","4,460","4,466","2,190","4,108","3,518","5,293","3,800","2,181","3,375","3,611","5,486","4,791","2,762"
2021년12월_계_30~39세,"49,023","5,646","3,221","4,099","2,168","5,169","4,340","6,196","4,881","2,078","1,493","2,196","2,932","2,174","2,430"
2021년12월_계_40~49세,"49,002","4,242","2,953","4,184","2,919","4,766","4,069","6,215","5,723","2,316","1,260","1,694","3,379","2,239","3,043"
2021년12월_계_50~59세,"52,243","4,655","3,785","4,820","3,207","4,237","4,780","5,946","4,942","3,217","1,214","1,923","3,541","2,608","3,368"
2021년12월_계_60~69세,"47,532","4,352","3,943","4,301","2,824","3,432","4,355","5,590","4,418","3,809","1,007","1,531","3,005","2,155","2,810"
2021년12월_계_70~79세,"27,290","2,482","2,579","2,477","1,553","1,732","2,422","2,878","2,268","2,282",657,925,"1,795","1,411","1,829"
2021년12월_계_80~89세,"12,143","1,174","1,216","1,121",785,814,"1,078","1,049",823,"1,049",380,424,756,724,750
2021년12월_계_90~99세,"1,470",129,142,130,88,99,124,129,112,141,51,57,95,81,92
2021년12월_계_100세 이상,69,7,8,7,3,9,2,7,11,2,2,3,2,3,3
2021년12월_남_총인구수,"166,646","15,897","12,612","14,627","8,935","13,984","13,781","18,930","16,210","9,343","5,000","6,633","12,043","8,993","9,658"
2021년12월_남_연령구간인구수,"166,646","15,897","12,612","14,627","8,935","13,984","13,781","18,930","16,210","9,343","5,000","6,633","12,043","8,993","9,658"
2021년12월_남_0~9세,"10,032",655,496,922,580,"1,344",888,"1,218","1,414",356,199,402,603,349,606
2021년12월_남_10~19세,"11,567",727,706,903,820,"1,011",925,"1,314","1,502",548,312,370,955,604,870
2021년12월_남_20~29세,"27,506","2,849","2,397","2,257","1,119","1,870","1,783","2,489","1,933","1,148","1,559","1,541","2,912","2,349","1,300"
2021년12월_남_30~39세,"25,196","2,908","1,783","2,073","1,112","2,433","2,211","3,170","2,445","1,120",799,"1,137","1,573","1,226","1,206"
2021년12월_남_40~49세,"25,265","2,309","1,622","2,239","1,406","2,456","2,053","3,229","2,911","1,208",625,876,"1,666","1,152","1,513"
2021년12월_남_50~59세,"26,491","2,536","1,995","2,486","1,568","2,080","2,355","2,961","2,474","1,632",616,945,"1,791","1,348","1,704"
2021년12월_남_60~69세,"23,043","2,245","1,928","2,153","1,295","1,685","2,043","2,687","2,116","1,888",459,758,"1,429","1,027","1,330"
2021년12월_남_70~79세,"12,323","1,145","1,165","1,124",667,776,"1,090","1,399","1,066","1,007",279,398,796,612,799
2021년12월_남_80~89세,"4,816",485,478,443,337,300,407,423,319,400,139,192,284,301,308
2021년12월_남_90~99세,388,36,40,27,30,28,25,40,25,36,11,13,34,24,19
2021년12월_남_100세 이상,19,2,2,0,1,1,1,0,5,0,2,1,0,1,3
2021년12월_여_총인구수,"170,754","15,722","12,005","14,571","9,622","15,007","14,553","19,311","16,274","9,470","5,498","7,294","12,072","9,026","10,329"
2021년12월_여_연령구간인구수,"170,754","15,722","12,005","14,571","9,622","15,007","14,553","19,311","16,274","9,470","5,498","7,294","12,072","9,026","10,329"
2021년12월_여_0~9세,"9,558",644,476,857,570,"1,310",897,"1,121","1,318",351,194,401,531,318,570
2021년12월_여_10~19세,"11,200",676,632,911,850,960,936,"1,285","1,272",483,354,390,"1,035",562,854
2021년12월_여_20~29세,"28,765","3,381","2,063","2,209","1,071","2,238","1,735","2,804","1,867","1,033","1,816","2,070","2,574","2,442","1,462"
2021년12월_여_30~39세,"23,827","2,738","1,438","2,026","1,056","2,736","2,129","3,026","2,436",958,694,"1,059","1,359",948,"1,224"
2021년12월_여_40~49세,"23,737","1,933","1,331","1,945","1,513","2,310","2,016","2,986","2,812","1,108",635,818,"1,713","1,087","1,530"
2021년12월_여_50~59세,"25,752","2,119","1,790","2,334","1,639","2,157","2,425","2,985","2,468","1,585",598,978,"1,750","1,260","1,664"
2021년12월_여_60~69세,"24,489","2,107","2,015","2,148","1,529","1,747","2,312","2,903","2,302","1,921",548,773,"1,576","1,128","1,480"
2021년12월_여_70~79세,"14,967","1,337","1,414","1,353",886,956,"1,332","1,479","1,202","1,275",378,527,999,799,"1,030"
2021년12월_여_80~89세,"7,327",689,738,678,448,514,671,626,504,649,241,232,472,423,442
2021년12월_여_90~99세,"1,082",93,102,103,58,71,99,89,87,105,40,44,61,57,73
2021년12월_여_100세 이상,50,5,6,7,2,8,1,7,6,2,0,2,2,2,0
