카테고리,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020년10월_계_총인구수,"343,819","31,089","25,029","30,176","19,240","29,150","29,440","38,675","33,052","20,499","10,424","13,656","24,389","18,478","20,522"
2020년10월_계_연령구간인구수,"343,819","31,089","25,029","30,176","19,240","29,150","29,440","38,675","33,052","20,499","10,424","13,656","24,389","18,478","20,522"
2020년10월_계_0~9세,"21,010","1,301","1,035","1,895","1,259","2,734","1,859","2,581","2,944",835,449,801,"1,286",723,"1,308"
2020년10월_계_10~19세,"23,960","1,442","1,405","1,950","1,742","1,996","2,022","2,641","2,842","1,156",724,789,"2,099","1,316","1,836"
2020년10월_계_20~29세,"56,383","6,058","4,441","4,662","2,377","4,040","3,934","5,278","3,876","2,432","3,161","3,234","5,314","4,717","2,859"
2020년10월_계_30~39세,"50,297","5,307","3,266","4,386","2,342","5,322","4,474","6,343","5,185","2,331","1,446","2,176","3,040","2,148","2,531"
2020년10월_계_40~49세,"51,005","4,259","3,164","4,350","3,075","4,703","4,340","6,416","5,775","2,644","1,333","1,715","3,553","2,454","3,224"
2020년10월_계_50~59세,"53,465","4,700","3,864","4,920","3,284","4,321","4,979","6,080","4,971","3,624","1,221","1,959","3,535","2,602","3,405"
2020년10월_계_60~69세,"46,221","4,108","3,914","4,195","2,703","3,237","4,210","5,382","4,298","3,819",978,"1,537","2,927","2,170","2,743"
2020년10월_계_70~79세,"28,170","2,598","2,618","2,540","1,625","1,861","2,494","2,859","2,271","2,466",704,967,"1,826","1,531","1,810"
2020년10월_계_80~89세,"11,423","1,133","1,146","1,092",748,798,987,919,764,"1,019",336,407,688,689,697
2020년10월_계_90~99세,"1,577",158,149,142,74,107,120,149,109,145,60,61,109,93,101
2020년10월_계_100세 이상,308,25,27,44,11,31,21,27,17,28,12,10,12,35,8
2020년10월_남_총인구수,"170,320","15,779","12,855","15,143","9,260","14,126","14,305","19,202","16,554","10,252","4,971","6,606","12,119","9,186","9,962"
2020년10월_남_연령구간인구수,"170,320","15,779","12,855","15,143","9,260","14,126","14,305","19,202","16,554","10,252","4,971","6,606","12,119","9,186","9,962"
2020년10월_남_0~9세,"10,767",673,543,976,640,"1,384",941,"1,312","1,533",423,241,414,670,356,661
2020년10월_남_10~19세,"12,130",759,724,981,859,"1,033","1,002","1,351","1,520",608,335,391,985,665,917
2020년10월_남_20~29세,"28,109","2,912","2,429","2,375","1,201","1,886","1,963","2,519","2,026","1,288","1,490","1,428","2,851","2,362","1,379"
2020년10월_남_30~39세,"25,945","2,763","1,820","2,271","1,171","2,531","2,276","3,253","2,592","1,263",759,"1,132","1,618","1,219","1,277"
2020년10월_남_40~49세,"26,349","2,332","1,736","2,275","1,487","2,423","2,212","3,361","2,957","1,396",656,885,"1,758","1,256","1,615"
2020년10월_남_50~59세,"26,880","2,509","2,028","2,515","1,603","2,112","2,411","2,997","2,487","1,845",618,979,"1,737","1,342","1,697"
2020년10월_남_60~69세,"22,326","2,092","1,889","2,115","1,263","1,575","1,986","2,606","2,056","1,884",430,752,"1,367","1,004","1,307"
2020년10월_남_70~79세,"12,745","1,214","1,188","1,148",683,848,"1,122","1,380","1,052","1,108",294,425,830,656,797
2020년10월_남_80~89세,"4,519",465,447,432,324,295,360,370,300,388,128,176,256,294,284
2020년10월_남_90~99세,457,53,44,41,24,28,22,45,26,45,18,18,42,25,26
2020년10월_남_100세 이상,93,7,7,14,5,11,10,8,5,4,2,6,5,7,2
2020년10월_여_총인구수,"173,499","15,310","12,174","15,033","9,980","15,024","15,135","19,473","16,498","10,247","5,453","7,050","12,270","9,292","10,560"
2020년10월_여_연령구간인구수,"173,499","15,310","12,174","15,033","9,980","15,024","15,135","19,473","16,498","10,247","5,453","7,050","12,270","9,292","10,560"
2020년10월_여_0~9세,"10,243",628,492,919,619,"1,350",918,"1,269","1,411",412,208,387,616,367,647
2020년10월_여_10~19세,"11,830",683,681,969,883,963,"1,020","1,290","1,322",548,389,398,"1,114",651,919
2020년10월_여_20~29세,"28,274","3,146","2,012","2,287","1,176","2,154","1,971","2,759","1,850","1,144","1,671","1,806","2,463","2,355","1,480"
2020년10월_여_30~39세,"24,352","2,544","1,446","2,115","1,171","2,791","2,198","3,090","2,593","1,068",687,"1,044","1,422",929,"1,254"
2020년10월_여_40~49세,"24,656","1,927","1,428","2,075","1,588","2,280","2,128","3,055","2,818","1,248",677,830,"1,795","1,198","1,609"
2020년10월_여_50~59세,"26,585","2,191","1,836","2,405","1,681","2,209","2,568","3,083","2,484","1,779",603,980,"1,798","1,260","1,708"
2020년10월_여_60~69세,"23,895","2,016","2,025","2,080","1,440","1,662","2,224","2,776","2,242","1,935",548,785,"1,560","1,166","1,436"
2020년10월_여_70~79세,"15,425","1,384","1,430","1,392",942,"1,013","1,372","1,479","1,219","1,358",410,542,996,875,"1,013"
2020년10월_여_80~89세,"6,904",668,699,660,424,503,627,549,464,631,208,231,432,395,413
2020년10월_여_90~99세,"1,120",105,105,101,50,79,98,104,83,100,42,43,67,68,75
2020년10월_여_100세 이상,215,18,20,30,6,20,11,19,12,24,10,4,7,28,6
