카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 오천면원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2020년02월_계_총인구수,"100,836","6,408","1,654","2,224","1,656","1,158","3,652","2,680","3,980","5,240","2,491","1,803","2,345","5,388","14,951","7,108","16,851","14,599","6,648"
2020년02월_계_연령구간인구수,"100,836","6,408","1,654","2,224","1,656","1,158","3,652","2,680","3,980","5,240","2,491","1,803","2,345","5,388","14,951","7,108","16,851","14,599","6,648"
2020년02월_계_0~9세,"6,452",158,44,48,58,30,130,75,131,152,58,53,80,197,"1,201",544,"1,772","1,434",287
2020년02월_계_10~19세,"8,552",348,101,128,99,71,192,113,229,279,101,65,127,365,"1,570",661,"2,001","1,684",418
2020년02월_계_20~29세,"9,743",475,185,136,140,67,244,150,276,407,118,115,185,495,"1,739",785,"2,018","1,660",548
2020년02월_계_30~39세,"9,919",396,90,144,142,71,232,153,236,324,127,93,177,434,"1,710",793,"2,430","1,762",605
2020년02월_계_40~49세,"14,225",658,181,268,227,122,381,234,386,497,213,150,256,712,"2,403","1,160","3,019","2,556",802
2020년02월_계_50~59세,"17,516","1,176",284,422,330,229,647,435,710,"1,010",368,290,479,"1,015","2,557","1,192","2,638","2,406","1,328"
2020년02월_계_60~69세,"16,362","1,470",370,493,348,248,786,575,866,"1,129",545,403,496,"1,012","1,991",938,"1,678","1,658","1,356"
2020년02월_계_70~79세,"10,995","1,023",247,335,177,178,576,523,656,820,534,366,357,709,"1,183",665,858,937,851
2020년02월_계_80~89세,"6,146",599,127,211,120,124,418,367,434,516,369,228,163,392,528,333,388,431,398
2020년02월_계_90~99세,871,102,25,39,14,17,45,55,52,98,57,39,20,55,61,33,45,60,54
2020년02월_계_100세 이상,55,3,0,0,1,1,1,0,4,8,1,1,5,2,8,4,4,11,1
2020년02월_남_총인구수,"51,024","3,258",865,"1,167",890,622,"1,888","1,322","2,007","2,649","1,214",926,"1,169","2,821","7,525","3,564","8,460","7,221","3,456"
2020년02월_남_연령구간인구수,"51,024","3,258",865,"1,167",890,622,"1,888","1,322","2,007","2,649","1,214",926,"1,169","2,821","7,525","3,564","8,460","7,221","3,456"
2020년02월_남_0~9세,"3,243",79,19,17,29,14,59,43,72,85,41,28,47,102,618,254,882,714,140
2020년02월_남_10~19세,"4,441",180,50,66,56,43,108,70,119,139,50,38,68,186,793,344,"1,034",882,215
2020년02월_남_20~29세,"5,650",298,134,76,88,41,147,82,156,238,69,69,104,312,"1,001",443,"1,143",914,335
2020년02월_남_30~39세,"5,390",244,48,91,82,50,145,93,142,192,73,55,98,262,918,430,"1,213",889,365
2020년02월_남_40~49세,"7,792",387,112,171,150,82,229,136,236,278,130,109,156,428,"1,235",609,"1,565","1,278",501
2020년02월_남_50~59세,"9,270",642,160,263,180,140,364,250,379,568,198,155,265,552,"1,268",627,"1,327","1,227",705
2020년02월_남_60~69세,"7,986",728,192,236,182,125,398,280,445,579,271,214,223,491,956,435,799,772,660
2020년02월_남_70~79세,"4,887",468,108,161,79,81,283,234,296,368,231,170,152,339,522,281,361,392,361
2020년02월_남_80~89세,"2,163",206,38,77,41,43,150,121,153,175,135,80,51,138,195,134,127,139,160
2020년02월_남_90~99세,191,24,4,9,3,3,5,13,9,25,16,8,5,11,17,6,8,11,14
2020년02월_남_100세 이상,11,2,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,3,0
2020년02월_여_총인구수,"49,812","3,150",789,"1,057",766,536,"1,764","1,358","1,973","2,591","1,277",877,"1,176","2,567","7,426","3,544","8,391","7,378","3,192"
2020년02월_여_연령구간인구수,"49,812","3,150",789,"1,057",766,536,"1,764","1,358","1,973","2,591","1,277",877,"1,176","2,567","7,426","3,544","8,391","7,378","3,192"
2020년02월_여_0~9세,"3,209",79,25,31,29,16,71,32,59,67,17,25,33,95,583,290,890,720,147
2020년02월_여_10~19세,"4,111",168,51,62,43,28,84,43,110,140,51,27,59,179,777,317,967,802,203
2020년02월_여_20~29세,"4,093",177,51,60,52,26,97,68,120,169,49,46,81,183,738,342,875,746,213
2020년02월_여_30~39세,"4,529",152,42,53,60,21,87,60,94,132,54,38,79,172,792,363,"1,217",873,240
2020년02월_여_40~49세,"6,433",271,69,97,77,40,152,98,150,219,83,41,100,284,"1,168",551,"1,454","1,278",301
2020년02월_여_50~59세,"8,246",534,124,159,150,89,283,185,331,442,170,135,214,463,"1,289",565,"1,311","1,179",623
2020년02월_여_60~69세,"8,376",742,178,257,166,123,388,295,421,550,274,189,273,521,"1,035",503,879,886,696
2020년02월_여_70~79세,"6,108",555,139,174,98,97,293,289,360,452,303,196,205,370,661,384,497,545,490
2020년02월_여_80~89세,"3,983",393,89,134,79,81,268,246,281,341,234,148,112,254,333,199,261,292,238
2020년02월_여_90~99세,680,78,21,30,11,14,40,42,43,73,41,31,15,44,44,27,37,49,40
2020년02월_여_100세 이상,44,1,0,0,1,1,1,0,4,6,1,1,5,2,6,3,3,8,1
