,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2021년09월_계_총인구수,"267,425","32,672","9,668","24,875","19,881","14,776","38,624","10,654","27,604","17,527","14,686","27,302","14,235","14,921"
2021년09월_계_연령구간인구수,"267,425","32,672","9,668","24,875","19,881","14,776","38,624","10,654","27,604","17,527","14,686","27,302","14,235","14,921"
2021년09월_계_0~9세,"18,835","2,539",320,"2,543","1,020",799,"2,511",788,"2,502","1,474",783,"1,774",966,816
2021년09월_계_10~19세,"24,602","2,786",596,"3,298","1,121","1,395","2,822",995,"4,011","1,825",943,"2,782","1,025","1,003"
2021년09월_계_20~29세,"31,650","3,802","1,025","2,451","3,204","1,690","5,342","1,244","3,078","1,806","1,642","3,059","1,548","1,759"
2021년09월_계_30~39세,"31,890","4,208",833,"2,915","3,323","1,341","5,213","1,316","2,636","1,884","1,670","3,004","1,692","1,855"
2021년09월_계_40~49세,"42,462","5,044","1,177","5,052","3,038","2,057","5,586","1,750","5,522","3,195","1,970","4,253","1,933","1,885"
2021년09월_계_50~59세,"43,490","5,252","1,694","3,650","3,036","2,432","6,533","1,652","4,564","2,589","2,483","4,676","2,396","2,533"
2021년09월_계_60~69세,"41,920","5,100","2,017","2,736","2,699","2,610","6,140","1,520","3,289","2,575","2,897","4,584","2,668","3,085"
2021년09월_계_70~79세,"22,672","2,730","1,311","1,519","1,636","1,589","3,175",919,"1,465","1,570","1,615","2,261","1,435","1,447"
2021년09월_계_80~89세,"8,753","1,074",591,627,720,740,"1,156",421,473,550,607,804,514,476
2021년09월_계_90~99세,"1,084",134,82,83,76,116,142,47,63,59,69,98,54,61
2021년09월_계_100세 이상,67,3,22,1,8,7,4,2,1,0,7,7,4,1
2021년09월_남_총인구수,"130,024","15,860","4,693","12,234","9,432","7,095","18,913","5,115","13,310","8,684","7,233","13,286","6,889","7,280"
2021년09월_남_연령구간인구수,"130,024","15,860","4,693","12,234","9,432","7,095","18,913","5,115","13,310","8,684","7,233","13,286","6,889","7,280"
2021년09월_남_0~9세,"9,732","1,277",168,"1,334",519,385,"1,288",408,"1,264",837,424,914,486,428
2021년09월_남_10~19세,"12,786","1,497",319,"1,815",565,725,"1,481",473,"1,927","1,020",502,"1,442",485,535
2021년09월_남_20~29세,"16,515","2,019",553,"1,266","1,424",925,"2,724",658,"1,669",951,865,"1,660",835,966
2021년09월_남_30~39세,"16,010","2,082",468,"1,357","1,672",705,"2,698",654,"1,248",892,887,"1,515",842,990
2021년09월_남_40~49세,"20,834","2,525",624,"2,422","1,473",972,"2,786",851,"2,542","1,611","1,017","2,048","1,007",956
2021년09월_남_50~59세,"20,722","2,447",830,"1,804","1,492","1,147","3,060",820,"2,239","1,288","1,192","2,176","1,106","1,121"
2021년09월_남_60~69세,"19,410","2,323",952,"1,282","1,273","1,209","2,887",659,"1,573","1,167","1,335","2,136","1,229","1,385"
2021년09월_남_70~79세,"10,404","1,249",548,687,710,705,"1,459",412,690,702,750,"1,082",687,723
2021년09월_남_80~89세,"3,353",409,213,250,282,292,487,170,153,210,244,287,198,158
2021년09월_남_90~99세,244,31,18,17,20,26,43,9,5,6,14,25,12,18
2021년09월_남_100세 이상,14,1,0,0,2,4,0,1,0,0,3,1,2,0
2021년09월_여_총인구수,"137,401","16,812","4,975","12,641","10,449","7,681","19,711","5,539","14,294","8,843","7,453","14,016","7,346","7,641"
2021년09월_여_연령구간인구수,"137,401","16,812","4,975","12,641","10,449","7,681","19,711","5,539","14,294","8,843","7,453","14,016","7,346","7,641"
2021년09월_여_0~9세,"9,103","1,262",152,"1,209",501,414,"1,223",380,"1,238",637,359,860,480,388
2021년09월_여_10~19세,"11,816","1,289",277,"1,483",556,670,"1,341",522,"2,084",805,441,"1,340",540,468
2021년09월_여_20~29세,"15,135","1,783",472,"1,185","1,780",765,"2,618",586,"1,409",855,777,"1,399",713,793
2021년09월_여_30~39세,"15,880","2,126",365,"1,558","1,651",636,"2,515",662,"1,388",992,783,"1,489",850,865
2021년09월_여_40~49세,"21,628","2,519",553,"2,630","1,565","1,085","2,800",899,"2,980","1,584",953,"2,205",926,929
2021년09월_여_50~59세,"22,768","2,805",864,"1,846","1,544","1,285","3,473",832,"2,325","1,301","1,291","2,500","1,290","1,412"
2021년09월_여_60~69세,"22,510","2,777","1,065","1,454","1,426","1,401","3,253",861,"1,716","1,408","1,562","2,448","1,439","1,700"
2021년09월_여_70~79세,"12,268","1,481",763,832,926,884,"1,716",507,775,868,865,"1,179",748,724
2021년09월_여_80~89세,"5,400",665,378,377,438,448,669,251,320,340,363,517,316,318
2021년09월_여_90~99세,840,103,64,66,56,90,99,38,58,53,55,73,42,43
2021년09월_여_100세 이상,53,2,22,1,6,3,4,1,1,0,4,6,2,1
