,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020년12월_계_총인구수,"430,431","5,040","6,867","4,905","3,273","7,943","11,842","38,683","19,487","12,410","13,180","23,770","10,714","6,017","19,028","16,450","16,237","7,961","16,456","13,908","14,390","30,499","14,126","11,350","12,728","2,671","22,605","38,182","29,709"
2020년12월_계_연령구간인구수,"430,431","5,040","6,867","4,905","3,273","7,943","11,842","38,683","19,487","12,410","13,180","23,770","10,714","6,017","19,028","16,450","16,237","7,961","16,456","13,908","14,390","30,499","14,126","11,350","12,728","2,671","22,605","38,182","29,709"
2020년12월_계_0~9세,"33,549",230,269,260,86,553,446,"2,672","1,770",572,924,"2,222",402,546,"1,447","1,118","1,136",307,919,463,"1,011","2,462","1,209",667,512,71,"2,693","3,994","4,588"
2020년12월_계_10~19세,"42,971",204,475,313,123,565,703,"3,835","2,258",937,"1,420","2,378",682,533,"1,487","1,967","1,487",654,"1,391",860,"1,713","4,703","1,736","1,059",812,151,"2,548","4,165","3,812"
2020년12월_계_20~29세,"62,504",970,"1,353",897,512,940,"2,224","7,240","2,561","1,783","1,969","3,121","1,355",738,"2,332","2,434","2,637","1,124","2,352","1,659","2,323","4,772","1,996","1,870","1,953",251,"2,815","5,219","3,104"
2020년12월_계_30~39세,"55,549",976,782,712,407,"1,117","1,701","4,752","2,288","1,374","1,504","3,633",997,833,"2,631","1,661","2,019",796,"1,847","1,296","1,723","2,978","1,686","1,264","1,479",220,"3,590","5,982","5,301"
2020년12월_계_40~49세,"67,402",616,896,727,409,"1,157","1,594","5,644","3,096","1,677","1,896","3,870","1,309",947,"2,699","2,497","2,432","1,059","2,236","1,630","2,455","5,775","2,303","1,668","1,590",249,"4,034","6,661","6,276"
2020년12월_계_50~59세,"71,836",689,962,693,571,"1,238","1,911","6,719","3,126","2,185","2,369","3,860","1,839",915,"3,191","3,067","2,648","1,397","2,946","2,683","2,650","5,588","2,478","2,171","2,494",553,"3,363","5,883","3,647"
2020년12월_계_60~69세,"53,337",696,"1,010",635,571,"1,171","1,660","4,483","2,648","2,097","1,849","2,787","2,082",755,"2,789","2,174","2,083","1,298","2,648","2,770","1,486","2,340","1,550","1,531","2,144",558,"1,980","3,658","1,884"
2020년12월_계_70~79세,"29,414",457,741,468,390,878,"1,092","2,379","1,266","1,244",831,"1,351","1,389",516,"1,645","1,040","1,202",929,"1,500","1,637",720,"1,175",760,788,"1,115",370,"1,000","1,779",752
2020년12월_계_80~89세,"12,032",175,336,178,160,276,444,844,407,489,361,471,564,203,698,431,521,341,535,797,265,617,353,281,552,209,498,730,296
2020년12월_계_90~99세,"1,718",21,40,16,39,43,59,111,63,49,54,75,82,29,98,60,71,53,78,106,44,88,52,45,75,35,78,107,47
2020년12월_계_100세 이상,119,6,3,6,5,5,8,4,4,3,3,2,13,2,11,1,1,3,4,7,0,1,3,6,2,4,6,4,2
2020년12월_남_총인구수,"213,611","2,610","3,487","2,569","1,744","3,941","6,192","19,284","9,383","6,232","6,329","11,736","5,234","2,990","9,341","8,024","7,746","3,987","8,167","6,667","7,440","14,895","6,941","5,744","6,230","1,396","11,408","19,206","14,688"
2020년12월_남_연령구간인구수,"213,611","2,610","3,487","2,569","1,744","3,941","6,192","19,284","9,383","6,232","6,329","11,736","5,234","2,990","9,341","8,024","7,746","3,987","8,167","6,667","7,440","14,895","6,941","5,744","6,230","1,396","11,408","19,206","14,688"
2020년12월_남_0~9세,"17,135",110,135,141,48,293,223,"1,365",893,254,465,"1,134",207,269,714,537,574,173,454,225,544,"1,296",626,333,235,34,"1,399","2,090","2,364"
2020년12월_남_10~19세,"22,648",112,234,171,54,294,362,"2,050","1,147",478,761,"1,283",369,265,805,"1,019",763,340,733,445,963,"2,537",947,558,464,97,"1,316","2,120","1,961"
2020년12월_남_20~29세,"32,936",427,694,463,246,478,"1,133","3,808","1,325",945,"1,066","1,646",708,399,"1,240","1,307","1,359",609,"1,241",854,"1,305","2,555","1,097","1,006","1,019",144,"1,509","2,735","1,618"
2020년12월_남_30~39세,"28,847",538,457,411,251,567,992,"2,530","1,075",780,746,"1,854",547,429,"1,367",844,"1,065",438,"1,017",711,895,"1,406",838,675,817,131,"1,824","3,120","2,522"
2020년12월_남_40~49세,"33,788",371,476,427,254,617,935,"2,792","1,415",884,881,"1,954",716,505,"1,416","1,161","1,188",558,"1,153",862,"1,185","2,510","1,057",852,826,147,"2,027","3,410","3,209"
2020년12월_남_50~59세,"35,099",388,494,378,333,634,"1,030","3,193","1,470","1,118","1,064","1,796",923,481,"1,528","1,439","1,192",694,"1,420","1,325","1,365","2,750","1,133","1,090","1,165",311,"1,736","2,906","1,743"
2020년12월_남_60~69세,"25,398",374,498,303,300,516,823,"2,122","1,244",969,848,"1,253",954,336,"1,290","1,074",925,577,"1,226","1,332",749,"1,152",775,773,"1,053",292,"1,008","1,777",855
2020년12월_남_70~79세,"13,169",210,327,198,182,413,499,"1,090",631,591,367,640,602,236,731,473,474,447,704,665,334,468,341,355,487,161,439,789,315
2020년12월_남_80~89세,"4,238",73,155,73,66,121,184,309,170,204,123,156,193,67,230,157,186,137,205,229,93,198,118,93,154,72,140,239,93
2020년12월_남_90~99세,342,5,16,4,9,8,11,25,13,9,7,19,12,3,18,13,20,14,14,19,7,23,9,9,10,7,10,20,8
2020년12월_남_100세 이상,11,2,1,0,1,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020년12월_여_총인구수,"216,820","2,430","3,380","2,336","1,529","4,002","5,650","19,399","10,104","6,178","6,851","12,034","5,480","3,027","9,687","8,426","8,491","3,974","8,289","7,241","6,950","15,604","7,185","5,606","6,498","1,275","11,197","18,976","15,021"
2020년12월_여_연령구간인구수,"216,820","2,430","3,380","2,336","1,529","4,002","5,650","19,399","10,104","6,178","6,851","12,034","5,480","3,027","9,687","8,426","8,491","3,974","8,289","7,241","6,950","15,604","7,185","5,606","6,498","1,275","11,197","18,976","15,021"
2020년12월_여_0~9세,"16,414",120,134,119,38,260,223,"1,307",877,318,459,"1,088",195,277,733,581,562,134,465,238,467,"1,166",583,334,277,37,"1,294","1,904","2,224"
2020년12월_여_10~19세,"20,323",92,241,142,69,271,341,"1,785","1,111",459,659,"1,095",313,268,682,948,724,314,658,415,750,"2,166",789,501,348,54,"1,232","2,045","1,851"
2020년12월_여_20~29세,"29,568",543,659,434,266,462,"1,091","3,432","1,236",838,903,"1,475",647,339,"1,092","1,127","1,278",515,"1,111",805,"1,018","2,217",899,864,934,107,"1,306","2,484","1,486"
2020년12월_여_30~39세,"26,702",438,325,301,156,550,709,"2,222","1,213",594,758,"1,779",450,404,"1,264",817,954,358,830,585,828,"1,572",848,589,662,89,"1,766","2,862","2,779"
2020년12월_여_40~49세,"33,614",245,420,300,155,540,659,"2,852","1,681",793,"1,015","1,916",593,442,"1,283","1,336","1,244",501,"1,083",768,"1,270","3,265","1,246",816,764,102,"2,007","3,251","3,067"
2020년12월_여_50~59세,"36,737",301,468,315,238,604,881,"3,526","1,656","1,067","1,305","2,064",916,434,"1,663","1,628","1,456",703,"1,526","1,358","1,285","2,838","1,345","1,081","1,329",242,"1,627","2,977","1,904"
2020년12월_여_60~69세,"27,939",322,512,332,271,655,837,"2,361","1,404","1,128","1,001","1,534","1,128",419,"1,499","1,100","1,158",721,"1,422","1,438",737,"1,188",775,758,"1,091",266,972,"1,881","1,029"
2020년12월_여_70~79세,"16,245",247,414,270,208,465,593,"1,289",635,653,464,711,787,280,914,567,728,482,796,972,386,707,419,433,628,209,561,990,437
2020년12월_여_80~89세,"7,794",102,181,105,94,155,260,535,237,285,238,315,371,136,468,274,335,204,330,568,172,419,235,188,398,137,358,491,203
2020년12월_여_90~99세,"1,376",16,24,12,30,35,48,86,50,40,47,56,70,26,80,47,51,39,64,87,37,65,43,36,65,28,68,87,39
2020년12월_여_100세 이상,108,4,2,6,4,5,8,4,4,3,2,1,10,2,9,1,1,3,4,7,0,1,3,6,2,4,6,4,2
