카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년10월_계_총인구수,"306,605","19,635","14,045","12,513","12,271","26,580","21,497","25,382","17,015","15,751","10,774","27,363","38,927","27,379","12,872","18,627","5,974"
2021년10월_계_연령구간인구수,"306,605","19,635","14,045","12,513","12,271","26,580","21,497","25,382","17,015","15,751","10,774","27,363","38,927","27,379","12,872","18,627","5,974"
2021년10월_계_0~9세,"18,519","1,008",809,489,713,"1,534","1,139","1,367","1,061","1,013",869,"1,765","2,792","1,602","1,378",860,120
2021년10월_계_10~19세,"24,613","1,550","1,104",740,931,"2,233","1,633","1,968","1,099","1,298",946,"2,392","3,868","2,318",945,"1,353",235
2021년10월_계_20~29세,"38,508","2,215","1,531","1,410","1,434","3,328","3,504","5,150","1,819","2,050","1,059","3,383","4,410","3,195","1,442","2,066",512
2021년10월_계_30~39세,"35,209","2,154","1,446","1,439","1,311","2,882","2,803","3,186","2,035","2,078","1,381","3,454","4,074","2,557","2,297","1,716",396
2021년10월_계_40~49세,"44,869","2,646","2,131","1,589","1,768","3,764","2,936","3,473","2,478","2,375","1,939","4,358","6,304","3,900","2,022","2,488",698
2021년10월_계_50~59세,"53,320","3,348","2,242","2,091","2,016","4,690","3,593","4,036","3,081","2,871","1,741","4,799","7,026","5,187","2,010","3,471","1,118"
2021년10월_계_60~69세,"53,136","3,569","2,621","2,616","2,323","4,815","3,496","3,676","3,140","2,594","1,605","4,504","6,111","5,097","1,776","3,884","1,309"
2021년10월_계_70~79세,"26,798","2,105","1,545","1,483","1,248","2,348","1,654","1,805","1,615","1,047",909,"2,010","2,961","2,319",747,"1,977","1,025"
2021년10월_계_80~89세,"10,254",909,548,588,467,865,659,644,612,362,300,623,"1,206","1,054",210,714,493
2021년10월_계_90~99세,"1,338",128,66,68,58,119,78,73,72,63,23,72,171,145,43,96,63
2021년10월_계_100세 이상,41,3,2,0,2,2,2,4,3,0,2,3,4,5,2,2,5
2021년10월_남_총인구수,"152,569","9,440","6,868","6,002","5,952","13,011","10,735","12,644","8,796","7,875","5,578","13,919","19,492","13,444","6,579","9,163","3,071"
2021년10월_남_연령구간인구수,"152,569","9,440","6,868","6,002","5,952","13,011","10,735","12,644","8,796","7,875","5,578","13,919","19,492","13,444","6,579","9,163","3,071"
2021년10월_남_0~9세,"9,536",531,414,261,387,789,570,723,555,529,446,926,"1,395",813,729,416,52
2021년10월_남_10~19세,"12,701",812,540,383,448,"1,163",823,954,577,674,498,"1,252","2,060","1,187",516,695,119
2021년10월_남_20~29세,"20,664","1,155",807,725,777,"1,745","1,840","2,808","1,009","1,059",583,"1,809","2,455","1,785",733,"1,069",305
2021년10월_남_30~39세,"18,735","1,131",761,779,668,"1,520","1,571","1,744","1,163","1,111",718,"1,885","2,028","1,299","1,198",919,240
2021년10월_남_40~49세,"23,022","1,299","1,108",853,873,"1,859","1,494","1,786","1,344","1,210","1,079","2,266","3,115","1,894","1,076","1,335",431
2021년10월_남_50~59세,"26,189","1,546","1,106",991,953,"2,149","1,718","1,903","1,651","1,378",959,"2,391","3,543","2,539","1,015","1,684",663
2021년10월_남_60~69세,"25,505","1,634","1,205","1,161","1,051","2,295","1,689","1,667","1,550","1,248",783,"2,212","3,104","2,534",865,"1,853",654
2021년10월_남_70~79세,"12,322",990,721,628,593,"1,146",762,798,719,516,412,939,"1,355","1,025",370,917,431
2021년10월_남_80~89세,"3,633",316,197,204,192,316,258,246,209,137,96,228,398,341,74,256,165
2021년10월_남_90~99세,252,26,9,17,10,28,8,13,18,13,3,10,39,26,3,19,10
2021년10월_남_100세 이상,10,0,0,0,0,1,2,2,1,0,1,1,0,1,0,0,1
2021년10월_여_총인구수,"154,036","10,195","7,177","6,511","6,319","13,569","10,762","12,738","8,219","7,876","5,196","13,444","19,435","13,935","6,293","9,464","2,903"
2021년10월_여_연령구간인구수,"154,036","10,195","7,177","6,511","6,319","13,569","10,762","12,738","8,219","7,876","5,196","13,444","19,435","13,935","6,293","9,464","2,903"
2021년10월_여_0~9세,"8,983",477,395,228,326,745,569,644,506,484,423,839,"1,397",789,649,444,68
2021년10월_여_10~19세,"11,912",738,564,357,483,"1,070",810,"1,014",522,624,448,"1,140","1,808","1,131",429,658,116
2021년10월_여_20~29세,"17,844","1,060",724,685,657,"1,583","1,664","2,342",810,991,476,"1,574","1,955","1,410",709,997,207
2021년10월_여_30~39세,"16,474","1,023",685,660,643,"1,362","1,232","1,442",872,967,663,"1,569","2,046","1,258","1,099",797,156
2021년10월_여_40~49세,"21,847","1,347","1,023",736,895,"1,905","1,442","1,687","1,134","1,165",860,"2,092","3,189","2,006",946,"1,153",267
2021년10월_여_50~59세,"27,131","1,802","1,136","1,100","1,063","2,541","1,875","2,133","1,430","1,493",782,"2,408","3,483","2,648",995,"1,787",455
2021년10월_여_60~69세,"27,631","1,935","1,416","1,455","1,272","2,520","1,807","2,009","1,590","1,346",822,"2,292","3,007","2,563",911,"2,031",655
2021년10월_여_70~79세,"14,476","1,115",824,855,655,"1,202",892,"1,007",896,531,497,"1,071","1,606","1,294",377,"1,060",594
2021년10월_여_80~89세,"6,621",593,351,384,275,549,401,398,403,225,204,395,808,713,136,458,328
2021년10월_여_90~99세,"1,086",102,57,51,48,91,70,60,54,50,20,62,132,119,40,77,53
2021년10월_여_100세 이상,31,3,2,0,2,1,0,2,2,0,1,2,4,4,2,2,4
