카테고리,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2021년11월_계_총인구수,"230,839","23,589","44,742","18,766","24,164","15,159","32,849","21,268","10,818","20,274","19,210"
2021년11월_계_연령구간인구수,"230,839","23,589","44,742","18,766","24,164","15,159","32,849","21,268","10,818","20,274","19,210"
2021년11월_계_0~9세,"11,749",646,"3,277",820,920,600,"1,664","1,448",497,995,882
2021년11월_계_10~19세,"13,989",658,"2,325","1,123","1,268",915,"2,179","2,069",675,"1,420","1,357"
2021년11월_계_20~29세,"37,157","6,755","7,949","2,790","3,914","2,195","4,762","2,348","1,370","2,603","2,471"
2021년11월_계_30~39세,"36,463","5,777","9,382","2,527","3,592","1,989","4,741","2,366","1,364","2,529","2,196"
2021년11월_계_40~49세,"31,756","2,775","6,500","2,497","3,048","1,946","4,695","3,356","1,451","2,778","2,710"
2021년11월_계_50~59세,"39,326","2,887","6,430","3,685","4,571","3,107","5,746","3,683","1,971","3,796","3,450"
2021년11월_계_60~69세,"34,577","2,454","5,192","3,160","4,048","2,574","5,061","3,372","1,995","3,551","3,170"
2021년11월_계_70~79세,"17,968","1,164","2,594","1,543","1,934","1,339","2,769","1,777","1,054","1,824","1,970"
2021년11월_계_80~89세,"6,925",416,976,540,748,439,"1,074",746,406,694,886
2021년11월_계_90~99세,885,54,111,77,118,52,154,99,35,80,105
2021년11월_계_100세 이상,44,3,6,4,3,3,4,4,0,4,13
2021년11월_남_총인구수,"116,574","12,829","22,940","9,516","12,106","7,598","16,336","10,232","5,374","10,042","9,601"
2021년11월_남_연령구간인구수,"116,574","12,829","22,940","9,516","12,106","7,598","16,336","10,232","5,374","10,042","9,601"
2021년11월_남_0~9세,"6,056",313,"1,686",432,490,315,853,744,248,502,473
2021년11월_남_10~19세,"7,073",316,"1,148",606,624,448,"1,176","1,013",328,730,684
2021년11월_남_20~29세,"18,337","3,097","3,835","1,445","1,900","1,109","2,362","1,198",738,"1,330","1,323"
2021년11월_남_30~39세,"20,178","3,562","5,197","1,367","2,029","1,072","2,528","1,163",736,"1,339","1,185"
2021년11월_남_40~49세,"16,753","1,739","3,577","1,295","1,592",984,"2,380","1,639",745,"1,391","1,411"
2021년11월_남_50~59세,"19,750","1,692","3,256","1,858","2,248","1,563","2,842","1,739",954,"1,827","1,771"
2021년11월_남_60~69세,"16,987","1,334","2,612","1,535","1,964","1,280","2,440","1,611",944,"1,740","1,527"
2021년11월_남_70~79세,"8,426",581,"1,169",744,929,623,"1,291",821,516,880,872
2021년11월_남_80~89세,"2,778",186,431,209,300,190,413,286,159,277,327
2021년11월_남_90~99세,223,8,27,25,29,14,48,17,6,24,25
2021년11월_남_100세 이상,13,1,2,0,1,0,3,1,0,2,3
2021년11월_여_총인구수,"114,265","10,760","21,802","9,250","12,058","7,561","16,513","11,036","5,444","10,232","9,609"
2021년11월_여_연령구간인구수,"114,265","10,760","21,802","9,250","12,058","7,561","16,513","11,036","5,444","10,232","9,609"
2021년11월_여_0~9세,"5,693",333,"1,591",388,430,285,811,704,249,493,409
2021년11월_여_10~19세,"6,916",342,"1,177",517,644,467,"1,003","1,056",347,690,673
2021년11월_여_20~29세,"18,820","3,658","4,114","1,345","2,014","1,086","2,400","1,150",632,"1,273","1,148"
2021년11월_여_30~39세,"16,285","2,215","4,185","1,160","1,563",917,"2,213","1,203",628,"1,190","1,011"
2021년11월_여_40~49세,"15,003","1,036","2,923","1,202","1,456",962,"2,315","1,717",706,"1,387","1,299"
2021년11월_여_50~59세,"19,576","1,195","3,174","1,827","2,323","1,544","2,904","1,944","1,017","1,969","1,679"
2021년11월_여_60~69세,"17,590","1,120","2,580","1,625","2,084","1,294","2,621","1,761","1,051","1,811","1,643"
2021년11월_여_70~79세,"9,542",583,"1,425",799,"1,005",716,"1,478",956,538,944,"1,098"
2021년11월_여_80~89세,"4,147",230,545,331,448,249,661,460,247,417,559
2021년11월_여_90~99세,662,46,84,52,89,38,106,82,29,56,80
2021년11월_여_100세 이상,31,2,4,4,2,3,1,3,0,2,10
